# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
C65OH4OOH                      134.17500000  6 14  3  0  0  0  0  0   0
HEX3ONCOH                      116.16000000  6 12  2  0  0  0  0  0   0
C645OH                         118.17600000  6 14  2  0  0  0  0  0   0
C64OH5NO3                      163.17300000  6 13  4  1  0  0  0  0   0
C64OH5OOH                      134.17500000  6 14  3  0  0  0  0  0   0
CO2HO3C6                       116.16000000  6 12  2  0  0  0  0  0   0
C62NO33O                       162.16500000  6 12  4  1  0  0  0  0   0
C62NO33CO                      161.15700000  6 11  4  1  0  0  0  0   0
C62NO33OOH                     179.17200000  6 13  5  1  0  0  0  0   0
HEX3ONCO                       115.15200000  6 11  2  0  0  0  0  0   0
C6NO3CO5O2                     192.14700000  6 10  6  1  0  0  0  0   1
C6NO3CO5O                      176.14800000  6 10  5  1  0  0  0  0   0
C6CO23HO5                      130.14300000  6 10  3  0  0  0  0  0   0
C6CONO3OOH                     193.15500000  6 11  6  1  0  0  0  0   0
C62NO335CO                     175.14000000  6  9  5  1  0  0  0  0   0
C6NO3CO5OH                     177.15600000  6 11  5  1  0  0  0  0   0
C6CO3OH5O                      131.15100000  6 11  3  0  0  0  0  0   0
C63NO32O                       162.16500000  6 12  4  1  0  0  0  0   0
C63NO32CO                      161.15700000  6 11  4  1  0  0  0  0   0
C63NO32OOH                     179.17200000  6 13  5  1  0  0  0  0   0
HEX2ONCO                       115.15200000  6 11  2  0  0  0  0  0   0
C6CONO34O2                     192.14700000  6 10  6  1  0  0  0  0   1
C6CONO34O                      176.14800000  6 10  5  1  0  0  0  0   0
C64NO335CO                     175.14000000  6  9  5  1  0  0  0  0   0
CONO3C6OOH                     193.15500000  6 11  6  1  0  0  0  0   0
C6CONO34OH                     177.15600000  6 11  5  1  0  0  0  0   0
CO234C6                        128.12700000  6  8  3  0  0  0  0  0   0
CO234C65O2                     159.11700000  6  7  5  0  0  0  0  0   1
CO234C65O                      143.11800000  6  7  4  0  0  0  0  0   0
CO234C6OOH                     160.12500000  6  8  5  0  0  0  0  0   0
C4ME2OHO2                      133.16700000  6 13  3  0  0  0  0  0   1
DM23BU2ENE                      84.16200000  6 12  0  0  0  0  0  0   0
C4ME2OHO                       117.16800000  6 13  2  0  0  0  0  0   0
C4ME2OHNO3                     163.17300000  6 13  4  1  0  0  0  0   0
C4ME2OHOOH                     134.17500000  6 14  3  0  0  0  0  0   0
C4ME22OH                       118.17600000  6 14  2  0  0  0  0  0   0
C4ME2NO3O2                     178.16400000  6 12  5  1  0  0  0  0   1
C4ME2NO3O                      162.16500000  6 12  4  1  0  0  0  0   0
C42MNO3OOH                     179.17200000  6 13  5  1  0  0  0  0   0
CH3CCH3OOC                      74.07900000  3  6  2  0  0  0  0  0   0
BUTDAO2                        103.09700000  4  7  3  0  0  0  0  0   1
C4H6                            54.09200000  4  6  0  0  0  0  0  0   0
BUTDBO2                        103.09700000  4  7  3  0  0  0  0  0   1
BUTDCO2                        103.09700000  4  7  3  0  0  0  0  0   1
BUTDAO                          87.09800000  4  7  2  0  0  0  0  0   0
BUTDANO3                       133.10300000  4  7  4  1  0  0  0  0   0
HC3CHO                          86.09000000  4  6  2  0  0  0  0  0   0
BUTDAOOH                       104.10500000  4  8  3  0  0  0  0  0   0
BUTDAOH                         88.10600000  4  8  2  0  0  0  0  0   0
HC3CO3                         117.08000000  4  5  4  0  0  0  0  0   1
C41O2                          135.09500000  4  7  5  0  0  0  0  0   1
C41O                           119.09600000  4  7  4  0  0  0  0  0   0
C41NO3                         165.10100000  4  7  6  1  0  0  0  0   0
C4PAN7                         163.08500000  4  5  6  1  0  0  0  0   0
HC3CO3H                        118.08800000  4  6  4  0  0  0  0  0   0
HC3CO2H                        102.08900000  4  6  3  0  0  0  0  0   0
C41OOH                         136.10300000  4  8  5  0  0  0  0  0   0
C41OH                          120.10400000  4  8  4  0  0  0  0  0   0
H13CO2CHO                      118.08800000  4  6  4  0  0  0  0  0   0
H13CO2CO3                      149.07800000  4  5  6  0  0  0  0  0   1
HOCH2COCHO                      88.06200000  3  4  3  0  0  0  0  0   0
C4PAN10                        195.08300000  4  5  8  1  0  0  0  0   0
H13CO2CO3H                     150.08600000  4  6  6  0  0  0  0  0   0
BUTDBO                          87.09800000  4  7  2  0  0  0  0  0   0
BUTDBNO3                       133.10300000  4  7  4  1  0  0  0  0   0
ACR                             56.06400000  3  4  1  0  0  0  0  0   0
BUTDBOOH                       104.10500000  4  8  3  0  0  0  0  0   0
BUTDBOH                         88.10600000  4  8  2  0  0  0  0  0   0
MVKOH                           86.09000000  4  6  2  0  0  0  0  0   0
ACO3                            87.05400000  3  3  3  0  0  0  0  0   1
ACRPAN                         133.05900000  3  3  5  1  0  0  0  0   0
ACO3H                           88.06200000  3  4  3  0  0  0  0  0   0
ACO2H                           72.06300000  3  4  2  0  0  0  0  0   0
BUTDCO                          87.09800000  4  7  2  0  0  0  0  0   0
NBUTDAOH                       133.10300000  4  7  4  1  0  0  0  0   0
BUTDCOOH                       104.10500000  4  8  3  0  0  0  0  0   0
HC3CCHO                         86.09000000  4  6  2  0  0  0  0  0   0
HC3CCO3                        117.08000000  4  5  4  0  0  0  0  0   1
C4PAN8                         163.08500000  4  5  6  1  0  0  0  0   0
HC3CCO3H                       118.08800000  4  6  4  0  0  0  0  0   0
NBUTDAO2                       148.09400000  4  6  5  1  0  0  0  0   1
NBUTDBO2                       148.09400000  4  6  5  1  0  0  0  0   1
NBUTDAO                        132.09500000  4  6  4  1  0  0  0  0   0
NMVK                           131.08700000  4  5  4  1  0  0  0  0   0
NBUTDAOOH                      149.10200000  4  7  5  1  0  0  0  0   0
HNMVKO2                        180.09200000  4  6  7  1  0  0  0  0   1
HNMVKO                         164.09300000  4  6  6  1  0  0  0  0   0
HNMVKOOH                       181.10000000  4  7  7  1  0  0  0  0   0
HNMVKOH                        165.10100000  4  7  6  1  0  0  0  0   0
HNBIACET                       163.08500000  4  5  6  1  0  0  0  0   0
NCO23CHO                       161.06900000  4  3  6  1  0  0  0  0   0
NBUTDBO                        132.09500000  4  6  4  1  0  0  0  0   0
NBUTDBNO3                      178.10000000  4  6  6  2  0  0  0  0   0
NC3CHO                         131.08700000  4  5  4  1  0  0  0  0   0
NBUTDBOOH                      149.10200000  4  7  5  1  0  0  0  0   0
NC3CO3                         162.07700000  4  4  6  1  0  0  0  0   1
C42O2                          180.09200000  4  6  7  1  0  0  0  0   1
C42O                           164.09300000  4  6  6  1  0  0  0  0   0
C4PAN9                         208.08200000  4  4  8  2  0  0  0  0   0
NC3CO3H                        163.08500000  4  5  6  1  0  0  0  0   0
NC3CO2H                        147.08600000  4  5  5  1  0  0  0  0   0
C42OOH                         181.10000000  4  7  7  1  0  0  0  0   0
C42OH                          165.10100000  4  7  6  1  0  0  0  0   0
H3NCO2CHO                      163.08500000  4  5  6  1  0  0  0  0   0
NMGLYOX                        133.05900000  3  3  5  1  0  0  0  0   0
C42AOH                         135.07500000  3  5  5  1  0  0  0  0   0
ACROOA                          72.06300000  3  4  2  0  0  0  0  0   0
CH2OOD                          46.02500000  1  2  2  0  0  0  0  0   0
ACROO                           72.06300000  3  4  2  0  0  0  0  0   0
GLYOOA                          74.03500000  2  2  3  0  0  0  0  0   0
GAOOA                           76.05100000  2  4  3  0  0  0  0  0   0
GLYOO                           74.03500000  2  2  3  0  0  0  0  0   0
GAOO                            76.05100000  2  4  3  0  0  0  0  0   0
CH2CLO2                         81.47500000  1  2  2  0  0  1  0  0   1
CHOCL                           64.46800000  1  1  1  0  0  1  0  0   0
C1210CO3                       255.29000000 13 19  5  0  0  0  0  0   1
C1210PAN                       301.29500000 13 19  7  1  0  0  0  0   0
GLYOOB                          74.03500000  2  2  3  0  0  0  0  0   0
NAOOA                          135.07500000  3  5  5  1  0  0  0  0   0
NAOO                           135.07500000  3  5  5  1  0  0  0  0   0
ISOPAO                         101.12500000  5  9  2  0  0  0  0  0   0
ISOPAO2                        117.12400000  5  9  3  0  0  0  0  0   1
ISOPANO3                       147.13000000  5  9  4  1  0  0  0  0   0
ISOPAOOH                       118.13200000  5 10  3  0  0  0  0  0   0
HC4ACHO                        100.11700000  5  8  2  0  0  0  0  0   0
ISOPAOH                        102.13300000  5 10  2  0  0  0  0  0   0
HC4CCHO                        100.11700000  5  8  2  0  0  0  0  0   0
HC4CCO3                        131.10700000  5  7  4  0  0  0  0  0   1
C57O2                          149.12200000  5  9  5  0  0  0  0  0   1
C57O                           133.12300000  5  9  4  0  0  0  0  0   0
C5PAN19                        177.11200000  5  7  6  1  0  0  0  0   0
HC4CCO3H                       132.11500000  5  8  4  0  0  0  0  0   0
HC4CCO2H                       116.11600000  5  8  3  0  0  0  0  0   0
C57OOH                         150.13000000  5 10  5  0  0  0  0  0   0
C57OH                          134.13100000  5 10  4  0  0  0  0  0   0
HO12CO3C4                      104.10500000  4  8  3  0  0  0  0  0   0
HCOCO                           57.02800000  2  1  2  0  0  0  0  0   0
HCOCO3                          89.02600000  2  1  4  0  0  0  0  0   1
HCOCO3H                         90.03400000  2  2  4  0  0  0  0  0   0
HCOCO2H                         74.03500000  2  2  3  0  0  0  0  0   0
ISOPBO                         101.12500000  5  9  2  0  0  0  0  0   0
ISOPBO2                        117.12400000  5  9  3  0  0  0  0  0   1
ISOPBNO3                       147.13000000  5  9  4  1  0  0  0  0   0
MVK                             70.09100000  4  6  1  0  0  0  0  0   0
ISOPBOOH                       118.13200000  5 10  3  0  0  0  0  0   0
ISOPBOH                        102.13300000  5 10  2  0  0  0  0  0   0
C522CO3                        143.11800000  6  7  4  0  0  0  0  0   1
C522PAN                        189.12300000  6  7  6  1  0  0  0  0   0
HMVKAO2                        119.09600000  4  7  4  0  0  0  0  0   1
HMVKBO2                        119.09600000  4  7  4  0  0  0  0  0   1
HMVKAO                         103.09700000  4  7  3  0  0  0  0  0   0
HMVKANO3                       149.10200000  4  7  5  1  0  0  0  0   0
HMVKBO                         103.09700000  4  7  3  0  0  0  0  0   0
HMVKAOOH                       120.10400000  4  8  4  0  0  0  0  0   0
CO2H3CHO                       102.08900000  4  6  3  0  0  0  0  0   0
HMVKBOOH                       120.10400000  4  8  4  0  0  0  0  0   0
CO2H3CO3                       133.07900000  4  5  5  0  0  0  0  0   1
C4PAN6                         179.08400000  4  5  7  1  0  0  0  0   0
CO2H3CO3H                      134.08700000  4  6  5  0  0  0  0  0   0
CISOPCO                        101.12500000  5  9  2  0  0  0  0  0   0
ISOPCO2                        117.12400000  5  9  3  0  0  0  0  0   1
ISOPCNO3                       147.13000000  5  9  4  1  0  0  0  0   0
ISOPCOOH                       118.13200000  5 10  3  0  0  0  0  0   0
HC4ACO3                        131.10700000  5  7  4  0  0  0  0  0   1
C58O2                          149.12200000  5  9  5  0  0  0  0  0   1
C58O                           133.12300000  5  9  4  0  0  0  0  0   0
C58NO3                         179.12800000  5  9  6  1  0  0  0  0   0
C5PAN17                        177.11200000  5  7  6  1  0  0  0  0   0
HC4ACO3H                       132.11500000  5  8  4  0  0  0  0  0   0
HC4ACO2H                       116.11600000  5  8  3  0  0  0  0  0   0
C58OOH                         150.13000000  5 10  5  0  0  0  0  0   0
C58OH                          134.13100000  5 10  4  0  0  0  0  0   0
MACROH                         104.10500000  4  8  3  0  0  0  0  0   0
C4MALOHOOH                     148.11400000  5  8  5  0  0  0  0  0   0
ISOPDO                         101.12500000  5  9  2  0  0  0  0  0   0
ISOPDO2                        117.12400000  5  9  3  0  0  0  0  0   1
ISOPDNO3                       147.13000000  5  9  4  1  0  0  0  0   0
MACR                            70.09100000  4  6  1  0  0  0  0  0   0
ISOPDOOH                       118.13200000  5 10  3  0  0  0  0  0   0
ISOPDOH                        102.13300000  5 10  2  0  0  0  0  0   0
HCOC5                          100.11700000  5  8  2  0  0  0  0  0   0
C1H4C5CO3                      161.13300000  6  9  5  0  0  0  0  0   1
C6DIALOH                       130.14300000  6 10  3  0  0  0  0  0   0
C59O2                          149.12200000  5  9  5  0  0  0  0  0   1
C59O                           133.12300000  5  9  4  0  0  0  0  0   0
C59OOH                         150.13000000  5 10  5  0  0  0  0  0   0
MACO3                          101.08100000  4  5  3  0  0  0  0  0   1
CH3C2H2O2                       73.07100000  3  5  2  0  0  0  0  0   1
CO1C6O2                        131.15100000  6 11  3  0  0  0  0  0   1
CO1C6O                         115.15200000  6 11  2  0  0  0  0  0   0
CO1C6NO3                       161.15700000  6 11  4  1  0  0  0  0   0
CO1C6OOH                       132.15900000  6 12  3  0  0  0  0  0   0
MACRO                          103.09700000  4  7  3  0  0  0  0  0   0
MPAN                           147.08600000  4  5  5  1  0  0  0  0   0
CO1C6OH                        116.16000000  6 12  2  0  0  0  0  0   0
MACO3H                         102.08900000  4  6  3  0  0  0  0  0   0
MACO2H                          86.09000000  4  6  2  0  0  0  0  0   0
MACRO2                         119.09600000  4  7  4  0  0  0  0  0   1
MACROOH                        120.10400000  4  8  4  0  0  0  0  0   0
C6DIAL                         114.14400000  6 10  2  0  0  0  0  0   0
CO1H63O2                       147.15000000  6 11  4  0  0  0  0  0   1
CO1H63O                        131.15100000  6 11  3  0  0  0  0  0   0
CO1H63NO3                      177.15600000  6 11  5  1  0  0  0  0   0
C5H8                            68.11900000  5  8  0  0  0  0  0  0   0
NISOPO2                        162.12100000  5  8  5  1  0  0  0  0   1
NISOPO                         146.12200000  5  8  4  1  0  0  0  0   0
NISOPNO3                       192.12700000  5  8  6  2  0  0  0  0   0
NC4CHO                         145.11400000  5  7  4  1  0  0  0  0   0
NISOPOOH                       163.12900000  5  9  5  1  0  0  0  0   0
NC4CO3                         176.10400000  5  6  6  1  0  0  0  0   1
C510O2                         194.11900000  5  8  7  1  0  0  0  0   1
C510O                          178.12000000  5  8  6  1  0  0  0  0   0
C5PAN18                        222.10900000  5  6  8  2  0  0  0  0   0
NC4CO3H                        177.11200000  5  7  6  1  0  0  0  0   0
NC4CO2H                        161.11300000  5  7  5  1  0  0  0  0   0
C510OOH                        195.12700000  5  9  7  1  0  0  0  0   0
C510OH                         179.12800000  5  9  6  1  0  0  0  0   0
CH2OOE                          46.02500000  1  2  2  0  0  0  0  0   0
MVKOOA                          86.09000000  4  6  2  0  0  0  0  0   0
MACROOA                         86.09000000  4  6  2  0  0  0  0  0   0
MVKOO                           86.09000000  4  6  2  0  0  0  0  0   0
MVKO2                          101.08100000  4  5  3  0  0  0  0  0   1
MACROO                          86.09000000  4  6  2  0  0  0  0  0   0
MVKO                            85.08200000  4  5  2  0  0  0  0  0   0
MVKOOH                         102.08900000  4  6  3  0  0  0  0  0   0
VGLYOX                          84.07400000  4  4  2  0  0  0  0  0   0
ALLYLOH                         58.08000000  3  6  1  0  0  0  0  0   0
GAOOB                           76.05100000  2  4  3  0  0  0  0  0   0
MGLYOOA                         88.06200000  3  4  3  0  0  0  0  0   0
MGLYOO                          88.06200000  3  4  3  0  0  0  0  0   0
MGLOOA                          88.06200000  3  4  3  0  0  0  0  0   0
MGLOO                           88.06200000  3  4  3  0  0  0  0  0   0
CH3COCO2H                       88.06200000  3  4  3  0  0  0  0  0   0
GLYOOC                          74.03500000  2  2  3  0  0  0  0  0   0
ACLOOA                          90.07800000  3  6  3  0  0  0  0  0   0
ACLOO                           90.07800000  3  6  3  0  0  0  0  0   0
MGLYOOB                         88.06200000  3  4  3  0  0  0  0  0   0
NOAOOA                         135.07500000  3  5  5  1  0  0  0  0   0
NOAOO                          135.07500000  3  5  5  1  0  0  0  0   0
C2H2                            26.03800000  2  2  0  0  0  0  0  0   0
PAN                            121.04800000  2  3  5  1  0  0  0  0   0
CH3CO3H                         76.05100000  2  4  3  0  0  0  0  0   0
PPN                            135.07500000  3  5  5  1  0  0  0  0   0
PERPROACID                      90.07800000  3  6  3  0  0  0  0  0   0
BUTALO2                        103.09700000  4  7  3  0  0  0  0  0   1
PBN                            149.10200000  4  7  5  1  0  0  0  0   0
PERBUACID                      104.10500000  4  8  3  0  0  0  0  0   0
BUTALO                          87.09800000  4  7  2  0  0  0  0  0   0
BUTALNO3                       133.10300000  4  7  4  1  0  0  0  0   0
BUTALO2H                       104.10500000  4  8  3  0  0  0  0  0   0
HCOCH2OOH                       76.05100000  2  4  3  0  0  0  0  0   0
IBUTALBO2                      103.09700000  4  7  3  0  0  0  0  0   1
IBUTALCO2                      103.09700000  4  7  3  0  0  0  0  0   1
PIPN                           149.10200000  4  7  5  1  0  0  0  0   0
PERIBUACID                     104.10500000  4  8  3  0  0  0  0  0   0
IBUTALBO                        87.09800000  4  7  2  0  0  0  0  0   0
IBUALANO3                      133.10300000  4  7  4  1  0  0  0  0   0
IBUTDIAL                        86.09000000  4  6  2  0  0  0  0  0   0
IBUTALBO2H                     104.10500000  4  8  3  0  0  0  0  0   0
PROPALO2                        89.07000000  3  5  3  0  0  0  0  0   1
IBUDIALPAN                     163.08500000  4  5  6  1  0  0  0  0   0
PRPAL2CO3H                     118.08800000  4  6  4  0  0  0  0  0   0
PRPAL2CO2H                     102.08900000  4  6  3  0  0  0  0  0   0
PROPALOOH                       90.07800000  3  6  3  0  0  0  0  0   0
IBUTALO2H                      104.10500000  4  8  3  0  0  0  0  0   0
C4CHOBO2                       117.12400000  5  9  3  0  0  0  0  0   1
PPEN                           163.12900000  5  9  5  1  0  0  0  0   0
PERPENACID                     118.13200000  5 10  3  0  0  0  0  0   0
C4CHOBO                        101.12500000  5  9  2  0  0  0  0  0   0
C4CHOBNO3                      147.13000000  5  9  4  1  0  0  0  0   0
C4CHOBOOH                      118.13200000  5 10  3  0  0  0  0  0   0
HYPERACET                       90.07800000  3  6  3  0  0  0  0  0   0
MEKAO                           87.09800000  4  7  2  0  0  0  0  0   0
MEKANO3                        133.10300000  4  7  4  1  0  0  0  0   0
HO1CO3C4O2                     119.09600000  4  7  4  0  0  0  0  0   1
HO1CO3C4O                      103.09700000  4  7  3  0  0  0  0  0   0
MEKAOOH                        104.10500000  4  8  3  0  0  0  0  0   0
HOCO3C4OOH                     120.10400000  4  8  4  0  0  0  0  0   0
HO1CO3CHO                      102.08900000  4  6  3  0  0  0  0  0   0
HO14CO2C4                      104.10500000  4  8  3  0  0  0  0  0   0
CO2C3PAN                       163.08500000  4  5  6  1  0  0  0  0   0
CO2C3CO3H                      118.08800000  4  6  4  0  0  0  0  0   0
MEKBOOH                        104.10500000  4  8  3  0  0  0  0  0   0
MEKCOOH                        104.10500000  4  8  3  0  0  0  0  0   0
MEKCOH                          88.10600000  4  8  2  0  0  0  0  0   0
MPRKAO2                        117.12400000  5  9  3  0  0  0  0  0   1
MPRKAOOH                       118.13200000  5 10  3  0  0  0  0  0   0
CO23C54O                       115.10800000  5  7  3  0  0  0  0  0   0
CO23C54OOH                     132.11500000  5  8  4  0  0  0  0  0   0
CO2C54O                        101.12500000  5  9  2  0  0  0  0  0   0
MPRKNO3                        147.13000000  5  9  4  1  0  0  0  0   0
HO2CO4C5O2                     133.12300000  5  9  4  0  0  0  0  0   1
MPRKBOOH                       118.13200000  5 10  3  0  0  0  0  0   0
HOCO4C5OOH                     134.13100000  5 10  4  0  0  0  0  0   0
HO14CO2C5                      118.13200000  5 10  3  0  0  0  0  0   0
CO24C53O2                      131.10700000  5  7  4  0  0  0  0  0   1
CO24C53OOH                     132.11500000  5  8  4  0  0  0  0  0   0
DIEKAOOH                       118.13200000  5 10  3  0  0  0  0  0   0
DIEKBO                         101.12500000  5  9  2  0  0  0  0  0   0
DIEKBNO3                       147.13000000  5  9  4  1  0  0  0  0   0
HOCO3C54O2                     133.12300000  5  9  4  0  0  0  0  0   1
HOCO3C54O                      117.12400000  5  9  3  0  0  0  0  0   0
DIEKBOOH                       118.13200000  5 10  3  0  0  0  0  0   0
HOCO3C5OOH                     134.13100000  5 10  4  0  0  0  0  0   0
HO14CO3C5                      118.13200000  5 10  3  0  0  0  0  0   0
MIPKAO2                        117.12400000  5  9  3  0  0  0  0  0   1
MIPKBO                         101.12500000  5  9  2  0  0  0  0  0   0
MIPKBNO3                       147.13000000  5  9  4  1  0  0  0  0   0
C53O2                          133.12300000  5  9  4  0  0  0  0  0   1
C53O                           117.12400000  5  9  3  0  0  0  0  0   0
MIPKBOOH                       118.13200000  5 10  3  0  0  0  0  0   0
C53OOH                         134.13100000  5 10  4  0  0  0  0  0   0
HOIPRGLYOX                     116.11600000  5  8  3  0  0  0  0  0   0
C53OH                          118.13200000  5 10  3  0  0  0  0  0   0
C4PAN4                         165.10100000  4  7  6  1  0  0  0  0   0
HOIPRCO3H                      120.10400000  4  8  4  0  0  0  0  0   0
HOIPRCO2H                      104.10500000  4  8  3  0  0  0  0  0   0
C5PAN7                         177.11200000  5  7  6  1  0  0  0  0   0
C41CO3H                        132.11500000  5  8  4  0  0  0  0  0   0
C41CO2H                        116.11600000  5  8  3  0  0  0  0  0   0
HEX2ONAO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX2ONBO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX2ONCO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX2ONAO                       115.15200000  6 11  2  0  0  0  0  0   0
HEX2ONANO3                     161.15700000  6 11  4  1  0  0  0  0   0
CO2HOC61O2                     147.15000000  6 11  4  0  0  0  0  0   1
HEX2ONAOOH                     132.15900000  6 12  3  0  0  0  0  0   0
CO24C6                         114.14400000  6 10  2  0  0  0  0  0   0
CO2HO4C6                       116.16000000  6 12  2  0  0  0  0  0   0
CO2HOC6OOH                     148.15800000  6 12  4  0  0  0  0  0   0
CO24C6O2                       145.13400000  6  9  4  0  0  0  0  0   1
CO24C6O                        129.13500000  6  9  3  0  0  0  0  0   0
CO24C6OOH                      146.14200000  6 10  4  0  0  0  0  0   0
HEX2ONBO                       115.15200000  6 11  2  0  0  0  0  0   0
HEX2ONBNO3                     161.15700000  6 11  4  1  0  0  0  0   0
HEX2ONBOOH                     132.15900000  6 12  3  0  0  0  0  0   0
HEX2ONCOOH                     132.15900000  6 12  3  0  0  0  0  0   0
CO23C6                         114.14400000  6 10  2  0  0  0  0  0   0
CO23C65O2                      145.13400000  6  9  4  0  0  0  0  0   1
CO23C65O                       129.13500000  6  9  3  0  0  0  0  0   0
CO23C65OOH                     146.14200000  6 10  4  0  0  0  0  0   0
HEX3ONAO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX3ONBO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX3ONCO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX3ONDO2                      131.15100000  6 11  3  0  0  0  0  0   1
HEX3ONAO                       115.15200000  6 11  2  0  0  0  0  0   0
HEX3ONANO3                     161.15700000  6 11  4  1  0  0  0  0   0
C6CO3OH5O2                     147.15000000  6 11  4  0  0  0  0  0   1
HEX3ONAOOH                     132.15900000  6 12  3  0  0  0  0  0   0
HEX3ONAOH                      116.16000000  6 12  2  0  0  0  0  0   0
C6CO3OHOOH                     148.15800000  6 12  4  0  0  0  0  0   0
C6CO3HO25                      132.15900000  6 12  3  0  0  0  0  0   0
HEX3ONBO                       115.15200000  6 11  2  0  0  0  0  0   0
HEX3ONBOOH                     132.15900000  6 12  3  0  0  0  0  0   0
C6CO34                         114.14400000  6 10  2  0  0  0  0  0   0
C6CO3HO4                       116.16000000  6 12  2  0  0  0  0  0   0
C6CO34O2                       145.13400000  6  9  4  0  0  0  0  0   1
C6CO34O                        129.13500000  6  9  3  0  0  0  0  0   0
C6CO34OOH                      146.14200000  6 10  4  0  0  0  0  0   0
HEX3ONCOOH                     132.15900000  6 12  3  0  0  0  0  0   0
HEX3ONDO                       115.15200000  6 11  2  0  0  0  0  0   0
HEX3ONDNO3                     161.15700000  6 11  4  1  0  0  0  0   0
C6HO1CO3O2                     147.15000000  6 11  4  0  0  0  0  0   1
C6HO1CO3O                      131.15100000  6 11  3  0  0  0  0  0   0
HEX3ONDOOH                     132.15900000  6 12  3  0  0  0  0  0   0
C3COCCHO                       114.14400000  6 10  2  0  0  0  0  0   0
HEX3ONDOH                      116.16000000  6 12  2  0  0  0  0  0   0
C6HOCOOOH                      148.15800000  6 12  4  0  0  0  0  0   0
C6CO34HO1                      130.14300000  6 10  3  0  0  0  0  0   0
C6CO3HO14                      132.15900000  6 12  3  0  0  0  0  0   0
PEN2ONE1O2                     117.12400000  5  9  3  0  0  0  0  0   1
C3COCCO3                       145.13400000  6  9  4  0  0  0  0  0   1
C3COCPAN                       191.13900000  6  9  6  1  0  0  0  0   0
C3COCCO3H                      146.14200000  6 10  4  0  0  0  0  0   0
PE2ONE1OOH                     118.13200000  5 10  3  0  0  0  0  0   0
PGLYOX                         100.11700000  5  8  2  0  0  0  0  0   0
C6CO134                        128.12700000  6  8  3  0  0  0  0  0   0
C5CO34CO3                      159.11700000  6  7  5  0  0  0  0  0   1
C5CO23O2                       131.10700000  5  7  4  0  0  0  0  0   1
C5CO23O                        115.10800000  5  7  3  0  0  0  0  0   0
C6CO134PAN                     205.12200000  6  7  7  1  0  0  0  0   0
C6CO134OOH                     160.12500000  6  8  5  0  0  0  0  0   0
C5CO23OOH                      132.11500000  5  8  4  0  0  0  0  0   0
C5CO23CHO                      114.10000000  5  6  3  0  0  0  0  0   0
MIBKAO2                        131.15100000  6 11  3  0  0  0  0  0   1
MIBKBO2                        131.15100000  6 11  3  0  0  0  0  0   1
MIBKAO                         115.15200000  6 11  2  0  0  0  0  0   0
MIBKANO3                       161.15700000  6 11  4  1  0  0  0  0   0
MIBKHO4O2                      147.15000000  6 11  4  0  0  0  0  0   1
MIBKHO4O                       131.15100000  6 11  3  0  0  0  0  0   0
MIBKAOOH                       132.15900000  6 12  3  0  0  0  0  0   0
MIBKAOH                        116.16000000  6 12  2  0  0  0  0  0   0
MIBKHO4OOH                     148.15800000  6 12  4  0  0  0  0  0   0
MIBKHO14                       132.15900000  6 12  3  0  0  0  0  0   0
MIBKBO                         115.15200000  6 11  2  0  0  0  0  0   0
MIBKBOOH                       132.15900000  6 12  3  0  0  0  0  0   0
MIBK3CO                        114.14400000  6 10  2  0  0  0  0  0   0
MIBKBOH                        116.16000000  6 12  2  0  0  0  0  0   0
MIBK3COO2                      145.13400000  6  9  4  0  0  0  0  0   1
MIBK3COO                       129.13500000  6  9  3  0  0  0  0  0   0
MIBK3COOOH                     146.14200000  6 10  4  0  0  0  0  0   0
MTBKO2                         131.15100000  6 11  3  0  0  0  0  0   1
MTBKO                          115.15200000  6 11  2  0  0  0  0  0   0
MTBKNO3                        161.15700000  6 11  4  1  0  0  0  0   0
CO2M33CHO                      114.14400000  6 10  2  0  0  0  0  0   0
C612O2                         147.15000000  6 11  4  0  0  0  0  0   1
C612O                          131.15100000  6 11  3  0  0  0  0  0   0
MTBKOOH                        132.15900000  6 12  3  0  0  0  0  0   0
MTBKOH                         116.16000000  6 12  2  0  0  0  0  0   0
C612OOH                        148.15800000  6 12  4  0  0  0  0  0   0
C612OH                         132.15900000  6 12  3  0  0  0  0  0   0
HM22COCHO                      130.14300000  6 10  3  0  0  0  0  0   0
CO2M33CO3                      145.13400000  6  9  4  0  0  0  0  0   1
C6PAN16                        191.13900000  6  9  6  1  0  0  0  0   0
CO2M33CO3H                     146.14200000  6 10  4  0  0  0  0  0   0
