#     time                    CH3OH                   -                       CH3CHO                  C2H5OH                  CH3COCH3                CH3CO2H                 C5H8                    -                       MEK                     BENZENE                 -                       -                       TOLUENE                 MONOTERPENE
      1.010694444444e+02      1.336767554363e+00      8.237636219687e-02      3.160386818641e-01      4.390310450103e-01      7.527253890105e-01      4.021591910498e-01      2.677605671533e-02      1.634491074238e-02      1.100561646906e-01      8.427936403242e-02      5.636791392893e-02      2.542956553964e-02      1.500365503316e-02      1.029671495817e-01
      1.010763888889e+02      1.342926058901e+00      8.238593971614e-02      3.171845980650e-01      4.409403870837e-01      7.533942172149e-01      4.043731191054e-01      2.699322614249e-02      1.641006800296e-02      1.103036822516e-01      8.442411573288e-02      5.666240106647e-02      2.553741028368e-02      1.519232650287e-02      1.040445422391e-01
      1.010833333333e+02      1.349084563438e+00      8.239551723542e-02      3.183305142658e-01      4.428497291571e-01      7.540630454192e-01      4.065870471609e-01      2.721039556965e-02      1.647522526355e-02      1.105511998126e-01      8.456886743334e-02      5.695688820400e-02      2.564525502773e-02      1.538099797258e-02      1.051219348965e-01
      1.010902777778e+02      1.355243067976e+00      8.240509475470e-02      3.194764304667e-01      4.447590712305e-01      7.547318736235e-01      4.088009752165e-01      2.742756499681e-02      1.654038252413e-02      1.107987173736e-01      8.471361913380e-02      5.725137534154e-02      2.575309977178e-02      1.556966944229e-02      1.061993275539e-01
      1.010972222222e+02      1.361401572513e+00      8.241467227398e-02      3.206223466676e-01      4.466684133039e-01      7.554007018279e-01      4.110149032720e-01      2.764473442397e-02      1.660553978472e-02      1.110462349346e-01      8.485837083426e-02      5.754586247907e-02      2.586094451583e-02      1.575834091200e-02      1.072767202113e-01
      1.011041666667e+02      1.367560077051e+00      8.242424979326e-02      3.217682628684e-01      4.485777553773e-01      7.560695300322e-01      4.132288313276e-01      2.786190385112e-02      1.667069704530e-02      1.112937524955e-01      8.500312253472e-02      5.784034961661e-02      2.596878925988e-02      1.594701238171e-02      1.083541128687e-01
      1.011111111111e+02      1.373718581588e+00      8.243382731254e-02      3.229141790693e-01      4.504870974507e-01      7.567383582365e-01      4.154427593831e-01      2.807907327828e-02      1.673585430589e-02      1.115412700565e-01      8.514787423518e-02      5.813483675414e-02      2.607663400393e-02      1.613568385142e-02      1.094315055261e-01
      1.011180555556e+02      1.379877086126e+00      8.244340483181e-02      3.240600952702e-01      4.523964395241e-01      7.574071864409e-01      4.176566874387e-01      2.829624270544e-02      1.680101156647e-02      1.117887876175e-01      8.529262593564e-02      5.842932389167e-02      2.618447874797e-02      1.632435532113e-02      1.105088981835e-01
      1.011250000000e+02      1.395211788522e+00      8.253569395938e-02      3.291499762834e-01      4.539120757707e-01      7.648583855791e-01      4.206891570909e-01      2.944883269137e-02      1.726879857926e-02      1.119825870525e-01      8.566517402518e-02      7.551394751697e-02      2.635303014321e-02      1.743746619339e-02      1.510768477434e-01
      1.011319444444e+02      1.416984923563e+00      8.268601726701e-02      3.370071201853e-01      4.551514703228e-01      7.770684008518e-01      4.242959522991e-01      3.102628407506e-02      1.801908871370e-02      1.121386954371e-01      8.619755429469e-02      1.043792851725e-01      2.656417605206e-02      1.919920527947e-02      2.095811287709e-01
      1.011388888889e+02      1.438758058603e+00      8.283634057464e-02      3.448642640873e-01      4.563908648748e-01      7.892784161245e-01      4.279027475073e-01      3.260373545875e-02      1.876937884814e-02      1.122948038217e-01      8.672993456420e-02      1.332446228281e-01      2.677532196092e-02      2.096094436554e-02      2.680854097983e-01
      1.011458333333e+02      1.460531193643e+00      8.298666388227e-02      3.527214079893e-01      4.576302594269e-01      8.014884313972e-01      4.315095427155e-01      3.418118684244e-02      1.951966898258e-02      1.124509122062e-01      8.726231483371e-02      1.621099604836e-01      2.698646786977e-02      2.272268345162e-02      3.265896908258e-01
