#time,SMEAR_TEMP_168.dat,SMEAR_PRESS.dat,SMEAR_RH.dat,SMEAR_SWR.dat,SA_tower.dat,SA_ground.dat,NH3.dat,SMEAR_CS.dat,SMEAR_GAS_CO.dat,SMEAR_GAS_NO2.dat,SMEAR_GAS_NO.dat,SMEAR_GAS_O3.dat,SMEAR_GAS_SO2.dat,CH3OH,-,CH3CHO,C2H5OH,CH3COCH3,CH3CO2H,C5H8,-,MEK,BENZENE,-,-,TOLUENE,MONOTERPENE
101.402777777778,4.33998721023157,1010.51997442046,42.9399904076737,536.119584444404,9309282.99992659,7827831.16653316,5.82097325292279,0.00322688333333336,167.06399999985,1.61599904003076,0.279999991040059,44.9560000004189,1.10999939200481,1.14,0.0773,0.327,0.473,0.774,0.4,0.0232,0.022,0.0996,0.0813,0.0461,0.0279,0.0235,0.0576
101.409722222222,4.55997761790525,1010.57998721023,40.6300415667474,552.446320952427,9348677.00007341,7899471.83346684,9.5768434151623,0.00320084166666665,166.97000000015,1.55600095996924,0.224000008959941,45.2179999995811,0.999999264005827,1.14,0.0772,0.327,0.465,0.774,0.398,0.0228,0.0213,0.1,0.0816,0.0448,0.0272,0.0236,0.0555
101.416666666667,4.8698992805758,1010.54993764988,40.5900143884892,569.242502857156,9388070.9981868,7971112.49704177,18.9423802686742,0.00317479999999999,166.876000000451,1.49600287990784,0.168000026879936,45.4799999987427,0.909999664003376,1.14,0.0771,0.327,0.458,0.774,0.395,0.0225,0.0207,0.1,0.0818,0.0434,0.0265,0.0238,0.0533
101.423611111111,5.24001119104809,1010.45998880895,38.8699760191827,585.44765428572,9063626.33212454,7441781.99802785,18.2752383797893,0.00319839833333334,168.281333328837,1.38267029339135,0.188666660053346,45.7826666656984,0.769999888000171,1.14,0.0771,0.328,0.45,0.775,0.393,0.0222,0.0201,0.101,0.0821,0.042,0.0258,0.0239,0.0511
101.430555555556,5.23983373301578,1010.42001918465,37.0299232613919,597.00976,8739181.66606227,6912451.49901393,13.6439218709207,0.00322449952380952,169.686666664419,1.26933514669568,0.209333330026673,46.0853333328492,0.76000019199848,1.14,0.077,0.328,0.443,0.775,0.391,0.0218,0.0195,0.101,0.0823,0.0406,0.0251,0.0241,0.049
101.4375,4.98,1010.5,37.26,609.2095,8414737,6383121,11.2230660726775,0.00325060071428571,171.092,1.156,0.23,46.388,0.62,1.14,0.077,0.328,0.435,0.776,0.389,0.0215,0.0189,0.101,0.0826,0.0392,0.0244,0.0242,0.0468
101.444444444444,5.34001918465203,1010.41992326139,35.2902366107083,621.833818095235,7876683.50100233,5984953.1674084,7.20912727557917,0.00329179433333332,174.207333338317,1.24333473068902,0.250000003199994,46.4726666668021,0.489999872001013,1.14,0.0769,0.328,0.428,0.776,0.387,0.0212,0.0182,0.102,0.0828,0.0378,0.0238,0.0243,0.0446
101.451388888889,5.57000319744231,1010.4799696243,35.539928057548,629.482909999998,7338630.00200465,5586785.33481681,5.32653476154315,0.00333415891666665,177.322666676633,1.33066946137804,0.270000006399988,46.5573333336042,0.480000063999903,1.14,0.0769,0.328,0.421,0.777,0.384,0.0208,0.0176,0.102,0.0831,0.0365,0.0231,0.0245,0.0425
101.458333333333,5.29000479616306,1010.40991846523,35.2301486810548,640.872804285708,6800576.50300698,5188617.50222521,12.834364760768,0.00337465650793651,180.437999994958,1.41800364788326,0.289999986240033,46.6419999998432,0.420000383996141,1.13,0.0768,0.329,0.413,0.777,0.382,0.0205,0.017,0.102,0.0833,0.0351,0.0224,0.0246,0.0403
101.465277777778,5.8799520383684,1010.33995843325,34.6898816946421,649.624547936517,6487814.16724952,5143039.1667516,40.1041073455812,0.00337812542328042,179.387333331653,1.49400121596103,0.261333328746697,46.6093333332811,0.319999776001773,1.13,0.0768,0.329,0.406,0.777,0.38,0.0202,0.0164,0.103,0.0836,0.0337,0.0217,0.0248,0.0381
