#time,SMEAR_TEMP_168.dat,SMEAR_PRESS.dat,SMEAR_RH.dat,SMEAR_SWR.dat,SA_tower.dat,SA_ground.dat,NH3.dat,SMEAR_CS.dat,SMEAR_GAS_CO.dat,SMEAR_GAS_NO2.dat,SMEAR_GAS_NO.dat,SMEAR_GAS_O3.dat,SMEAR_GAS_SO2.dat,CH3OH,-,CH3CHO,C2H5OH,CH3COCH3,CH3CO2H,C5H8,-,MEK,BENZENE,-,-,TOLUENE,MONOTERPENE
101.090277777778,-0.500025579536852,1008.89996163069,43.5199968025579,-1.91266420634917,69085.7265035537,127303.390616233,2,0.00479094293650782,177.765999998833,0.837333450662907,0.05,39.4486666655389,0.100000127998987,1.36E+00,8.24E-02,3.19E-01,4.45E-01,7.55E-01,4.09E-01,2.74E-02,1.65E-02,1.11E-01,8.47E-02,5.73E-02,2.58E-02,1.56E-02,1.06E-01
101.097222222222,-0.280019184652639,1008.83995523581,43.1400031974421,-2.11631577460501,100716.839902696,132008.093758767,5.00827343923689,0.00495051634920652,177.036000001167,0.844666549337093,0.05,38.7433333344611,0.17999971200228,1.36E+00,8.24E-02,3.21E-01,4.47E-01,7.55E-01,4.11E-01,2.76E-02,1.66E-02,1.11E-01,8.49E-02,5.75E-02,2.59E-02,1.58E-02,1.07E-01
101.104166666667,-0.100009592326115,1008.70004316547,42.6500095923261,-2.12693623333277,132347.953691193,136712.796829019,2,0.00510312952380942,176.306000003503,0.851999648011265,0.05,38.0380000033847,0.229998896011094,1.37E+00,8.24E-02,3.22E-01,4.49E-01,7.56E-01,4.13E-01,2.79E-02,1.67E-02,1.11E-01,8.50E-02,5.78E-02,2.60E-02,1.59E-02,1.08E-01
101.111111111111,-0.340004796163466,1008.87000959233,43.070020783375,-2.21875339682542,233659.760794129,128485.216115179,2.98223873433063,0.00497269301587295,177.839999995093,0.789335338698747,0.05,40.2586666595624,0.150000047999927,1.37E+00,8.24E-02,3.23E-01,4.50E-01,7.57E-01,4.15E-01,2.81E-02,1.67E-02,1.12E-01,8.51E-02,5.81E-02,2.61E-02,1.61E-02,1.09E-01
101.118055555556,-0.539987210231983,1009.12987210232,43.9000383693041,-2.21238335555554,334971.567897064,120257.63540134,3.34513188289862,0.00484225650793647,179.373999997546,0.726667669349374,0.05,42.4793333297812,0.150000959992399,1.38E+00,8.24E-02,3.24E-01,4.52E-01,7.57E-01,4.18E-01,2.83E-02,1.68E-02,1.12E-01,8.53E-02,5.84E-02,2.62E-02,1.63E-02,1.11E-01
101.125,-0.57,1008.99,43.73,-2.22089,436283.375,112030.0546875,3.09927042519094,0.00471182,180.908,0.664,0.05,44.7,0.19,1.40E+00,8.25E-02,3.29E-01,4.54E-01,7.65E-01,4.21E-01,2.94E-02,1.73E-02,1.12E-01,8.57E-02,7.55E-02,2.64E-02,1.74E-02,1.51E-01
101.131944444444,-0.430025579536034,1009.10995523581,43.000019184652,-2.43731661587292,400732.968816226,120508.572900872,3.20184876069087,0.00448088746031752,181.83133333481,0.636666229326337,0.05,43.618666664937,0.05,1.42E+00,8.27E-02,3.37E-01,4.55E-01,7.77E-01,4.24E-01,3.10E-02,1.80E-02,1.12E-01,8.62E-02,1.04E-01,2.66E-02,1.92E-02,2.10E-01
101.138888888889,-0.769998401278845,1009.01002398082,43.679979216625,-2.71955164126952,365182.562632452,128987.091114245,3.22147655562237,0.00424995492063504,182.754666669621,0.609332458652674,0.05,42.537333329874,0.130000287999562,1.44E+00,8.28E-02,3.45E-01,4.56E-01,7.89E-01,4.28E-01,3.26E-02,1.88E-02,1.12E-01,8.67E-02,1.33E-01,2.68E-02,2.10E-02,2.68E-01
101.145833333333,-0.910004796163057,1009.23998081535,43.9300335731414,-2.8160167285712,329632.156448678,137465.609327617,2.43058190582716,0.00401902238095256,183.677999997559,0.582000639979519,0.05,41.4560000009374,0.320000095999035,1.46E+00,8.30E-02,3.53E-01,4.58E-01,8.01E-01,4.32E-01,3.42E-02,1.95E-02,1.12E-01,8.73E-02,1.62E-01,2.70E-02,2.27E-02,3.27E-01
101.152777777778,-0.829996802557893,1009.17002238209,44.7299584332526,-2.83731540952373,294084.796941244,135316.677087338,2.13487659803696,0.00393110095238104,183.16933333252,0.595333546659831,0.05,41.6513333336457,0.05,1.48E+00,8.31E-02,3.61E-01,4.59E-01,8.14E-01,4.35E-01,3.58E-02,2.03E-02,1.13E-01,8.78E-02,1.91E-01,2.72E-02,2.45E-02,3.85E-01
101.159722222222,-0.849996802557893,1009.30000319744,44.97,-2.68752718095254,258537.437433756,133167.744787662,2.49978146277986,0.00384669619047613,182.66066666748,0.608666453340169,0.05,41.8466666663544,0.18999971200228,1.50E+00,8.33E-02,3.68E-01,4.60E-01,8.26E-01,4.39E-01,3.73E-02,2.10E-02,1.13E-01,8.83E-02,2.20E-01,2.74E-02,2.62E-02,4.44E-01
101.166666666667,-0.910014388489172,1009.30993764988,45.2200047961631,-2.9633072285722,222990.078090131,131018.812405368,3.02748748793924,0.00376229142857139,182.152000002441,0.621999360020481,0.05,42.0419999990627,0.0899996640033764,1.53E+00,8.34E-02,3.76E-01,4.61E-01,8.38E-01,4.42E-01,3.89E-02,2.18E-02,1.13E-01,8.89E-02,2.49E-01,2.76E-02,2.80E-02,5.02E-01
101.173611111111,-1.29000639488462,1009.32997601918,46.1600351718654,-2.98282263968221,216750.760393421,114085.885353579,4.64140305671301,0.00391559703703707,179.996666673562,0.739329578606601,0.05,42.1713333329196,0.05,1.55E+00,8.36E-02,3.84E-01,4.63E-01,8.50E-01,4.46E-01,4.05E-02,2.25E-02,1.13E-01,8.94E-02,2.78E-01,2.78E-02,2.98E-02,5.61E-01
101.180555555556,-1.53996802557996,1009.41989768186,47.6699104716239,-2.85438405079368,210511.44269671,97152.9583017895,2.61220886878075,0.00408088804232803,177.841333336781,0.8566647893033,0.05,42.3006666664598,0.360000447996453,1.57E+00,8.37E-02,3.92E-01,4.64E-01,8.63E-01,4.50E-01,4.21E-02,2.33E-02,1.13E-01,8.99E-02,3.06E-01,2.80E-02,3.15E-02,6.19E-01
101.1875,-1.44,1009.39,47.59,-2.837329,204272.125,80220.03125,2.35529143457513,0.00424617904761899,175.686,0.974,0.05,42.43,0.16,1.59E+00,8.39E-02,4.00E-01,4.65E-01,8.75E-01,4.53E-01,4.36E-02,2.40E-02,1.13E-01,9.05E-02,3.35E-01,2.83E-02,3.33E-02,6.78E-01
101.194444444444,-1.86005115907207,1009.27011510791,47.6500511590721,-2.6831374634921,234133.468694372,124031.624918385,2,0.00614057311111033,173.371999996299,0.86333156263834,0.05,42.2759999997537,0.11999942400456,1.61E+00,8.40E-02,4.08E-01,4.66E-01,8.87E-01,4.57E-01,4.52E-02,2.48E-02,1.14E-01,9.10E-02,3.64E-01,2.85E-02,3.51E-02,7.36E-01
101.201388888889,-1.66000479616347,1009.45997921663,48.0100271782596,-1.92786804127112,263994.812388744,167843.218586769,2.07310743060627,0.00816912172222138,171.057999992597,0.75266312527668,0.05,42.1219999995073,0.429999728000414,1.63E+00,8.42E-02,4.16E-01,4.68E-01,8.99E-01,4.60E-01,4.68E-02,2.55E-02,1.14E-01,9.15E-02,3.93E-01,2.87E-02,3.68E-02,7.95E-01
101.208333333333,-1.48,1009.30003357314,47.0699232613911,-0.45591794286035,293856.156083116,211654.812255154,2,0.01013185031746,168.744000015311,0.641998528047106,0.05,41.9679999975431,0.140000431995659,1.66E+00,8.43E-02,4.23E-01,4.69E-01,9.11E-01,4.64E-01,4.84E-02,2.63E-02,1.14E-01,9.21E-02,4.22E-01,2.89E-02,3.86E-02,8.53E-01
101.215277777778,-1.57998081534736,1009.33001918465,47.1399232613895,2.22373055237489,297414.281243369,186406.338588719,2,0.0107891485978831,171.934666671768,0.61133284268239,0.05,41.4559999991814,0.05,1.68E+00,8.45E-02,4.31E-01,4.70E-01,9.24E-01,4.68E-01,5.00E-02,2.70E-02,1.14E-01,9.26E-02,4.51E-01,2.91E-02,4.03E-02,9.12E-01
101.222222222222,-1.79000319744211,1009.46997761791,47.7500319744211,9.93424266033384,300972.406256631,161157.864536281,2,0.0114464468783076,175.125333328232,0.58066715731761,0.05,40.9440000008186,0.239999456004307,1.70E+00,8.46E-02,4.39E-01,4.71E-01,9.36E-01,4.71E-01,5.15E-02,2.78E-02,1.14E-01,9.31E-02,4.80E-01,2.93E-02,4.21E-02,9.70E-01
101.229166666667,-2.09995203836943,1009.43006714628,49.1299232613911,19.8308230952539,304530.53126793,135909.390604916,2,0.0121647530158756,178.315999984689,0.550001471952894,0.05,40.4320000024569,0.109999808001929,1.72E+00,8.48E-02,4.47E-01,4.73E-01,9.48E-01,4.75E-01,5.31E-02,2.85E-02,1.14E-01,9.37E-02,5.08E-01,2.95E-02,4.39E-02,1.03E+00
101.236111111111,-2.42,1009.46997921663,49.9199904076731,33.5325813333477,307738.906261954,132315.674465777,2,0.015364045343917,177.960000001139,0.593331946644483,0.05,41.4393333301107,0.109999824000268,1.74E+00,8.49E-02,4.55E-01,4.74E-01,9.60E-01,4.78E-01,5.47E-02,2.93E-02,1.14E-01,9.42E-02,5.37E-01,2.97E-02,4.56E-02,1.09E+00
101.243055555556,-2.60998081534797,1009.61985931255,49.5101023181441,48.6280306031785,310947.281255977,128721.958326639,2,0.0185633376719585,177.604000000569,0.636665973322242,0.05,42.4466666650554,0.320001215990373,1.77E+00,8.51E-02,4.63E-01,4.75E-01,9.72E-01,4.82E-01,5.63E-02,3.00E-02,1.15E-01,9.47E-02,5.66E-01,2.99E-02,4.74E-02,1.15E+00
101.25,-2.48,1009.51,47.77,66.03553,314155.65625,125128.2421875,2,0.02176263,177.248,0.68,0.05,43.454,0.26,1.75E+00,8.49E-02,4.61E-01,4.77E-01,9.71E-01,4.81E-01,5.59E-02,3.02E-02,1.14E-01,9.45E-02,5.61E-01,3.01E-02,4.73E-02,1.13E+00
101.256944444444,-2.19000639488401,1009.63992965628,48.609961630696,84.6036533650747,375321.801969389,144944.817671418,2,0.0176163667724879,179.081333336266,0.78400166402662,0.05,43.5560000001632,0.130000255997973,1.72E+00,8.45E-02,4.54E-01,4.78E-01,9.59E-01,4.77E-01,5.41E-02,2.98E-02,1.13E-01,9.36E-02,5.32E-01,3.01E-02,4.59E-02,1.07E+00
101.263888888889,-1.86000479616347,1009.52002557954,48.6300111910481,104.305402380933,436487.947688777,164761.393155335,2,0.0134701035449757,180.914666672532,0.88800332805324,0.05,43.6580000003263,0.199999968000049,1.68E+00,8.41E-02,4.46E-01,4.80E-01,9.48E-01,4.73E-01,5.23E-02,2.95E-02,1.12E-01,9.28E-02,5.03E-01,3.02E-02,4.45E-02,1.01E+00
101.270833333333,-1.66000479616306,1009.74998561151,48.8401486810548,125.394031904736,497654.093408166,184577.968639253,3.90900682125689,0.00932384031746362,182.747999983534,0.991997856068611,0.05,43.7599999984228,0.300001871981189,1.65E+00,8.36E-02,4.38E-01,4.82E-01,9.36E-01,4.69E-01,5.05E-02,2.92E-02,1.11E-01,9.20E-02,4.73E-01,3.02E-02,4.31E-02,9.50E-01
101.277777777778,-1.58000639488421,1009.76002877698,49.7200479616316,147.111247301547,596448.249815892,219985.593684016,2,0.00878157650793699,179.31666666118,0.947332618689568,0.05,43.4313333328078,0.210000159998733,1.61E+00,8.32E-02,4.30E-01,4.83E-01,9.25E-01,4.65E-01,4.87E-02,2.89E-02,1.10E-01,9.12E-02,4.44E-01,3.03E-02,4.17E-02,8.89E-01
101.284722222222,-1.26001278976843,1009.73000959233,49.8000063948842,169.272012380994,695242.406434108,255393.218815984,2,0.00832793563492031,175.88533333882,0.902667381310432,0.05,43.1026666671922,0.259999872001013,1.58E+00,8.28E-02,4.23E-01,4.85E-01,9.14E-01,4.61E-01,4.69E-02,2.86E-02,1.10E-01,9.04E-02,4.15E-01,3.04E-02,4.03E-02,8.28E-01
