 # time_sec           max_d_vap           max_d_npar           max_d_dpar
   0.0000000000000000        0.0000000000000000        2.0883070865922295E-005   1.1102230246251565E-015
   300.15999999999644        1.4231603596732858E-002   2.1326715604573918E-002   6.8715281886788659E-007
   600.31999999999005        1.7790025943119618E-002   2.1270413450006197E-002   8.4437273342174990E-006
   900.47999999998365        1.4178589128590578E-002   2.1326538487724315E-002   7.5284984251133835E-006
   1200.0000000000084        1.7688059378936707E-002   2.1268283650173987E-002   1.8630044291256809E-005
   1500.1600000000553        1.6064045446860593E-002   2.0894393875919463E-002   1.2240904114113604E-005
   1800.3200000001023        1.6092604921015451E-002   2.0839812308216226E-002   2.9474378166360893E-005
   2100.4800000001305        1.4619060855351701E-002   1.9036790170627704E-002   1.8247591445641476E-005
   2400.0000000000709        1.5187029564486016E-002   1.8989919321994932E-002   4.4696116410891662E-005
   2700.1600000000112        1.3798921329820376E-002   1.8008257011679862E-002   2.5426027248087735E-005
   3000.3199999999515        1.5037585177969392E-002   1.7935088208889598E-002   6.1231121781801789E-005
   3300.4799999998918        1.3661124288804311E-002   1.7892709296708664E-002   2.9392456741161865E-005
   3600.6399999998321        1.4196793746953816E-002   1.7851300495536328E-002   6.5858078722946800E-005
   3900.1599999998548        2.4430959366911219E-002   1.5749944885525509E-002   5.3846549045610814E-005
   4200.9599999998645        2.4965966745128916E-002   1.5716017780435541E-002   1.9456126933947715E-004
   4500.4799999998049        2.1528702232595183E-002   1.4034780776830305E-002   1.2531541601745744E-004
   4801.2799999997451        2.4863984239878938E-002   1.4006058005594778E-002   3.1737072640281028E-004
