#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
C731OOH                      160.167800000000             9.684924752366          4767.267322911624        0.05
C512CO2H                     144.125300000000            10.140760225792          4894.199670598871        0.05
DHPMPAL                      136.103300000000             9.239686155733          4602.286307606802        0.05
DHPMEK                       136.037100000000             9.350529947783          4694.834791195232        0.05
INB1NBCHO                    224.125600000000            11.792572588911          5686.847206236615        0.05
INB1NACHO                    224.125600000000            11.792572588911          5686.847206236615        0.05
NC524OOH                     213.142700000000            15.266248624725          8456.811578286577        0.05
C135OOH                      302.277200000000            14.807822373612          7970.133671938536        0.05
C1211CO2H                    256.294900000000            12.955313728117          6991.581753692974        0.05
INB1OOH                      197.143300000000            13.362566522359          7042.860465868508        0.05
C925OOH                      220.219700000000            14.349884586915          7698.009880121673        0.05
H3C2C4CO2H                   132.114600000000             9.667657328627          4878.427060567950        0.05
KLIMONIC                     188.177900000000            11.842627586905          6292.311531575839        0.05
C135O                        285.269900000000            12.594501240832          6317.506208442563        0.05
C98OH                        188.220900000000            11.168739768757          5461.835818389599        0.05
C88CO2H                      184.189200000000            11.356473049329          5705.098291479484        0.05
C1211CO                      226.268900000000            11.498152357798          5751.833635045002        0.05
MMALNBCO3H                   209.111000000000            10.986150569439          5532.962867238850        0.05
INCNO3                       226.141500000000            12.305296431175          6073.127667915751        0.05
C1010OOH                     200.231600000000            10.507763215269          5426.191817622494        0.05
NC826OOH                     235.191300000000             9.818786948675          4833.082580953158        0.05
INANO3                       226.141500000000            12.939026869106          6446.752514693223        0.05
C821OOH                      174.151300000000             9.901693443495          4784.040396118766        0.05
C622OOH                      132.157700000000             9.742176199200          4727.322672836535        0.05
C614OH                       146.141200000000            10.732981587809          5125.511743816658        0.05
H3C25CCO3H                   190.150700000000            10.591016973225          5519.357471272205        0.05
C823OOH                      174.194400000000            11.197583171144          5849.101631834757        0.05
C88OOH                       172.178500000000            10.112749225829          4889.657133521732        0.05
C1013CO2H                    214.258200000000            10.625073337341          5108.026341318020        0.05
HIEPOXB                      134.130500000000            11.719449081001          5962.052413266977        0.05
C86OOH                       174.194400000000             9.818786948675          4833.082580953158        0.05
CONM2CO2H                    163.085600000000            10.071669252267          4810.842097263968        0.05
C137NO3                      271.309500000000            10.117957391990          4895.744385251254        0.05
C1215OH                      244.284200000000            13.161718422012          6855.072476365324        0.05
C1011CO2H                    198.258800000000            10.347165929068          5030.989013893834        0.05
C924OH                       172.221500000000            10.234705221510          5169.572961972824        0.05
BCKANO3                      285.336100000000            10.493267432441          4980.210917637166        0.05
C920PAN                      261.228600000000            10.212379126401          5088.669852177231        0.05
LMLKACO                      184.189200000000             9.222826156481          4605.560711000151        0.05
C926OH                       186.205100000000             9.055958653201          4584.980546034218        0.05
C1312O                       241.303400000000            10.996749158294          5548.664331850473        0.05
C812OOH                      190.193800000000            12.843565897099          6909.526053132702        0.05
C922O2                       219.211800000000            11.607409237483          5710.128168230667        0.05
C1215O2                      259.275700000000            11.557208376247          5651.043125772091        0.05
LMKAOOH                      188.220900000000            11.677225964578          6026.116641274538        0.05
C106OOH                      216.231000000000            11.275887169419          5804.839424129947        0.05
C731CO3H                     188.177900000000            10.018885043986          4972.649206029078        0.05
C930OH                       186.205100000000             9.724070418638          4706.347659260902        0.05
HNC524CO                     195.127500000000            12.107551062825          6308.988500052524        0.05
INDHPCO3                     226.118300000000            11.406452824495          5628.909356285446        0.05
C139NO3                      303.308300000000            12.125635655217          6288.301623510558        0.05
C524OH                       118.131100000000            10.143304063810          5107.202846896951        0.05
C621OOH                      178.140000000000            12.792351049947          6723.961318086483        0.05
LMKBOOH                      188.220900000000            11.043495525250          5652.491794095999        0.05
C133OOH                      274.310200000000            14.113944732089          7554.582816980990        0.05
C57NO3                       179.128100000000            10.830912886732          5339.816852638558        0.05
C1313NO3                     287.308900000000            10.783630646982          5293.676450853550        0.05
MMALNBCO2H                   193.111600000000            11.687483748942          6030.925973418686        0.05
C628OOH                      162.140600000000            10.678325703376          5502.503476788678        0.05
C87CO2H                      200.188600000000            11.206699881418          5636.166036187969        0.05
C128NO3                      273.282400000000            10.641199387252          5297.752109314000        0.05
INDHPPAN                     272.123800000000            13.253344584215          6963.865788426570        0.05
C142OOH                      256.338000000000            13.143440972225          6947.008238831630        0.05
BCALBCO                      250.333400000000             9.936818200532          4918.674077227364        0.05
C2OHOCOOH                    122.076700000000             9.891047263389          4919.621178310006        0.05
C152OOH                      302.363300000000            13.949317787402          7525.165686545695        0.05
C1211OH                      228.284800000000            12.821237763141          6767.006960498385        0.05
C620OOH                      160.124700000000             9.509102429294          4651.033247115068        0.05
C813NO3                      235.191300000000            14.333147945838          7380.663450366354        0.05
C624CO3H                     160.167800000000            10.066910337323          4932.704551056287        0.05
C97OOH                       188.220900000000            10.671047452106          5357.192865771485        0.05
C716OOH                      174.151300000000             9.864652203876          4901.945470664807        0.05
HC4CCO2H                     116.115200000000             9.619083088727          4757.985710299345        0.05
C151OH                       286.363900000000            14.399891994980          8022.741954238712        0.05
C818OOH                      190.193800000000            11.501688689255          6075.482531996776        0.05
C151O2                       301.355400000000            13.553936045973          7263.492050109241        0.05
C629OOH                      162.140600000000            10.155708782115          5071.267156066104        0.05
C134O                        271.286400000000            12.124222365729          6203.770170695243        0.05
C116OH                       198.258800000000            10.418616690317          5048.103580649900        0.05
C118O                        229.249700000000            11.201658606311          5400.130903553293        0.05
C920CO3H                     216.231000000000            10.601896942406          5360.810541469475        0.05
LIMCOH                       170.248700000000             9.598597666740          4673.890905714624        0.05
C817CO3H                     202.204500000000            10.374434805301          5223.561425780353        0.05
LIMONIC                      186.205100000000            12.223650499558          6552.446619320111        0.05
PXYFUOOH                     148.114000000000            10.791722392019          5344.057031229906        0.05
C735OOH                      174.151300000000             9.813409133613          4976.533662825519        0.05
BCKBCO                       238.322700000000            10.444966468615          5224.107460456228        0.05
LIMAOH                       170.248700000000             9.749797269204          4746.582224698087        0.05
C132O2                       257.302800000000            10.413188268482          5122.125291976944        0.05
C825O2                       189.185800000000            11.012949515995          5589.031401961519        0.05
CO25C6CO2H                   158.151900000000            10.525506195443          5312.248575388065        0.05
C88PAN                       245.186100000000             9.510862294853          4851.426155567029        0.05
INAO                         180.136000000000            10.585249434646          5038.002028466854        0.05
