#Compound                    Mass               C   O   N   H   S  Cl  Br
C116OH                       198.258800000000  11   3   0  18   0   0   0
C118O                        229.249700000000  11   5   0  17   0   0   0
C920CO3H                     216.231000000000  10   5   0  16   0   0   0
LIMCOH                       170.248700000000  10   2   0  18   0   0   0
C817CO3H                     202.204500000000   9   5   0  14   0   0   0
LIMONIC                      186.205100000000   9   4   0  14   0   0   0
PXYFUOOH                     148.114000000000   5   5   0   8   0   0   0
C735OOH                      174.151300000000   7   5   0  10   0   0   0
BCKBCO                       238.322700000000  14   3   0  22   0   0   0
LIMAOH                       170.248700000000  10   2   0  18   0   0   0
C132O2                       257.302800000000  13   5   0  21   0   0   0
C825O2                       189.185800000000   8   5   0  13   0   0   0
CO25C6CO2H                   158.151900000000   7   4   0  10   0   0   0
C88PAN                       245.186100000000   9   7   1  11   0   0   0
INAO                         180.136000000000   5   6   1  10   0   0   0
MVKOHANO3                    165.101500000000   4   6   1   7   0   0   0
C137CO3                      269.313500000000  14   5   0  21   0   0   0
C829OH                       174.194400000000   8   4   0  14   0   0   0
C825OH                       174.194400000000   8   4   0  14   0   0   0
HC4ACO2H                     116.115200000000   5   3   0   8   0   0   0
C134OH                       272.294300000000  13   6   0  20   0   0   0
C1313O                       241.303400000000  13   4   0  21   0   0   0
C132OH                       242.311400000000  13   4   0  22   0   0   0
C126CO2H                     224.296100000000  13   3   0  20   0   0   0
C126OO                       226.268900000000  12   4   0  18   0   0   0
LIMBOOH                      186.248100000000  10   3   0  18   0   0   0
C1215CO                      242.268300000000  12   5   0  18   0   0   0
C624CO2H                     144.168400000000   7   3   0  12   0   0   0
C7PAN3                       233.132400000000   7   8   1   7   0   0   0
C621O                        161.132700000000   6   5   0   9   0   0   0
LMLKAOOH                     202.204500000000   9   5   0  14   0   0   0
LIMALO                       201.239600000000  10   4   0  17   0   0   0
BCALOO                       254.322100000000  14   4   0  22   0   0   0
C811OOH                      174.194400000000   8   4   0  14   0   0   0
INAHPCHO                     195.127500000000   5   7   1   9   0   0   0
INANCHO                      224.125600000000   5   8   2   8   0   0   0
C137O                        225.304000000000  13   3   0  21   0   0   0
C87CO3H                      216.188000000000   9   6   0  12   0   0   0
C728OOH                      178.183100000000   7   5   0  14   0   0   0
C536OOH                      182.042600000000   5   7   0  10   0   0   0
BCLKET                       238.322700000000  14   3   0  22   0   0   0
C139O2                       257.302800000000  13   5   0  21   0   0   0
C1211OOH                     244.284200000000  12   5   0  20   0   0   0
C530OOH                      134.130500000000   5   4   0  10   0   0   0
INB2O                        180.136000000000   5   6   1  10   0   0   0
LMLKBOH                      186.205100000000   9   4   0  14   0   0   0
BCSOZOOH                     302.363300000000  15   6   0  26   0   0   0
C625OH                       148.157100000000   6   4   0  12   0   0   0
C1210OOH                     228.284800000000  12   4   0  20   0   0   0
HMACROOH                     136.103300000000   4   5   0   8   0   0   0
NC524OH                      197.143300000000   5   7   1  11   0   0   0
NC524O2                      212.134800000000   5   8   1  10   0   0   0
C919OH                       186.205100000000   9   4   0  14   0   0   0
INAHPCO2H                    211.126900000000   5   8   1   9   0   0   0
C625O2                       163.148500000000   6   5   0  11   0   0   0
NC102O                       244.221300000000  10   6   1  14   0   0   0
PINIC                        186.205100000000   9   4   0  14   0   0   0
C4MALOHOOH                   148.114000000000   5   5   0   8   0   0   0
C1211CO3                     271.286400000000  13   6   0  19   0   0   0
NBCALOOH                     331.361500000000  15   7   1  25   0   0   0
MVKOHBOOH                    136.103300000000   4   5   0   8   0   0   0
C1213OOH                     276.283000000000  12   7   0  20   0   0   0
C108OOH                      216.231000000000  10   5   0  16   0   0   0
INANCO2H                     240.125000000000   5   9   2   8   0   0   0
CO25C6CO3H                   174.151300000000   7   5   0  10   0   0   0
C4PAN10                      195.084400000000   4   8   1   5   0   0   0
C524OOH                      134.130500000000   5   4   0  10   0   0   0
INDHPCO3H                    227.126300000000   5   9   1   9   0   0   0
NBPINAOOH                    231.245700000000  10   5   1  17   0   0   0
C517OH                       118.131100000000   5   3   0  10   0   0   0
C812OH                       174.194400000000   8   4   0  14   0   0   0
C1312OH                      242.311400000000  13   4   0  22   0   0   0
C1310OH                      258.310800000000  13   5   0  22   0   0   0
C6TONOHOOH                   176.124100000000   6   6   0   8   0   0   0
INB1NBCO2H                   240.125000000000   5   9   2   8   0   0   0
C1310O2                      273.302200000000  13   6   0  21   0   0   0
C126CO3H                     240.295500000000  13   4   0  20   0   0   0
C1312O2                      257.302800000000  13   5   0  21   0   0   0
