2.0833333333333332e-02 5.5217729634758621e+07 1.1410681203398360e+07  2.8921290482403398e+06  5.0130137461094879e+07  0.0000000000000000e+00  4.2961145376754644e+02  1.1640097373185116e+05  3.5356536244612016e+07 8.7366976350209359e+06 5.6295723332697924e+02 4.2165096501122601e+07
4.1666666666666664e-02 1.4992869782879796e+09 3.2330947712150663e+08  7.2409707107720286e+07  1.3857012320450432e+09  0.0000000000000000e+00  1.2221399803884446e+04  3.4510327622374141e+05  1.0295065567960141e+09 3.2044305769176686e+08 2.5082190246762949e+05 1.2447856899437151e+09
6.2500000000000000e-02 2.3961841871342182e+09 5.3225110305519867e+08  1.0764891725297543e+08  2.2381400014675121e+09  1.5347211351741369e+04  2.3699630712492457e+04  2.9511385927715211e+05  1.7481044479480534e+09 6.5336691585577834e+08 7.5308635220234701e+05 2.1415671734914031e+09
8.3333333333333329e-02 3.5274693730997095e+09 8.0531132668824720e+08  1.4694658854428357e+08  3.3277108038322344e+09  2.5303240808895767e+04  3.6541327320548735e+04  2.1565261475339861e+05  2.7406211774148483e+09 1.1525067090107780e+09 1.7072530577966808e+06 3.4035954610723162e+09
1.0416666666666666e-01 4.5083965699513893e+09 1.0601648990947853e+09  1.7424670193844408e+08  4.3010730748984747e+09  2.0373326460515833e+04  4.5274040280835296e+04  1.6063593556810758e+05  3.7457339047145257e+09 1.7230899419535592e+09 3.0813817003020826e+06 4.7175462793780365e+09
1.2499999999999999e-01 5.3896358931109362e+09 1.3039137208190558e+09  1.9562292795901889e+08  5.1985588551293468e+09  2.9781875836315117e+04  5.7159379768488085e+04  1.6065899952898684e+05  4.7675716596361475e+09 2.3455508252487612e+09 4.8167656913917316e+06 6.0877461684325600e+09
1.4583333333333334e-01 5.7458640841425467e+09 1.4344442012214241e+09  1.9632208087751251e+08  5.6118838775753059e+09  1.6169631010579469e+05  9.5715962376424548e+04  1.4126409120177617e+05  5.4285585581917477e+09 2.8748528337504354e+09 6.5800084625207847e+06 7.0638573183606215e+09
1.6666666666666666e-01 6.1831413639384842e+09 1.5808510645837011e+09  2.0437552497855228e+08  6.0973363058030338e+09  1.0234185717113034e+06  3.2203970344196830e+05  1.4483926942933822e+05  6.1472029386366348e+09 3.4197977932040720e+09 8.4470410973066390e+06 8.1003323950713310e+09
1.8750000000000000e-01 7.0164357606148548e+09 1.8217608436951361e+09  2.2849136826129571e+08  6.9609140088105316e+09  4.9772216433659112e+06  1.3584919106401098e+06  1.6744046543449670e+05  7.2417254928433819e+09 4.1143284394418240e+09 1.0773713659868136e+07 9.5864246357034588e+09
2.0833333333333334e-01 7.8390675284641571e+09 2.0663301766108327e+09  2.4888538257442254e+08  7.8146581149785709e+09  1.7268161674240600e+07  4.5551812208241168e+06  1.7223576523288823e+05  8.4815562347436008e+09 4.8939786621663322e+09 1.3536003850616835e+07 1.1228096827903961e+10
2.2916666666666666e-01 9.0214446859739475e+09 2.4021317146557221e+09  2.8001109627725756e+08  9.0101348822990246e+09  4.9011496818950117e+07  1.2647476236471832e+07  1.8987009662665596e+05  1.0273380441830639e+10 5.9094223474143677e+09 1.7168410301272061e+07 1.3474035364801493e+10
2.5000000000000000e-01 1.0356551000341391e+10 2.7857798618459330e+09  3.0979786471402586e+08  1.0309899240784252e+10  1.1636947321846983e+08  2.8921447995129190e+07  1.9407834604061709e+05  1.2639590894005787e+10 7.1941528981046829e+09 2.1752893865778137e+07 1.6385394404447197e+10
2.7083333333333331e-01 1.0229585283227962e+10 2.7705228284954801e+09  2.9246886032009780e+08  1.0065922920070578e+10  2.5874302571187586e+08  5.9538904228595510e+07  3.5408401551443734e+05  1.4110121141556480e+10 8.0625261391867409e+09 2.4940310001745153e+07 1.7839064691169289e+10
2.9166666666666663e-01 6.3465960793451529e+09 1.7424722127561018e+09  1.6708594105988377e+08  6.0882767186549921e+09  2.9387351663986194e+08  6.1728857575333312e+07  5.9416599148496403e+05  1.0885428908369715e+10 7.2658961004525375e+09 2.1379520391595777e+07 1.3995020354965771e+10
3.1249999999999994e-01 5.4072550968871231e+09 1.4321630400218003e+09  1.3046271060243613e+08  4.9344030111671619e+09  3.7641941066036004e+08  7.3921797604023710e+07  5.8959181786452245e+05  1.0876667590913918e+10 7.9720373113866072e+09 2.1309234939024769e+07 1.3958885743206232e+10
3.3333333333333331e-01 4.8403012871753139e+09 1.2147078620422807e+09  1.1748635359616014e+08  4.2070248673520288e+09  4.4092968796219224e+08  8.3426589377125442e+07  8.1968975594618137e+05  1.0905774231089813e+10 8.8185074545153656e+09 2.0602186791512720e+07 1.3938548914750429e+10
3.5416666666666663e-01 3.7596596226659555e+09 8.8552325517867053e+08  1.0061807202510040e+08  3.1674997395121036e+09  4.4998390000101483e+08  7.9694983168045551e+07  8.7144917576553056e+05  8.9979276667134018e+09 8.6781438906445084e+09 1.5839421749614149e+07 1.1198573517185236e+10
3.7499999999999994e-01 3.2469281053798094e+09 7.0965964836555409e+08  8.6492141844594613e+07  2.5954738145545812e+09  4.6871289552987087e+08  8.0038529404227331e+07  1.0772459959984310e+06  8.6944584192502041e+09 9.6906664019010868e+09 1.4284451660898011e+07 1.0794110788762409e+10
