C918NO3           9  5  1 13  0  0  0
C134CO           13  6  0 18  0  0  0
BCCOOH           15  3  0 26  0  0  0
TM124NO2O         8  7  1 10  0  0  0
DNMXYOLOOH        8 10  2 10  0  0  0
C823CO            8  3  0 12  0  0  0
PXYCATECH         2  2  0 82  0  0  0
C124OH           12  3  0 22  0  0  0
TM123MUCO         9  5  0 13  0  0  0
C137CO           13  3  0 20  0  0  0
MBOAOOH           5  4  0 12  0  0  0
DEMPHOLOOH       11  6  0 18  0  0  0
EBZMUCOOH         8  6  0 12  0  0  0
DMKOHOOH          6  5  0 10  0  0  0
IPBZBPR2OH        9  4  0 14  0  0  0
C6CO4MEDB         9  4  0 10  0  0  0
C42OH             4  6  1  7  0  0  0
C63NO3            6  5  1 11  0  0  0
C917NO3           9  5  1 13  0  0  0
C620OH            6  4  0  8  0  0  0
NEBNZOLOOH        8  8  1 11  0  0  0
NPETOLOH          9  7  1 13  0  0  0
C731OOH           7  4  0 12  0  0  0
NC524OOH          5  8  1 11  0  0  0
C925OOH           9  6  0 16  0  0  0
H14CO23C4         4  4  0  6  0  0  0
H3C2C4CO2H        5  4  0  8  0  0  0
NPETLQO2          9  7  1 10  0  0  0
PXYMUCNO3         8  7  1 11  0  0  0
CO25C74OOH        7  4  0 12  0  0  0
C1010OOH         10  4  0 16  0  0  0
TMB2FUOOH         7  5  0 12  0  0  0
H3C25CCO3H        7  6  0 10  0  0  0
C823OOH           8  4  0 14  0  0  0
C88OOH            8  4  0 12  0  0  0
C1013CO2H        11  4  0 18  0  0  0
C7EDCOOH          7  5  0 12  0  0  0
C827OOH           8  4  0 14  0  0  0
NDNPBZLOOH        9 12  3 11  0  0  0
NDNPETLOOH        9 12  3 11  0  0  0
C3NO3COOOH        3  6  1  5  0  0  0
C1312O           13  4  0 21  0  0  0
BZEMUCCO3H        6  5  0  6  0  0  0
TL4OHNO2O2        7  8  1  8  0  0  0
OTNCATECO         9  8  1 12  0  0  0
OTNCATECH         3  4  1 83  0  0  0
HNC524CO          5  7  1  9  0  0  0
C139NO3          13  7  1 21  0  0  0
C5ONO34OOH        5  6  1  9  0  0  0
NPHENOOH          6  8  1  7  0  0  0
C57NO3            5  6  1  9  0  0  0
C1313NO3         13  6  1 21  0  0  0
BCALBCO          15  3  0 22  0  0  0
IPBZMUCOH         9  5  0 14  0  0  0
C9M2CO6OH        10  3  0 16  0  0  0
C152OOH          15  6  0 26  0  0  0
IPBZMUCO2         9  6  0 13  0  0  0
HO13C3CO3H        4  5  0  8  0  0  0
C82OOH            8  4  0 16  0  0  0
C716OOH           7  5  0 10  0  0  0
C83COOHOOH        8  6  0 12  0  0  0
C151OH           15  5  0 26  0  0  0
C151O2           15  6  0 25  0  0  0
C629OOH           6  5  0 10  0  0  0
H2M2C4CO2H        6  3  0 12  0  0  0
C134O            13  6  0 19  0  0  0
C920CO3H         10  5  0 16  0  0  0
LIMCOH           10  2  0 18  0  0  0
PXYFUOOH          5  5  0  8  0  0  0
C735OOH           7  5  0 10  0  0  0
C8M2CO6OH         9  3  0 14  0  0  0
PETCATECH         3  2  0 84  0  0  0
CO25C6CO2H        7  4  0 10  0  0  0
NDNT124LO         9 11  3 10  0  0  0
PETLMUCO2H        9  4  0 12  0  0  0
C88PAN            9  7  1 11  0  0  0
C121OOH          12  3  0 24  0  0  0
BCALBOOH         15  4  0 24  0  0  0
C1011CO3H        11  4  0 18  0  0  0
LIMBOOH          10  3  0 18  0  0  0
C733OOH           7  5  0 12  0  0  0
C815CO2OOH        8  4  0 12  0  0  0
C918CO3H         10  4  0 16  0  0  0
DNPHEN            0  5  2 76  0  0  0
TM135BPNO3        9  6  1 13  0  0  0
C617CO2H          7  4  0 10  0  0  0
NDNCRESO2         7 12  3  6  0  0  0
PXYMUCO           8  5  0 11  0  0  0
DNPXYOL           2  5  2 80  0  0  0
TM124MUO2H        9  4  0 12  0  0  0
MIBKOHAOOH        6  4  0 12  0  0  0
C510OH            5  6  1  9  0  0  0
EBFUOOH           6  5  0 10  0  0  0
T123NCATO         9  8  1 12  0  0  0
C1310O           13  5  0 21  0  0  0
BCLKET           14  3  0 22  0  0  0
DNPHENO           6  9  2  5  0  0  0
C1210OOH         12  4  0 20  0  0  0
BOX2COMOOH        7  5  0 12  0  0  0
C919OH            9  4  0 14  0  0  0
PTNCATECH         3  4  1 83  0  0  0
PTNCATECO         9  8  1 12  0  0  0
H3C2C4PAN         5  7  1  7  0  0  0
C4MALOHOOH        5  5  0  8  0  0  0
C1211CO3         13  6  0 19  0  0  0
MVKOHBOOH         4  5  0  8  0  0  0
C1213OOH         12  7  0 20  0  0  0
C9M2CO6OOH       10  4  0 16  0  0  0
C7CO3OHOOH        7  6  0 10  0  0  0
DNCRESO2          7 10  2  7  0  0  0
MXYFUOH           6  4  0 10  0  0  0
HO3C106NO3       10  4  1 21  0  0  0
DNIPBNZLO2        9 10  2 11  0  0  0
TM123BP2OH        9  4  0 14  0  0  0
C65NO3CO3H        6  6  1 11  0  0  0
