#Compound                    Mass               C   O   N   H   S  Cl  Br
NDNCRESO2                    324.135400000000   3   3   0   4   0   0   0
C87CO3H                      216.188000000000   7   5   0   9   0   0   0
NDNPHENO2                    310.108900000000   2   3   0   4   0   0   0
C728OOH                      178.183100000000   6   4   0   6   0   0   0
C536OOH                      182.042600000000   8   7   1  13   0   0   0
TLFUOH                       132.114600000000   3   2   0   5   0   0   0
C5CO2OHPAN                   219.105800000000   5   8   2  10   0   0   0
TLEMUCOH                     174.151300000000   1   3   0  78   0   0   0
C530OOH                      134.130500000000   7   4   0   8   0   0   0
INB2O                        180.136000000000  10   3   0  16   0   0   0
LMLKBOH                      186.205100000000  10   3   0  16   0   0   0
DNPHENO                      249.111900000000   7   5   0  10   0   0   0
C625OH                       148.157100000000   6   3   0  12   0   0   0
HMACROOH                     136.103300000000   6   4   0   8   0   0   0
NC524OH                      197.143300000000   6   5   0   7   0   0   0
NC524O2                      212.134800000000   6   4   0  10   0   0   0
INAHPCO2H                    211.126900000000   1   0   0   4   0   0   0
PINIC                        186.205100000000   3   4   0   4   0   0   0
PTLQCO                       154.120100000000   5   6   1   6   0   0   0
C4MALOHOOH                   148.114000000000   5   6   1   7   0   0   0
MVKOHBOOH                    136.103300000000   5   2   0  10   0   0   0
C108OOH                      216.231000000000   2   6   1   2   0   0   0
INANCO2H                     240.125000000000   6   5   0   9   0   0   0
DNCRESO2                     279.137900000000   9   3   0  16   0   0   0
C4PAN10                      195.084400000000   8   4   0  14   0   0   0
C524OOH                      134.130500000000   5   5   0   7   0   0   0
INDHPCO3H                    227.126300000000   1   2   0  79   0   0   0
NBPINAOOH                    231.245700000000  10   3   0  17   0   0   0
C812OH                       174.194400000000   8   4   0  12   0   0   0
C914OH                       184.189200000000   5   3   0   4   0   0   0
INB1NBCO2H                   240.125000000000   4   5   0   4   0   0   0
C525OOH                      166.129300000000   9   4   0  14   0   0   0
C534OOH                      180.112800000000   5   4   0  10   0   0   0
NCRES1OOH                    169.134800000000   8   4   0  14   0   0   0
C921OOH                      204.220300000000   4   6   1   5   0   0   0
NC71CO                       201.133600000000   6   3   0   8   0   0   0
C3DIOLOOH                    108.093200000000  10   4   1  17   0   0   0
BPINCOOH                     186.248100000000   5   4   0   4   0   0   0
NCATECHOL                    155.108200000000   4   5   0   7   0   0   0
C614NO3                      191.138800000000   1   1   0  79   0   0   0
C519OOH                      134.130500000000   9   3   0  16   0   0   0
BPINBOOH                     186.248100000000   3   4   0   6   0   0   0
C811OH                       158.195000000000  10   7   1  15   0   0   0
INAHPCO3H                    227.126300000000   9   4   0  12   0   0   0
INANCOCO2H                   238.109100000000   9   4   0  14   0   0   0
NC72OOH                      233.132400000000   3   1   0   6   0   0   0
NNCATECOOH                   282.118600000000   8   5   0  12   0   0   0
C818CO                       172.178500000000   8   6   1  11   0   0   0
H3C25CCO2H                   174.151300000000   9   6   1  14   0   0   0
H3C25C6OOH                   162.140600000000   9   5   0  13   0   0   0
NCRESOH                      219.148900000000   3   2   0   6   0   0   0
TLEMUCCO                     172.135400000000   8   5   0  14   0   0   0
INANCO3H                     256.124400000000   3   7   1   5   0   0   0
CRESOOH                      190.150700000000   3   3   0   8   0   0   0
H3C25C6PAN                   235.148300000000   6   2   0  11   0   0   0
H3C25C6OH                    146.141200000000  10   2   0  17   0   0   0
C732OH                       160.167800000000   5   3   0   9   0   0   0
INB1O                        180.136000000000   9   4   0  15   0   0   0
NC6PAN1                      294.129300000000   4   5   1   7   0   0   0
INCNCHO                      224.125600000000   4   4   0   8   0   0   0
INANPAN                      301.122000000000   4   5   0   6   0   0   0
INB1HPCO2H                   211.126900000000   9   6   0  15   0   0   0
TLFUOOH                      148.114000000000   5   4   0   6   0   0   0
HIEB1O2                      165.121400000000   3   3   0   6   0   0   0
C9DCOOH                      184.189200000000   6   4   0   7   0   0   0
INB1NBCO3H                   256.124400000000   9   5   0  15   0   0   0
NC61CO3H                     249.131800000000   9   4   0  16   0   0   0
C517OOH                      134.130500000000  10   5   0  16   0   0   0
C618CO2H                     158.151900000000   3   2   0   8   0   0   0
C734O                        175.159200000000   5   3   0   9   0   0   0
C825CO                       172.178500000000   8   5   0  12   0   0   0
NC524NO3                     242.140900000000   9   2   0  13   0   0   0
DNPHENOOH                    266.119200000000   4   6   1   5   0   0   0
NC102OOH                     261.228600000000   8   5   1  13   0   0   0
C515OOH                      146.098100000000   2   3   0   4   0   0   0
H13CO2CO3H                   150.086800000000   7   7   1   9   0   0   0
C516OOH                      164.113400000000   5   7   1   9   0   0   0
DNCRESO                      263.138500000000   7   4   0   8   0   0   0
HMVKNO3                      165.101500000000   5   6   0   5   0   0   0
INB1NBCHO                    224.125600000000   7   2   0  11   0   0   0
C820OOH                      204.177300000000   5   5   0   6   0   0   0
C235C6CO3H                   188.134800000000   5   5   0   5   0   0   0
PXYFUOH                      132.114600000000   5   4   0   9   0   0   0
INDOH                        181.143900000000   7  10   2   8   0   0   0
MMALNHYOOH                   162.097500000000   6   6   0  10   0   0   0
C719OH                       160.167800000000   5   3   0   8   0   0   0
C525O                        149.122000000000   9   4   0  16   0   0   0
C6COOHCO3H                   188.134800000000   4   5   1   5   0   0   0
HOHOC4DIAL                   118.088000000000   9   3   0  16   0   0   0
TLEMUCOOH                    190.150700000000   3   4   0   6   0   0   0
HIEB1O                       149.122000000000   6   8   1   7   0   0   0
INB1HPCO3H                   227.126300000000   6   4   0  10   0   0   0
C107OOH                      200.231600000000   6   3   0   9   0   0   0
C517CO3H                     162.140600000000   5   5   0   6   0   0   0
C826OOH                      190.193800000000   5   6   1   9   0   0   0
INB1HPPAN                    272.123800000000   3   4   0   6   0   0   0
LMLKBOOH                     202.204500000000   5   3   0   7   0   0   0
C57OH                        134.130500000000   5   7   1   7   0   0   0
BZEMUCOOH                    176.124100000000   5   5   1   9   0   0   0
MMALNBPAN                    254.108500000000   6   5   0  10   0   0   0
MNNCATECO                    279.137900000000   9   5   0  12   0   0   0
C537OOH                      182.042600000000   6   4   0  10   0   0   0
PHENOOH                      176.124100000000   5  11   2   8   0   0   0
NAPINBOOH                    231.245700000000   5   8   1   5   0   0   0
C717OOH                      174.151300000000   3   3   0   4   0   0   0
HOPINONIC                    200.231600000000   6   2   0  10   0   0   0
C826OH                       174.194400000000   6   3   0   6   0   0   0
C719OOH                      176.167200000000   4   4   0   6   0   0   0
C730OOH                      178.183100000000   5   4   0   7   0   0   0
C734OOH                      192.166600000000   7   4   0  11   0   0   0
HPC52OOH                     166.129300000000   4   5   0   5   0   0   0
NAPINAOOH                    231.245700000000   7   4   0   8   0   0   0
NPXYFUOOH                    193.111600000000   6   7   1   6   0   0   0
NDNCRESO                     308.136000000000   3   6   1   3   0   0   0
C720OOH                      144.168400000000   3   6   1   5   0   0   0
NBZFUONE                     161.069700000000   4   3   0   7   0   0   0
C58OH                        134.130500000000   2   3   0   3   0   0   0
LIMALOH                      202.247500000000   6   5   0   8   0   0   0
C58NO3CO3H                   211.126900000000   6   5   0   6   0   0   0
C5COOHCO3H                   174.108200000000   4   3   0   6   0   0   0
C87PAN                       261.185500000000   7   4   0  12   0   0   0
C722OOH                      176.167200000000   9   4   0  16   0   0   0
INDHPCHO                     195.127500000000   6   5   0   6   0   0   0
INB1NAPAN                    301.122000000000   3   3   0   5   0   0   0
C721OOH                      160.167800000000   4   3   0   6   0   0   0
INCNPAN                      301.122000000000   7   5   0  10   0   0   0
HIEB2O                       149.122000000000   4   3   0   7   0   0   0
MNCATECH                     169.134800000000  10   6   1  14   0   0   0
MNCATECO                     234.140300000000   5   2   0  10   0   0   0
INB1OH                       181.143900000000   4   5   1   7   0   0   0
NBZQOOH                      203.106400000000   3   3   0   6   0   0   0
C59OOH                       150.129900000000   2   5   1   3   0   0   0
C57NO3PAN                    256.124400000000   5   5   0   9   0   0   0
INB1NBPAN                    301.122000000000   7   3   0  12   0   0   0
C623OH                       148.157100000000   5   3   0   8   0   0   0
MNNCATCOOH                   296.145200000000   3   3   0   2   0   0   0
MNCATECO2                    250.139700000000   8   5   0  14   0   0   0
C812O                        173.186400000000   4   4   0   4   0   0   0
NCATECOOH                    237.121100000000   7   4   0  12   0   0   0
C625OOH                      164.156500000000   8   4   0  14   0   0   0
C621O2                       177.132100000000   6   5   0  10   0   0   0
INAHPAN                      256.124400000000  10   3   0  17   0   0   0
C825O                        173.186400000000   5   5   0   7   0   0   0
C513OH                       132.114600000000   4   4   0   3   0   0   0
C108OH                       200.231600000000   9   5   0  13   0   0   0
MMALNAPAN                    254.108500000000   5   3   0   9   0   0   0
INAHPPAN                     272.123800000000   5   2   0   8   0   0   0
NORPINIC                     172.178500000000   7   5   0  10   0   0   0
INDO                         180.136000000000   9   3   0  13   0   0   0
LMLKBCO                      184.189200000000   7   4   0  10   0   0   0
C811PAN                      247.202000000000   5   4   0   7   0   0   0
C535OOH                      180.112800000000  10   3   0  17   0   0   0
NBZFUOOH                     179.085000000000  10   5   0  16   0   0   0
INB1NACO3H                   256.124400000000  10   2   0  18   0   0   0
C109OOH                      200.231600000000   9   5   0  14   0   0   0
INCCO                        179.128100000000   6   3   0  11   0   0   0
C513OOH                      148.114000000000   4   7   1   5   0   0   0
C537O2                       181.034800000000   4   5   1   5   0   0   0
C920OOH                      188.220900000000   3   4   0   5   0   0   0
INAOOH                       197.143300000000   4   4   0   6   0   0   0
C515CO3H                     174.108200000000   9   4   0  13   0   0   0
C813O                        189.185800000000   5   5   0   8   0   0   0
C721CO3H                     188.177900000000   7   4   0  10   0   0   0
HMACROH                      120.103900000000   7   5   0  10   0   0   0
C718CO2H                     172.178500000000   8   3   0  12   0   0   0
C515PAN                      219.105800000000   4   6   1   7   0   0   0
C5DICAROOH                   148.114000000000  10   3   0  17   0   0   0
INB2OOH                      197.143300000000   8   5   0  13   0   0   0
HPC52CO3H                    198.128100000000   7   4   0  10   0   0   0
C918OOH                      186.205100000000   4   6   1   5   0   0   0
C824OOH                      174.194400000000   5   4   0   8   0   0   0
INB1HPCHO                    195.127500000000   9   7   1  11   0   0   0
C916OOH                      202.204500000000   4   3   0   5   0   0   0
BPINAOOH                     186.248100000000   8   4   1  13   0   0   0
C734OH                       176.167200000000   7   2   0  12   0   0   0
MMALNACO3H                   209.111000000000   9   2   0  14   0   0   0
C58NO3PAN                    256.124400000000   3   4   0   7   0   0   0
C810NO3                      203.192500000000   9   6   1  13   0   0   0
LIMALBOOH                    200.231600000000   9   3   0  13   0   0   0
H14CO23C4                    118.088000000000   7   3   0  11   0   0   0
APINCNO3                     215.246300000000   7   8   1   6   0   0   0
BZEMUCCO2H                   142.109400000000   6   7   1   7   0   0   0
NPTLQOOH                     217.133000000000   1   2   0  80   0   0   0
C98OOH                       204.220300000000   7   5   0  11   0   0   0
C97OH                        172.221500000000   8   4   0  14   0   0   0
C730OH                       162.183700000000   5   3   0   8   0   0   0
MVKOHAOH                     120.103900000000   2   4   0   4   0   0   0
PINALOOH                     200.231600000000  10   3   0  14   0   0   0
PHENOH                       160.124700000000   5   3   0   5   0   0   0
MVKOHAOOH                    136.103300000000   7   3   0  11   0   0   0
INB1NACO2H                   240.125000000000   5   3   0   9   0   0   0
INANCOPAN                    299.106100000000   8   3   1  13   0   0   0
INB1NO3                      226.141500000000   6   6   1  10   0   0   0
C734O2                       191.158600000000   8   4   0  13   0   0   0
C819OOH                      190.193800000000   6   3   0  10   0   0   0
DNC524CO                     240.125000000000  10   3   0  18   0   0   0
LIMALAOOH                    200.231600000000   4   4   0   6   0   0   0
C824OH                       158.195000000000   9   4   0  13   0   0   0
C924OOH                      188.220900000000   7   3   0  12   0   0   0
INB1CO                       179.128100000000   7   8   1   7   0   0   0
C106NO3                      245.229200000000   6   5   0   9   0   0   0
BZFUOOH                      134.087400000000  10   3   0  14   0   0   0
INANCOCO3H                   254.108500000000   5   4   0   5   0   0   0
MALDIALOOH                   134.087400000000   5   3   0   5   0   0   0
C57AOOH                      150.129900000000  10   4   0  16   0   0   0
C823CO3H                     202.204500000000   0   3   0  77   0   0   0
C925O2                       219.211800000000   9   2   0  13   0   0   0
HIEB1OOH                     166.129300000000   0   5   2  76   0   0   0
APINAOOH                     186.248100000000   9   5   0  14   0   0   0
LIMONONIC                    184.232200000000   2   4   0   4   0   0   0
NORLIMOOH                    204.220300000000   3   5   1   7   0   0   0
C734CO                       174.151300000000   7   6   1  12   0   0   0
C525O2                       165.121400000000   2   3   1   5   0   0   0
NC101OOH                     245.229200000000   8   2   0  12   0   0   0
HIEB2OOH                     166.129300000000   7   3   0  11   0   0   0
C817OOH                      174.194400000000   7   5   0   8   0   0   0
C813OOH                      206.193200000000   4   5   0   6   0   0   0
C98NO3                       233.218500000000   5   7   1   9   0   0   0
C51OOH                       134.130500000000   9   4   1  13   0   0   0
MALANHYOOH                   148.071000000000   8   4   0  14   0   0   0
BPINCOH                      170.248700000000   4   4   0   5   0   0   0
C2OHOCO2H                    106.077300000000   4   6   1   7   0   0   0
C811CO3H                     202.204500000000   6   5   0   8   0   0   0
INAHCO2H                     195.127500000000   3   3   0   6   0   0   0
NCATECO                      220.113700000000   7   4   0  10   0   0   0
C524NO3                      163.128700000000   9   4   0  13   0   0   0
NC524O                       196.135400000000   5   7   1   9   0   0   0
C108NO3                      245.229200000000   5   8   2   8   0   0   0
NCATECO2                     236.113100000000   6   4   0   9   0   0   0
HMVKBOOH                     120.103900000000   7  12   3   6   0   0   0
C820O                        187.169900000000   4   4   0   6   0   0   0
C919OH                       186.205100000000   9   6   0  12   0   0   0
C537O                        165.039900000000   5   2   0   6   0   0   0
NNCATECO                     265.111300000000   3   5   1   7   0   0   0
NCRESOOH                     235.148300000000   9   3   0  10   0   0   0
TLBIPEROOH                   174.151300000000   8   2   0  13   0   0   0
C520OOH                      148.114000000000   5   3   0   7   0   0   0
C519CO2H                     146.141200000000   7   6   0   9   0   0   0
C616OOH                      160.124700000000   5   2   0   6   0   0   0
HC23C4CO3H                   162.097500000000   6  12   3   4   0   0   0
C614OOH                      162.140600000000   8   3   0  12   0   0   0
INAHCO3H                     211.126900000000   7   7   1   8   0   0   0
