#Compound                    Mass                        parameter_A              parameter_B
TM135BPNO3                   231.202600000000            11.827999949775          5706.450026757730
TM124MUO2H                   184.189200000000            10.694805565540          5372.165105714897
EBFUOOH                      162.140600000000            11.147272164260          5594.969254109618
T123NCATO                    262.193500000000            11.117829288015          5719.927356469913
C1310O                       257.302800000000            12.989354024947          7016.655485681028
BCLKET                       238.322700000000             9.603827915290          4952.803606026283
C1210OOH                     228.284800000000            10.797610889225          5466.537543783727
NPXYOLO                      232.167500000000            10.232024691982          4889.661578771545
C919OH                       186.205100000000             9.576185385724          4731.704249862459
PTNCATECO                    262.193500000000            11.936899920652          6278.649171785622
C4MALOHOOH                   148.114000000000             8.971097865175          4471.557543293921
C1211CO3                     271.286400000000            11.058265473332          5532.813459591152
MVKOHBOOH                    136.103300000000            10.425945700514          5534.855291621608
C1213OOH                     276.283000000000            15.820422184671          8771.661741398761
C9M2CO6OOH                   200.231600000000            10.012922821533          5183.486047067944
C7CO3OHOOH                   190.150700000000            10.654905014692          5417.957797325917
HO3C106NO3                   219.278000000000            10.601190459428          5113.469737418953
DNIPBNZLO2                   307.191000000000             9.669739096709          4700.994965801658
TM123BP2OH                   186.205100000000             9.669739096709          4700.994965801658
C534OOH                      180.112800000000            10.829104024240          5776.839839465685
INAHPCO3                     226.118300000000            10.771302739906          5276.678384416065
IPBZMUCO3H                   200.188600000000            10.054322234432          4966.750483083737
DETLMUOOH                    246.257000000000            11.685506456409          6266.004219675244
NPEBQOOH                     231.159600000000            12.596375035171          6646.526473181220
HO3C126NO3                   247.331200000000            11.312290023854          5615.294188889353
INAHPCO3H                    227.126300000000            12.937218016498          6883.775504351123
TM124QOOH                    200.188600000000            11.808066682481          6457.859863246942
IPNNCATOOH                   324.198400000000            15.423489550415          8408.916585562352
C1312OOH                     258.310800000000            13.197935724229          7201.291795120540
C916NO3                      231.202600000000            10.563630896222          5310.050225365349
EBENZOLOH                    188.177900000000            10.758735567784          5525.039207161459
HO3C116OOH                   204.306500000000            10.886194615422          5608.258938437979
INANCO3H                     256.124400000000            13.094264550653          6639.898528961440
EBENZOLOOH                   204.177300000000            12.045639192651          6418.416770079857
C71OOH                       162.183700000000             9.709658974106          4906.424869818745
