#Compound                    Mass               C   O   N   H   S  Cl  Br
MMALNBCO2H                   193.111600000000   5   7   1   7   0   0   0
C620OOH                      160.124700000000   6   5   0   8   0   0   0
C97OOH                       188.220900000000   9   4   0  16   0   0   0
PBZQOOH                      158.108800000000   6   5   0   6   0   0   0
C733OH                       160.167800000000   7   4   0  12   0   0   0
TLEMUCCO3H                   172.135400000000   7   5   0   8   0   0   0
C87CO3H                      216.188000000000   9   6   0  12   0   0   0
C536OOH                      182.042600000000   5   7   0  10   0   0   0
INB2O                        180.136000000000   5   6   1  10   0   0   0
HMACROOH                     136.103300000000   4   5   0   8   0   0   0
PTLQCO                       154.120100000000   7   4   0   6   0   0   0
C108OOH                      216.231000000000  10   5   0  16   0   0   0
C4PAN10                      195.084400000000   4   8   1   5   0   0   0
C524OOH                      134.130500000000   5   4   0  10   0   0   0
C525OOH                      166.129300000000   5   6   0  10   0   0   0
NC71CO                       201.133600000000   7   6   1   7   0   0   0
C3DIOLOOH                    108.093200000000   3   4   0   8   0   0   0
C614NO3                      191.138800000000   6   6   1   9   0   0   0
BPINBOOH                     186.248100000000  10   3   0  18   0   0   0
C811OH                       158.195000000000   8   3   0  14   0   0   0
H3C25CCO2H                   174.151300000000   7   5   0  10   0   0   0
H3C25C6OOH                   162.140600000000   6   5   0  10   0   0   0
NCRESOH                      219.148900000000   7   7   1   9   0   0   0
H3C25C6PAN                   235.148300000000   7   8   1   9   0   0   0
INCNCHO                      224.125600000000   5   8   2   8   0   0   0
NC61CO3H                     249.131800000000   7   9   1   7   0   0   0
C517OOH                      134.130500000000   5   4   0  10   0   0   0
C734O                        175.159200000000   7   5   0  11   0   0   0
DNPHENOOH                    266.119200000000   6  10   2   6   0   0   0
H13CO2CO3H                   150.086800000000   4   6   0   6   0   0   0
C516OOH                      164.113400000000   5   6   0   8   0   0   0
MMALNHYOOH                   162.097500000000   5   6   0   6   0   0   0
C525O                        149.122000000000   5   5   0   9   0   0   0
HIEB1O                       149.122000000000   5   5   0   9   0   0   0
INB1HPCO3H                   227.126300000000   5   9   1   9   0   0   0
C107OOH                      200.231600000000  10   4   0  16   0   0   0
MMALNBPAN                    254.108500000000   5  10   2   6   0   0   0
PHENOOH                      176.124100000000   6   6   0   8   0   0   0
NAPINAOOH                    231.245700000000  10   5   1  17   0   0   0
C720OOH                      144.168400000000   7   3   0  12   0   0   0
NBZFUONE                     161.069700000000   4   6   1   3   0   0   0
LIMALOH                      202.247500000000  10   4   0  18   0   0   0
INDHPCHO                     195.127500000000   5   7   1   9   0   0   0
C734CO                       174.151300000000   7   5   0  10   0   0   0
INCNPAN                      301.122000000000   5  12   3   7   0   0   0
MNCATECH                     169.134800000000   1   4   1  79   0   0   0
MNCATECO                     234.140300000000   7   8   1   8   0   0   0
INB1OH                       181.143900000000   5   6   1  11   0   0   0
C87OH                        172.178500000000   8   4   0  12   0   0   0
C108OH                       200.231600000000  10   4   0  16   0   0   0
C535OOH                      180.112800000000   5   7   0   8   0   0   0
INCCO                        179.128100000000   5   6   1   9   0   0   0
C917OOH                      186.205100000000   9   4   0  14   0   0   0
LIMALBOOH                    200.231600000000  10   4   0  16   0   0   0
C812OH                       174.194400000000   8   4   0  14   0   0   0
C718CO2H                     172.178500000000   8   4   0  12   0   0   0
C515PAN                      219.105800000000   6   8   1   5   0   0   0
C58NO3PAN                    256.124400000000   5  10   2   8   0   0   0
C810NO3                      203.192500000000   8   5   1  13   0   0   0
LIMALAOOH                    200.231600000000  10   4   0  16   0   0   0
NCATECHOL                    155.108200000000   0   4   1  77   0   0   0
C823CO3H                     202.204500000000   9   5   0  14   0   0   0
APINAOOH                     186.248100000000  10   3   0  18   0   0   0
NORLIMOOH                    204.220300000000   9   5   0  16   0   0   0
C519OOH                      134.130500000000   5   4   0  10   0   0   0
PINONIC                      184.232200000000  10   3   0  16   0   0   0
C2OHOCO2H                    106.077300000000   3   4   0   6   0   0   0
INAO                         180.136000000000   5   6   1  10   0   0   0
NC524O                       196.135400000000   5   7   1  10   0   0   0
NCATECO2                     236.113100000000   6   9   1   6   0   0   0
C537O                        165.039900000000   5   6   0   9   0   0   0
NNCATECO                     265.111300000000   6  10   2   5   0   0   0
NCRESOOH                     235.148300000000   7   8   1   9   0   0   0
C519CO2H                     146.141200000000   6   4   0  10   0   0   0
NC72OOH                      233.132400000000   7   8   1   7   0   0   0
C106NO3                      245.229200000000  10   6   1  15   0   0   0
C732OOH                      176.167200000000   7   5   0  12   0   0   0
C615CO2H                     158.151900000000   7   4   0  10   0   0   0
C924OOH                      188.220900000000   9   4   0  16   0   0   0
C524NO3                      163.128700000000   5   5   1   9   0   0   0
C822CO2H                     170.205700000000   9   3   0  14   0   0   0
INCOH                        181.143900000000   5   6   1  11   0   0   0
C533OOH                      164.113400000000   5   6   0   8   0   0   0
BPINANO3                     215.246300000000  10   4   1  17   0   0   0
C626CO2H                     158.151900000000   7   4   0  10   0   0   0
PINALNO3                     229.229800000000  10   5   1  15   0   0   0
KLIMONIC                     188.177900000000   8   5   0  12   0   0   0
C58NO3CO2H                   195.127500000000   5   7   1   9   0   0   0
TLFUOH                       132.114600000000   5   4   0   8   0   0   0
HPNC524CO                    211.126900000000   5   8   1   9   0   0   0
LIMONONIC                    184.232200000000  10   3   0  16   0   0   0
NC91CO3H                     245.229200000000  10   6   1  15   0   0   0
C728OH                       162.183700000000   7   4   0  14   0   0   0
INANCO                       224.125600000000   5   8   2   8   0   0   0
C915OOH                      186.205100000000   9   4   0  14   0   0   0
NC4DCO2H                     145.070300000000   4   5   1   3   0   0   0
C914OOH                      200.188600000000   9   5   0  12   0   0   0
LMLKAOH                      186.205100000000   9   4   0  14   0   0   0
C916OH                       186.205100000000   9   4   0  14   0   0   0
C919OOH                      202.204500000000   9   5   0  14   0   0   0
LIMALOOH                     218.246900000000  10   5   0  18   0   0   0
C813OH                       190.193800000000   8   5   0  14   0   0   0
C818OH                       174.194400000000   8   4   0  14   0   0   0
C731CO3H                     188.177900000000   8   5   0  12   0   0   0
NC91PAN                      290.226800000000  10   8   2  14   0   0   0
INB1NBCHO                    224.125600000000   5   8   2   8   0   0   0
PTLQOH                       156.136000000000   7   4   0   8   0   0   0
C821OOH                      174.151300000000   7   5   0  10   0   0   0
C924OH                       172.221500000000   9   3   0  16   0   0   0
C920PAN                      261.228600000000  10   7   1  15   0   0   0
HPC52CO3H                    198.128100000000   5   8   0  10   0   0   0
PTLQOOH                      172.135400000000   7   5   0   8   0   0   0
C628OOH                      162.140600000000   6   5   0  10   0   0   0
BZFUOH                       118.088000000000   4   4   0   6   0   0   0
C813NO3                      235.191300000000   8   7   1  13   0   0   0
C818OOH                      190.193800000000   8   5   0  14   0   0   0
INAHPCHO                     195.127500000000   5   7   1   9   0   0   0
