#Compound                    Mass                        parameter_A              parameter_B
APINANO3                     215.246300000000             9.379612601608          4598.750497693679
C924OH                       172.221500000000             9.892896320149          4911.426214309129
C920PAN                      261.228600000000            10.598337003838          5428.857394930946
C926OH                       186.205100000000             9.659655809831          4814.742236385931
C87OOH                       188.177900000000            10.686861939669          5465.498324746041
C812OOH                      190.193800000000            13.862314284225          7264.186214863891
C922O2                       219.211800000000            10.516188792268          5309.565935630783
LMKAOOH                      188.220900000000            10.792658325599          5492.930215636700
C106OOH                      216.231000000000            11.080011113755          5739.684741119357
C731CO3H                     188.177900000000             9.659294200730          4786.812526428876
HMVKNGLYOX                   163.085600000000             9.975839703412          4920.320624336565
IEC2OOH                      148.114000000000            10.789709165312          5441.790798476343
HNC524CO                     195.127500000000            13.895590707552          7219.261586122415
TLEMUCCO2H                   156.136000000000             9.864771798637          4908.800812721634
C524OH                       118.131100000000            10.241630014145          5007.337861848927
DNCRESOOH                    280.145800000000            17.108011712811          9171.941345921672
C621OOH                      178.140000000000            14.277792175334          7589.538715834788
PTLQOOH                      172.135400000000            11.560361061335          5991.794964272005
LMKBOOH                      188.220900000000            10.591597180977          5367.037537314782
HOCHOCOOH                    106.077300000000             9.692018932431          4687.445552886676
NPHENOOH                     221.121700000000            12.100631506816          6155.479871241985
C57NO3                       179.128100000000            11.248512117861          5617.016843630970
MMALNBCO2H                   193.111600000000            12.738679769273          6521.452498142543
C628OOH                      162.140600000000            11.254767871934          5739.634926325288
C87CO2H                      200.188600000000            11.556257699562          5984.002842128531
INDHPPAN                     272.123800000000            13.390005574635          7006.857723171843
C2OHOCOOH                    122.076700000000            10.816703262577          5283.961808473988
BZFUOH                       118.088000000000             9.576985258087          4810.841515324586
C620OOH                      160.124700000000            10.372902303141          5224.488550695024
C813NO3                      235.191300000000            14.040428851203          7410.045094393987
C97OOH                       188.220900000000            10.783338287414          5499.384710929599
PBZQOOH                      158.108800000000            11.378205774553          5883.812906917682
C716OOH                      174.151300000000            10.233202424885          5187.644777487723
C818OOH                      190.193800000000            11.787219913455          6129.003546097641
C810OOH                      174.194400000000             9.924589643529          4954.150450213107
C629OOH                      162.140600000000            11.254767871934          5739.634926325288
C733CO                       158.151900000000             9.259997780074          4577.903675200838
C920CO3H                     216.231000000000            11.363472351774          5836.568029650377
LIMCOH                       170.248700000000             9.449371338052          4637.386051025121
