#Compound                    Mass                        parameter_A              parameter_B
NPETLQOOH                    245.186100000000            12.403924711671          6527.708048786019
HOHOC4DIAL                   118.088000000000             9.925215086183          4756.524760132358
TLEMUCOOH                    190.150700000000            12.650762218367          6576.140168039845
C4DBMECO3H                   186.162000000000             9.464035941241          4673.974673049543
DNOXYOLOOH                   294.172400000000            17.290822462826          9280.740251494708
LMLKBOOH                     202.204500000000            11.140591609510          5764.492283059778
C57OH                        134.130500000000            10.935320721230          5376.192637010204
MNNCATECO                    279.137900000000            13.068859012519          6727.517146075525
NBCALOH                      315.362100000000             9.664001935079          4804.167007129716
C7DCOH                       160.167800000000            10.531257569569          5238.113668167201
IPBZBPROOH                   202.204500000000            10.755573852073          5405.165856632802
PNNCATECO2                   323.190400000000            13.628328014472          7067.494493083145
NAPINBOOH                    231.245700000000            10.283461311288          5195.347737667279
C717OOH                      174.151300000000            10.233202424885          5187.644777487723
C826OH                       174.194400000000            11.175497703919          5653.587360668202
C7DDCOOH                     176.167200000000            11.336343821590          5766.959662867631
BCLKCCO                      252.306200000000            10.118600323684          5250.036717403626
PEBQCO                       170.162600000000             9.751815550373          4912.191556715235
C6COALCO2H                   144.125300000000             9.628613618159          4736.075672770276
NDNOETLOOH                   353.196500000000            17.975229119309          9704.459982854360
DE35TOOH                     180.243500000000             9.370895473719          4655.079823076547
OXYMUCOOH                    204.177300000000            13.004375814574          6780.610202022994
IPBZMUCCO                    200.188600000000            10.802909276140          5516.350597421373
C736OOH                      158.151900000000             9.406319111742          4660.403027272708
C8CO2DCO3H                   186.162000000000             9.707037258684          4832.797112806827
TM123OLOH                    202.204500000000            11.197628337498          5523.552960477792
PCATECHOL                    152.190400000000             9.091357858465          4501.926769090594
DETLMUPAN                    273.239300000000             9.901906268103          5031.074839916285
IPBENZOLOH                   202.204500000000            11.501880610919          5743.955914804851
C87PAN                       261.185500000000            10.220607002499          5227.168096337836
C62CPAN                      235.148300000000            10.552948447776          5342.321490018790
NDNT124LO2                   352.188600000000            12.913403344931          6729.882818536984
C5CONO3OOH                   179.128100000000             9.634565601515          4746.470392291851
MEBFUOH                      160.167800000000            10.159989731475          5153.327144370834
METLBIPNO3                   231.202600000000             9.964197444778          4899.381067375906
C57NO3PAN                    256.124400000000            12.253756493688          6292.100609143622
NMXYOLOOH                    249.174800000000            12.459843822192          6390.112662467756
NEBFUONE                     189.122900000000            10.176550397677          5175.855824880945
INB1NBPAN                    301.122000000000            12.471484084778          6466.120547770087
C1213O                       259.275700000000            13.753067697807          7295.379035745627
C7DDCOH                      160.167800000000            10.065833747317          4932.878891361386
C812O                        173.186400000000             9.931597491049          4838.970108025635
C2CL3OHOOH                   181.402400000000            10.025594328737          4966.426266884978
BCAOH                        238.365700000000            10.410783627162          5276.384631482833
BCLKAO                       253.314100000000             9.017953851216          4546.521649967392
MMALNAPAN                    254.108500000000            11.037227620359          5570.401251505655
C144O                        255.330000000000            10.268840174837          5257.700879559677
DNOXYOLO2                    293.164500000000            12.476675979315          6400.979089056555
NORPINIC                     172.178500000000            10.821178521346          5507.766419464919
NDNMETOLO                    336.189200000000            13.532213895422          7113.376092198430
IPBFUOH                      160.167800000000            10.354462213594          5277.514129192185
C72NO3                       191.181800000000             9.525244811902          4668.876599614214
C123CO                       214.301300000000            10.172212120707          5191.972174369961
C1H4C5PAN                    207.138200000000             9.403569219393          4597.831400741163
PETLMUCO                     201.196500000000             9.600928023946          4719.413782687260
NEBNZOLOH                    233.175400000000            11.480562828099          5756.155606345840
INAOOH                       197.143300000000            13.857627476835          7210.108976602899
NDNPXYOLO2                   338.162000000000            12.688933513844          6574.356732104789
C103OH                       188.264000000000            10.620581791229          5347.787467447613
PETLMUCOOH                   218.203900000000            13.307971718386          6983.076551599820
HMVKBOOH                     120.103900000000             9.572778064754          4713.444057258885
NDNPETOLO                    336.189200000000            13.532213895422          7113.376092198430
C1311OOH                     242.311400000000            12.464420483326          6523.652894456359
C5DICAROOH                   148.114000000000            10.702017916420          5358.795907864751
ENNCATECO                    293.164500000000            13.551971510934          7034.082305439822
C127OH                       212.285400000000            10.763912531459          5448.008889535859
C145OOH                      304.336200000000            18.919026491208         10292.407931370786
C918OOH                      186.205100000000             9.610803309986          4788.325671154437
ENCATECH                     183.161400000000            10.118002121016          5151.697251233957
BPINAOOH                     186.248100000000            10.476089503969          5317.590326360084
EBZMUCNO3                    233.175400000000            12.141067047448          6278.994258123020
T124NCTOOH                   279.200800000000            17.282471808462          9221.931118388917
MC5COOHOOH                   162.140600000000            10.871928234571          5467.461271335930
MMALNACO3H                   209.111000000000            12.067139961675          6108.272437114548
DNIPBNZOL                    226.186100000000            10.272029200833          5341.906527527016
DETLBIPNO3                   259.255800000000            10.537660810540          5284.923403352650
PXYMUCOH                     188.177900000000            11.654753170281          5939.716019241667
C92OOH                       190.236800000000            11.232677729644          5746.184105680900
TM124MUCCO                   200.188600000000            10.588492719566          5391.840672892359
C1310O2                      273.302200000000            12.435521723385          6482.127057269052
