        C917NO3      0.56      9.00      5.00      1.00        215.203       1.94e-09       5.62e+10
         C620OH      0.67      6.00      4.00      0.00        144.125       2.30e-09       6.68e+10
     CO123C5CHO      0.67      6.00      4.00      0.00        142.109       6.15e-08       1.78e+12
          C730O      0.57      7.00      4.00      0.00        161.176       1.91e-09       5.55e+10
      NOPINDOOH      0.33      9.00      3.00      0.00        170.206       6.95e-09       2.02e+11
         C109OH      0.30     10.00      3.00      0.00        184.232       1.34e-09       3.88e+10
        C731OOH      0.57      7.00      4.00      0.00        160.168       1.27e-09       3.69e+10
       C512CO2H      0.67      6.00      4.00      0.00        144.125       8.05e-10       2.34e+10
        DHPMPAL      1.25      4.00      5.00      0.00        136.103       7.20e-11       2.09e+09
         DHPMEK      1.25      4.00      5.00      0.00        136.037       6.49e-11       1.88e+09
      INB1NBCHO      1.60      5.00      8.00      2.00        224.126       4.17e-12       1.21e+08
      INB1NACHO      1.60      5.00      8.00      2.00        224.126       4.17e-12       1.21e+08
       NC524OOH      1.60      5.00      8.00      1.00        213.143       3.05e-20       8.84e-01
        C135OOH      0.62     13.00      8.00      0.00        302.277       3.25e-21       9.44e-02
      C1211CO2H      0.38     13.00      5.00      0.00        256.295       4.66e-17       1.35e+03
         C735OH      0.57      7.00      4.00      0.00        158.152       2.41e-09       7.00e+10
        INB1OOH      1.40      5.00      7.00      1.00        197.143       1.26e-15       3.64e+04
        C925OOH      0.67      9.00      6.00      0.00        220.220       9.35e-18       2.71e+02
          C921O      0.44      9.00      4.00      0.00        187.213       4.27e-10       1.24e+10
      H14CO23C4      1.00      4.00      4.00      0.00        118.088       1.87e-10       5.43e+09
     H3C2C4CO2H      0.80      5.00      4.00      0.00        132.115       2.37e-10       6.88e+09
       KLIMONIC      0.62      8.00      5.00      0.00        188.178       2.07e-14       6.01e+05
          C135O      0.54     13.00      7.00      0.00        285.270       3.73e-15       1.08e+05
          C98OH      0.44      9.00      4.00      0.00        188.221       1.43e-11       4.16e+08
        C828OOH      0.62      8.00      5.00      0.00        188.178       6.41e-11       1.86e+09
        C88CO2H      0.44      9.00      4.00      0.00        184.189       6.68e-11       1.94e+09
        C1211CO      0.33     12.00      4.00      0.00        226.269       1.30e-12       3.77e+07
          C826O      0.50      8.00      4.00      0.00        173.186       7.37e-09       2.14e+11
     MMALNBCO3H      1.60      5.00      8.00      1.00        209.111       8.29e-13       2.41e+07
          C98O2      0.56      9.00      5.00      0.00        203.212       4.88e-08       1.42e+12
         INCNO3      1.60      5.00      8.00      2.00        226.142       1.68e-13       4.87e+06
     H1C23C4PAN      1.60      5.00      8.00      1.00        207.095       6.37e-11       1.85e+09
       LIMALBCO      0.30     10.00      3.00      0.00        182.216       1.44e-08       4.19e+11
       C1010OOH      0.40     10.00      4.00      0.00        200.232       6.22e-11       1.81e+09
       NC826OOH      0.88      8.00      7.00      1.00        235.191       2.16e-08       6.28e+11
         INANO3      1.60      5.00      8.00      2.00        226.142       8.04e-14       2.33e+06
        C918PAN      0.60     10.00      6.00      1.00        245.229       2.13e-09       6.19e+10
        APINBOH      0.20     10.00      2.00      0.00        170.249       8.03e-09       2.33e+11
        C821OOH      0.71      7.00      5.00      0.00        174.151       1.25e-10       3.64e+09
        C622OOH      0.50      6.00      3.00      0.00        132.158       6.00e-09       1.74e+11
         C616OH      0.67      6.00      4.00      0.00        144.125       2.30e-09       6.68e+10
         C614OH      0.67      6.00      4.00      0.00        146.141       1.80e-10       5.23e+09
     H3C25CCO3H      0.86      7.00      6.00      0.00        190.151       2.39e-12       6.95e+07
        C923OOH      0.33      9.00      3.00      0.00        172.221       7.57e-09       2.20e+11
         LMKBCO      0.33      9.00      3.00      0.00        170.206       1.80e-08       5.24e+11
        C823OOH      0.50      8.00      4.00      0.00        174.194       3.12e-12       9.06e+07
         C88OOH      0.50      8.00      4.00      0.00        172.179       1.68e-09       4.87e+10
     MPRNO3CO2H      1.25      4.00      5.00      1.00        149.102       3.39e-08       9.82e+11
      C1013CO2H      0.36     11.00      4.00      0.00        214.258       1.62e-10       4.69e+09
        HIEPOXB      0.80      5.00      4.00      0.00        134.131       2.34e-12       6.80e+07
         C86OOH      0.50      8.00      4.00      0.00        174.194       1.25e-09       3.64e+10
      CONM2CO2H      1.50      4.00      6.00      1.00        163.086       6.08e-10       1.76e+10
        C137NO3      0.38     13.00      5.00      1.00        271.310       2.98e-08       8.64e+11
        C1215OH      0.42     12.00      5.00      0.00        244.284       1.21e-15       3.52e+04
       APINANO3      0.40     10.00      4.00      1.00        215.246       1.58e-09       4.60e+10
      C1011CO2H      0.27     11.00      3.00      0.00        198.259       2.85e-10       8.26e+09
