HOM20_O17        20 17  0 30
HOM_nucl         20  8  0 30
HOM19_O17        19 17  0 28
HOM18_NO19       18 19  1 27
HOM18_O17        18 17  0 26
HOM20_NO18       20 18  1 31
HOM20_O15        20 15  0 30
HOM19_O18        19 18  0 28
HOM19_NO18       19 18  1 29
HOM19_OH_O14     19 14  0 32
HOM19_O15        19 15  0 28
HOM18_O18        18 18  0 26
HOM20_O16        20 16  0 30
HOM18_NO18       18 18  1 27
HOM20_NO17       20 17  1 31
HOM18_OH_O14     18 14  0 30
HOM18_O15        18 15  0 26
HOM19_O16        19 16  0 28
HOM19_NO17       19 17  1 29
HOM18_O16        18 16  0 26
HOM18_NO17       18 17  1 27
HOM20_OH_O13     20 13  0 34
HOM20_O14        20 14  0 30
HOM20_NO16       20 16  1 31
HOM20_NO15       20 15  1 31
HOM20_OH_O12     20 12  0 34
HOM20_OH_NO14    20 14  1 35
HOM20_O13        20 13  0 30
HOM20_NO14       20 14  1 31
HOM19_OH_O13     19 13  0 32
HOM19_O14        19 14  0 28
HOM19_NO16       19 16  1 29
HOM19_NO15       19 15  1 29
HOM19_OH_O12     19 12  0 32
HOM19_OH_NO14    19 14  1 33
HOM19_O13        19 13  0 28
HOM19_NO14       19 14  1 29
HOM18_OH_O13     18 13  0 30
HOM18_OH_NO15    18 15  1 31
HOM18_O14        18 14  0 26
HOM18_NO16       18 16  1 27
HOM18_NO15       18 15  1 27
HOM18_OH_O12     18 12  0 30
HOM18_OH_NO14    18 14  1 31
HOM18_O13        18 13  0 26
HOM18_NO14       18 14  1 27
HOM20_OH_O11     20 11  0 34
HOM20_OH_NO13    20 13  1 35
HOM20_O12        20 12  0 30
HOM20_NO13       20 13  1 31
HOM20_OH_NO12    20 12  1 35
HOM20_O11        20 11  0 30
HOM20_NO12       20 12  1 31
HOM19_OH_O11     19 11  0 32
HOM19_OH_NO13    19 13  1 33
HOM19_O12        19 12  0 28
HOM19_NO13       19 13  1 29
HOM_O14          10 14  0 16
HOM19_OH_NO12    19 12  1 33
HOM19_O11        19 11  0 28
HOM19_NO12       19 12  1 29
HOM_O13          10 13  0 16
HOM_NO15         10 15  1 15
HOM18_OH_O11     18 11  0 30
HOM18_OH_NO13    18 13  1 31
HOM18_O12        18 12  0 26
HOM18_NO13       18 13  1 27
HOM18_OH_NO12    18 12  1 31
HOM18_O11        18 11  0 26
HOM18_NO12       18 12  1 27
HOM20_NO10       20 10  1 31
HOM_O12          10 12  0 16
HOM_NO14         10 14  1 15
HOM19_NO10       19 10  1 29
HOM_O13CBN       10 13  0 14
HOM20_OH_O10     20 10  0 34
HOM19_OH_NO10    19 10  1 33
HOM18_NO10       18 10  1 27
HOM_O11          10 11  0 16
HOM_NO13         10 13  1 15
HOM20_OH_O9      20  9  0 34
HOM20_OH_NO11    20 11  1 35
HOM20_OH_NO10    20 10  1 35
HOM20_O10        20 10  0 30
HOM20_NO11       20 11  1 31
HOM19_OH_O10     19 10  0 32
HOM20_O9         20  9  0 30
HOM18_OH_NO10    18 10  1 31
HOM20_OH_NO9     20  9  1 35
HOM_O12CBN       10 12  0 14
HOM19_OH_O9      19  9  0 32
HOM19_OH_NO11    19 11  1 33
HOM19_O10        19 10  0 28
HOM19_NO11       19 11  1 29
R_HOM_O14        10 14  0 15
HOM18_OH_O10     18 10  0 30
HOM_OH_O10       10 10  0 18
HOM19_O9         19  9  0 28
HOM19_OH_NO9     19  9  1 33
HOM18_OH_O9      18  9  0 30
HOM18_OH_NO11    18 11  1 31
HOM18_O10        18 10  0 26
HOM18_NO11       18 11  1 27
HOM_OH_NO11      10 11  1 17
NC524OOH          5  8  1 11
MNNCATCOOH        7 11  2  8
HOM18_O9         18  9  0 26
HOM20_NO9        20  9  1 31
NDNCRESOOH        7 12  3  7
HOM_O11CBN       10 11  0 14
R_HOM_O13        10 13  0 15
MNCATECOOH        7  9  1  9
DNCRESOOH         7 10  2  8
NDNPHENOOH        6 12  3  5
HOM_O10          10 10  0 16
HOM_NO12         10 12  1 15
DNPHENOOH         6 10  2  6
HOM20_O8         20  8  0 30
NNCATECOOH        6 11  2  6
HOM20_OH_O7      20  7  0 34
HOM19_NO9        19  9  1 29
NCATECOOH         6  9  1  7
HOM20_O7         20  7  0 30
HOM19_O8         19  8  0 28
HOM19_OH_O7      19  7  0 32
HOM18_NO9        18  9  1 27
R_HOM_O12        10 12  0 15
HOM20_OH_O8      20  8  0 34
HOM19_O7         19  7  0 28
HOM_OH_O9CBN     10  9  0 16
HOM_O9           10  9  0 16
HOM_NO11         10 11  1 15
HOM20_OH_O6      20  6  0 34
HOM18_O8         18  8  0 26
HPC52CO3H         5  8  0 10
HOM18_OH_O7      18  7  0 30
HOM20_OH_NO8     20  8  1 35
C525OOH           5  6  0 10
NC524NO3          5  9  2 10
HOM19_OH_O8      19  8  0 32
HOM18_O7         18  7  0 26
HOM20_NO8        20  8  1 31
HOM_O10CBN       10 10  0 14
INB1HPCO2H        5  8  1  9
HOM_OH_O9        10  9  0 18
HOM19_OH_O6      19  6  0 32
HIEB1OOH          5  6  0 10
C922OOH           9  6  0 16
C925OOH           9  6  0 16
C813OOH           8  6  0 14
NC524OH           5  7  1 11
HPNC524CO         5  8  1  9
INAHPCO2H         5  8  1  9
HOM18_OH_O8      18  8  0 30
HOM19_NO8        19  8  1 29
R_HOM_OH_O10     10 10  0 17
HOM_OH_O8        10  8  0 18
HOM_OH_NO10      10 10  1 17
C734OOH           7  6  0 12
HIEB2OOH          5  6  0 10
HOM18_OH_O6      18  6  0 30
HOM_OH_O7        10  7  0 18
HOM_OH_NO9       10  9  1 17
HOM20_O6         20  6  0 30
C537OOH           5  7  0 10
C536OOH           5  7  0 10
HOM20_O5         20  5  0 30
HOM20_NO7        20  7  1 31
R_HOM_O11        10 11  0 15
HOM_O9CBN        10  9  0 14
INB1HPCO3H        5  9  1  9
INDHPCO3H         5  9  1  9
HOM_OH_O5        10  5  0 18
HOM_OH_NO7       10  7  1 17
C516OOH           5  6  0  8
INAHPCO3H         5  9  1  9
HOM_O8           10  8  0 16
HOM_NO10         10 10  1 15
C621OOH           6  6  0 10
HOM19_O6         19  6  0 28
HOM19_O5         19  5  0 28
INB1NBCO2H        5  9  2  8
INB1NACO2H        5  9  2  8
HOM18_OH_O5      18  5  0 30
C813NO3           8  7  1 13
INANCO2H          5  9  2  8
DNC524CO          5  9  2  8
C57NO3CO2H        5  7  1  9
C58NO3CO2H        5  7  1  9
C825OOH           8  5  0 14
HOM18_O6         18  6  0 26
HOM_OH_O8CBN     10  8  0 16
HOM18_O5         18  5  0 26
C921OOH           9  5  0 16
INCNCO2H          5  9  2  8
INDOOH            5  7  1 11
INB1OOH           5  7  1 11
R_HOM_O10        10 10  0 15
C812OOH           8  5  0 14
HOM_OH_O7CBN     10  7  0 16
C813OH            8  5  0 14
C734OH            7  5  0 12
INAOOH            5  7  1 11
INB2OOH           5  7  1 11
HNC524CO          5  7  1  9
INAHCO2H          5  7  1  9
HOM_O7           10  7  0 16
HOM_NO9          10  9  1 15
INB1NACO3H        5 10  2  8
INB1NBCO3H        5 10  2  8
C526OOH           5  6  0 10
C527OOH           5  6  0 10
C730OOH           7  5  0 14
C728OOH           7  5  0 14
INB1HPPAN         5 11  2  8
INDHPPAN          5 11  2  8
HOM_NO8          10  8  1 15
HOM_O6           10  6  0 16
INCOOH            5  7  1 11
HOM_OH_O5CBN     10  5  0 16
INANCO3H          5 10  2  8
HPC52OOH          5  6  0 10
INAHPPAN          5 11  2  8
C58NO3CO3H        5  8  1  9
C57NO3CO3H        5  8  1  9
C820OOH           8  6  0 12
HOM_O8CBN        10  8  0 14
LIMALOOH         10  5  0 18
INCNCO3H          5 10  2  8
R_HOM_OH_O9      10  9  0 17
INDHCO3H          5  8  1  9
KLIMONIC          8  5  0 12
C623OOH           6  5  0 12
MVKOHBOOH         4  5  0  8
NDNCRESO          7 11  3  6
NC72OOH           7  8  1  7
C625OOH           6  5  0 12
HMACROOH          4  5  0  8
C535OOH           5  7  0  8
C534OOH           5  7  0  8
INANCOCO2H        5  9  2  6
R_HOM_OH_O8      10  8  0 17
HOM_OH_O6        10  6  0 18
HOM_OH_NO8       10  8  1 17
