#Compound                    Mass               C   O   N   H   S  Cl  Br
C9DCOOH                      184.189200000000   9   4   0  12   0   0   0
INB1NBCO3H                   256.124400000000   5  10   2   8   0   0   0
IPRBQO2                      199.180600000000   9   5   0  11   0   0   0
MXYBPER2OH                   172.178500000000   8   4   0  12   0   0   0
C827CO2H                     186.205100000000   9   4   0  14   0   0   0
EMPONO2OOH                   263.201400000000   9   8   1  13   0   0   0
TM123BPOOH                   202.204500000000   9   5   0  14   0   0   0
TM124OLOOH                   218.203900000000   9   6   0  14   0   0   0
EBZMUCCO2H                   170.162600000000   8   4   0  10   0   0   0
MXYQOOH                      186.162000000000   8   5   0  10   0   0   0
HO36C11                      188.307100000000  11   2   0  24   0   0   0
HO36C10                      174.280500000000  10   2   0  22   0   0   0
C1213OH                      260.283600000000  12   6   0  20   0   0   0
NC623OOH                     209.154000000000   6   7   1  11   0   0   0
C7MJPCO3H                    216.188000000000   9   6   0  12   0   0   0
C1213O2                      275.275100000000  12   7   0  19   0   0   0
OXYQOH                       170.162600000000   8   4   0  10   0   0   0
C133CO                       256.294900000000  13   5   0  20   0   0   0
C151OOH                      302.363300000000  15   6   0  26   0   0   0
H134M3C5                     134.173600000000   6   3   0  14   0   0   0
C623NO3                      193.154600000000   6   6   1  11   0   0   0
BCLKCO                       253.314100000000  14   4   0  21   0   0   0
PC3ODBCO2H                   142.152500000000   7   3   0  10   0   0   0
C6COOHCO3H                   188.134800000000   7   6   0   8   0   0   0
NPETLQOOH                    245.186100000000   9   7   1  11   0   0   0
TLEMUCOOH                    190.150700000000   7   6   0  10   0   0   0
DNOXYOLOOH                   294.172400000000   8  10   2  10   0   0   0
LMLKBOOH                     202.204500000000   9   5   0  14   0   0   0
C57OH                        134.130500000000   5   4   0  10   0   0   0
MNNCATECO                    279.137900000000   7  10   2   7   0   0   0
NBCALOH                      315.362100000000  15   6   1  25   0   0   0
C7DCOH                       160.167800000000   7   4   0  12   0   0   0
IPBZBPROOH                   202.204500000000   9   5   0  14   0   0   0
PNNCATECO2                   323.190400000000   9  11   2  11   0   0   0
NAPINBOOH                    231.245700000000  10   5   1  17   0   0   0
C717OOH                      174.151300000000   7   5   0  10   0   0   0
C826OH                       174.194400000000   8   4   0  14   0   0   0
C7DDCOOH                     176.167200000000   7   5   0  12   0   0   0
BCLKCCO                      252.306200000000  14   4   0  20   0   0   0
PEBQCO                       170.162600000000   8   4   0  10   0   0   0
NMETLQO                      228.178800000000   9   6   1  10   0   0   0
C6COALCO2H                   144.125300000000   6   4   0   8   0   0   0
NDNOETLOOH                   353.196500000000   9  12   3  11   0   0   0
OXYMUCOOH                    204.177300000000   8   6   0  12   0   0   0
C728NO3                      207.181200000000   7   6   1  13   0   0   0
C736OOH                      158.151900000000   7   4   0  10   0   0   0
TM123OLOH                    202.204500000000   9   5   0  14   0   0   0
NBCKOOH                      301.335500000000  14   6   1  23   0   0   0
TM123OLO2                    217.195900000000   9   6   0  13   0   0   0
DETLMUPAN                    273.239300000000  11   7   1  15   0   0   0
IPBENZOLOH                   202.204500000000   9   5   0  14   0   0   0
LIMALAOH                     184.232200000000  10   3   0  16   0   0   0
C87PAN                       261.185500000000   9   8   1  11   0   0   0
C62CPAN                      235.148300000000   7   8   1   9   0   0   0
NDNT124LO2                   352.188600000000   9  12   3  10   0   0   0
IPBENZOLO2                   217.195900000000   9   6   0  13   0   0   0
MEBFUOH                      160.167800000000   7   4   0  12   0   0   0
METLBIPNO3                   231.202600000000   9   6   1  13   0   0   0
C57NO3PAN                    256.124400000000   5  10   2   8   0   0   0
NMXYOLOOH                    249.174800000000   8   8   1  11   0   0   0
INB1NBPAN                    301.122000000000   5  12   3   7   0   0   0
DMEOBPROH                    198.215800000000  10   4   0  14   0   0   0
C1213O                       259.275700000000  12   6   0  19   0   0   0
C812O                        173.186400000000   8   4   0  13   0   0   0
BCAOH                        238.365700000000  15   2   0  26   0   0   0
BCAOO                        252.349300000000  15   3   0  24   0   0   0
BCLKAO                       253.314100000000  14   4   0  21   0   0   0
MMALNAPAN                    254.108500000000   5  10   2   6   0   0   0
C144O                        255.330000000000  14   4   0  23   0   0   0
NORPINIC                     172.178500000000   8   4   0  12   0   0   0
NDNMETOLO                    336.189200000000   9  11   3  10   0   0   0
IPBFUOH                      160.167800000000   7   4   0  12   0   0   0
C72NO3                       191.181800000000   7   5   1  13   0   0   0
NEBNZOLO2                    248.166900000000   8   8   1  10   0   0   0
C123CO                       214.301300000000  12   3   0  22   0   0   0
C1H4C5PAN                    207.138200000000   6   7   1   9   0   0   0
NEBNZOLOH                    233.175400000000   8   7   1  11   0   0   0
INAOOH                       197.143300000000   5   7   1  11   0   0   0
NDNPXYOLO2                   338.162000000000   8  12   3   8   0   0   0
C103OH                       188.264000000000  10   3   0  20   0   0   0
PETLMUCOOH                   218.203900000000   9   6   0  14   0   0   0
HO1C6OOH                     134.173600000000   6   3   0  14   0   0   0
NDNPETOLO                    336.189200000000   9  11   3  10   0   0   0
C1311OOH                     242.311400000000  13   4   0  22   0   0   0
C5DICAROOH                   148.114000000000   5   5   0   8   0   0   0
ENNCATECO                    293.164500000000   8  10   2   9   0   0   0
C127OH                       212.285400000000  12   3   0  20   0   0   0
C623O                        147.149100000000   6   4   0  11   0   0   0
C145OOH                      304.336200000000  14   7   0  24   0   0   0
BPINAOOH                     186.248100000000  10   3   0  18   0   0   0
EBZMUCNO3                    233.175400000000   8   7   1  11   0   0   0
T124NCTOOH                   279.200800000000   9   9   1  13   0   0   0
PBZOBPEROH                   184.189200000000   9   4   0  12   0   0   0
MC5COOHOOH                   162.140600000000   6   5   0  10   0   0   0
MMALNACO3H                   209.111000000000   5   8   1   7   0   0   0
DETLBIPNO3                   259.255800000000  11   6   1  17   0   0   0
PXYMUCOH                     188.177900000000   8   5   0  12   0   0   0
C92OOH                       190.236800000000   9   4   0  18   0   0   0
C1310O2                      273.302200000000  13   6   0  21   0   0   0
C812OOH                      190.193800000000   8   5   0  14   0   0   0
C928CO3H                     216.231000000000  10   5   0  16   0   0   0
C734OH                       176.167200000000   7   5   0  12   0   0   0
HMVKNO3                      165.101500000000   4   6   1   7   0   0   0
PHENOH                       160.124700000000   6   5   0   8   0   0   0
INB1NACO2H                   240.125000000000   5   9   2   8   0   0   0
C734O2                       191.158600000000   7   6   0  11   0   0   0
PXYQOOH                      186.162000000000   8   5   0  10   0   0   0
C118OH                       230.257600000000  11   5   0  18   0   0   0
IPBZOLOOH                    218.203900000000   9   6   0  14   0   0   0
C128O                        227.276900000000  12   4   0  19   0   0   0
C1213CO                      258.267700000000  12   6   0  18   0   0   0
NTM124LOOH                   263.201400000000   9   8   1  13   0   0   0
C6CO2OHOOH                   162.140600000000   6   5   0  10   0   0   0
OXYQCO                       168.146700000000   8   4   0   8   0   0   0
HO13C5NO3                    165.144500000000   5   5   1  11   0   0   0
C133OH                       258.310800000000  13   5   0  22   0   0   0
C118O2                       245.249100000000  11   6   0  17   0   0   0
INB1CO                       179.128100000000   5   6   1   9   0   0   0
C137PAN                      315.319000000000  14   7   1  21   0   0   0
C146O                        253.314100000000  14   4   0  21   0   0   0
PXNNCATCO                    293.164500000000   8  10   2   9   0   0   0
INB1HPCO3                    226.118300000000   5   9   1   8   0   0   0
C54OOH                       136.146400000000   5   4   0  12   0   0   0
HIEB2OOH                     166.129300000000   5   6   0  10   0   0   0
LIMCOOH                      186.248100000000  10   3   0  18   0   0   0
C7ADCCO2H                    142.152500000000   7   3   0  10   0   0   0
