#Compound                    Mass                        parameter_A              parameter_B
LMKAOOH                      188.220900000000            10.789110952766          5491.567723609838
IEC2OOH                      148.114000000000            10.786302814165          5440.480947651195
C524OH                       118.131100000000            10.238777654708          5006.237296645901
C621OOH                      178.140000000000            14.271838086244          7587.269254032974
LMKBOOH                      188.220900000000            10.588183785076          5365.725752093331
HOCHOCOOH                    106.077300000000             9.689426505785          4686.444244238122
MMALNBCO2H                   193.111600000000            12.734377453194          6519.801373439158
C620OOH                      160.124700000000            10.369646625182          5223.236430860745
C97OOH                       188.220900000000            10.779760720506          5498.010999318254
PBZQOOH                      158.108800000000            11.374169082021          5882.266044298780
C733OH                       160.167800000000            10.591770533093          5307.642251775489
TLEMUCCO3H                   172.135400000000             9.311831693873          4565.939644864856
C87CO3H                      216.188000000000            10.912939095221          5597.081713003890
C536OOH                      182.042600000000            14.792038938762          7827.055960995753
INB2O                        180.136000000000             9.982144950522          4798.998804124360
HMACROOH                     136.103300000000            12.961438127481          6715.311401922682
PTLQCO                       154.120100000000             9.039132436836          4497.594708822397
C108OOH                      216.231000000000            11.076044716290          5738.165240280428
C4PAN10                      195.084400000000            11.045364731728          5578.873712355905
C524OOH                      134.130500000000            11.348169086031          5741.547913592360
C525OOH                      166.129300000000            15.723605361568          8396.326576719930
NC71CO                       201.133600000000             9.192460772484          4613.680162898515
C3DIOLOOH                    108.093200000000            11.085868253138          5547.639497321133
C614NO3                      191.138800000000            10.241213870092          5170.119003261502
BPINBOOH                     186.248100000000            10.220014706799          5132.754572204807
C811OH                       158.195000000000            10.268197129489          5082.326723401619
H3C25CCO2H                   174.151300000000            12.035280275857          6222.846622760857
H3C25C6OOH                   162.140600000000            11.032043203287          5640.760749850047
NCRESOH                      219.148900000000            11.038219875087          5463.635251318537
H3C25C6PAN                   235.148300000000            10.817317717150          5509.360761119641
INCNCHO                      224.125600000000            11.138679106103          5573.754176394442
NC61CO3H                     249.131800000000            12.633231418789          6598.629847466309
C517OOH                      134.130500000000             9.762476148999          4839.465614736789
C734O                        175.159200000000            10.754803292727          5394.913525603936
DNPHENOOH                    266.119200000000            16.924724376914          9064.359875135046
H13CO2CO3H                   150.086800000000            12.084298977664          6157.583092856522
C516OOH                      164.113400000000            14.456796581698          7642.914043178064
MMALNHYOOH                   162.097500000000            10.822648757165          5357.546086243779
