#Compound,Mass,parameter_A,parameter_B,Surface_tension,alpha_wall,density,Henrys_constant,parameter_C
C1310O,257.3028,12.989354024947,7016.65548568103,0.05,0.00005,1400,0,0
BCLKET,238.3227,9.60382791529,4952.80360602628,0.05,0.00005,1400,0,0
C1210OOH,228.2848,10.797610889225,5466.53754378373,0.05,0.00005,1400,0,0
NPXYOLO,232.1675,10.232024691982,4889.66157877155,0.05,0.00005,1400,0,0
C919OH,186.2051,9.576185385724,4731.70424986246,0.05,0.00005,1400,0,0
PTNCATECO,262.1935,11.936899920652,6278.64917178562,0.05,0.00005,1400,0,0
C4MALOHOOH,148.114,8.971097865175,4471.55754329392,0.05,0.00005,1400,0,0
C1211CO3,271.2864,11.058265473332,5532.81345959115,0.05,0.00005,1400,0,0
MVKOHBOOH,136.1033,10.425945700514,5534.85529162161,0.05,0.00005,1400,0,0
C1213OOH,276.283,15.820422184671,8771.66174139876,0.05,0.00005,1400,0,0
C9M2CO6OOH,200.2316,10.012922821533,5183.48604706794,0.05,0.00005,1400,0,0
C7CO3OHOOH,190.1507,10.654905014692,5417.95779732592,0.05,0.00005,1400,0,0
HO3C106NO3,219.278,10.601190459428,5113.46973741895,0.05,0.00005,1400,0,0
DNIPBNZLO2,307.191,9.669739096709,4700.99496580166,0.05,0.00005,1400,0,0
TM123BP2OH,186.2051,9.669739096709,4700.99496580166,0.05,0.00005,1400,0,0
C534OOH,180.1128,10.82910402424,5776.83983946569,0.05,0.00005,1400,0,0
INAHPCO3,226.1183,10.771302739906,5276.67838441607,0.05,0.00005,1400,0,0
IPBZMUCO3H,200.1886,10.054322234432,4966.75048308374,0.05,0.00005,1400,0,0
DETLMUOOH,246.257,11.685506456409,6266.00421967524,0.05,0.00005,1400,0,0
NPEBQOOH,231.1596,12.596375035171,6646.52647318122,0.05,0.00005,1400,0,0
HO3C126NO3,247.3312,11.312290023854,5615.29418888935,0.05,0.00005,1400,0,0
INAHPCO3H,227.1263,12.937218016498,6883.77550435112,0.05,0.00005,1400,0,0
TM124QOOH,200.1886,11.808066682481,6457.85986324694,0.05,0.00005,1400,0,0
IPNNCATOOH,324.1984,15.423489550415,8408.91658556235,0.05,0.00005,1400,0,0
C1312OOH,258.3108,13.197935724229,7201.29179512054,0.05,0.00005,1400,0,0
C916NO3,231.2026,10.563630896222,5310.05022536535,0.05,0.00005,1400,0,0
EBENZOLOH,188.1779,10.758735567784,5525.03920716146,0.05,0.00005,1400,0,0
HO3C116OOH,204.3065,10.886194615422,5608.25893843798,0.05,0.00005,1400,0,0
INANCO3H,256.1244,13.094264550653,6639.89852896144,0.05,0.00005,1400,0,0
EBENZOLOOH,204.1773,12.045639192651,6418.41677007986,0.05,0.00005,1400,0,0
C71OOH,162.1837,9.709658974106,4906.42486981875,0.05,0.00005,1400,0,0
NC6PAN1,294.1293,10.955461132284,5531.86635732114,0.05,0.00005,1400,0,0
INANPAN,301.122,12.664470991994,6367.757840776,0.05,0.00005,1400,0,0
TLFUOOH,148.114,10.791722392019,5344.05703122991,0.05,0.00005,1400,0,0
C9DCOOH,184.1892,10.933943210681,5216.13844971023,0.05,0.00005,1400,0,0
INB1NBCO3H,256.1244,13.729414651428,6992.12950546515,0.05,0.00005,1400,0,0
IPRBQO2,199.1806,9.162883450234,4582.07431331743,0.05,0.00005,1400,0,0
MXYBPER2OH,172.1785,10.058763558527,4916.256074454,0.05,0.00005,1400,0,0
C827CO2H,186.2051,10.571542989724,5258.78212021754,0.05,0.00005,1400,0,0
EMPONO2OOH,263.2014,11.803805930861,6295.70414897288,0.05,0.00005,1400,0,0
TM123BPOOH,202.2045,10.927583743127,5484.15367531855,0.05,0.00005,1400,0,0
TM124OLOOH,218.2039,12.401188978948,6669.32899698413,0.05,0.00005,1400,0,0
EBZMUCCO2H,170.1626,10.560943382652,5306.34985151451,0.05,0.00005,1400,0,0
MXYQOOH,186.162,11.452516914378,6206.9476415518,0.05,0.00005,1400,0,0
HO36C11,188.3071,10.289518127192,5159.66083490771,0.05,0.00005,1400,0,0
HO36C10,174.2805,9.933968355255,4908.74861211629,0.05,0.00005,1400,0,0
C1213OH,260.2836,15.237789246682,8323.06363867592,0.05,0.00005,1400,0,0
NC623OOH,209.154,10.460796705519,5179.29478259852,0.05,0.00005,1400,0,0
C7MJPCO3H,216.188,10.422005639741,5446.37268359492,0.05,0.00005,1400,0,0
C1213O2,275.2751,13.692938442857,7119.03427997352,0.05,0.00005,1400,0,0
OXYQOH,170.1626,10.742157293979,5708.5887908501,0.05,0.00005,1400,0,0
C133CO,256.2949,12.777845800108,6631.57290819572,0.05,0.00005,1400,0,0
C151OOH,302.3633,15.686795624812,8916.11951858732,0.05,0.00005,1400,0,0
H134M3C5,134.1736,9.697783601537,4781.72288268433,0.05,0.00005,1400,0,0
C623NO3,193.1546,10.274743400511,4940.61842672195,0.05,0.00005,1400,0,0
BCLKCO,253.3141,8.926710887872,4525.00086973387,0.05,0.00005,1400,0,0
PC3ODBCO2H,142.1525,9.513439853591,4673.91580394739,0.05,0.00005,1400,0,0
C6COOHCO3H,188.1348,9.710906098629,4944.54823879988,0.05,0.00005,1400,0,0
NPETLQOOH,245.1861,12.841081024939,6804.89021521529,0.05,0.00005,1400,0,0
TLEMUCOOH,190.1507,10.484994950843,5447.45229513162,0.05,0.00005,1400,0,0
DNOXYOLOOH,294.1724,12.045639192651,6418.41677007986,0.05,0.00005,1400,0,0
LMLKBOOH,202.2045,10.635352477216,5570.90659419963,0.05,0.00005,1400,0,0
C57OH,134.1305,9.267234374101,4619.16164991681,0.05,0.00005,1400,0,0
MNNCATECO,279.1379,12.22545706592,6123.85507505207,0.05,0.00005,1400,0,0
NBCALOH,315.3621,10.174022607121,5140.79968560685,0.05,0.00005,1400,0,0
C7DCOH,160.1678,8.971837803319,4475.02314238102,0.05,0.00005,1400,0,0
IPBZBPROOH,202.2045,11.672157969728,5950.32700471781,0.05,0.00005,1400,0,0
PNNCATECO2,323.1904,12.936556617562,6625.67952286196,0.05,0.00005,1400,0,0
NAPINBOOH,231.2457,11.348155826329,5360.54463712866,0.05,0.00005,1400,0,0
C717OOH,174.1513,10.467966679951,5119.29464913318,0.05,0.00005,1400,0,0
C826OH,174.1944,10.541595236088,5353.65612247862,0.05,0.00005,1400,0,0
C7DDCOOH,176.1672,9.682197401408,4973.38198669361,0.05,0.00005,1400,0,0
BCLKCCO,252.3062,10.257786830571,5137.69424870592,0.05,0.00005,1400,0,0
PEBQCO,170.1626,10.002569456185,4886.29736192935,0.05,0.00005,1400,0,0
NMETLQO,228.1788,9.683349318427,4929.10466929354,0.05,0.00005,1400,0,0
C6COALCO2H,144.1253,10.169956421251,5061.33635194844,0.05,0.00005,1400,0,0
NDNOETLOOH,353.1965,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
OXYMUCOOH,204.1773,10.618857140984,5513.26755140965,0.05,0.00005,1400,0,0
C728NO3,207.1812,10.630293173999,5191.53064995886,0.05,0.00005,1400,0,0
C736OOH,158.1519,9.057117284747,4523.2978585484,0.05,0.00005,1400,0,0
TM123OLOH,202.2045,11.114285333971,5775.951428309,0.05,0.00005,1400,0,0
