CHOC3COOOH        146.098      8.940       4188.147   
C57NO3            179.128      11.630      5714.627   
C1313NO3          287.309      9.725       4702.333   
MMALNBCO2H        193.112      13.215      6643.549   
C51NO3            163.129      9.251       4401.979   
C628OOH           162.141      11.669      5845.774   
C87CO2H           200.189      12.010      6100.491   
C128NO3           273.282      9.144       4361.403   
C117NO3           259.256      8.810       4122.290   
INDHPPAN          272.124      13.943      7148.808   
C23O3CPAN         207.095      8.935       4180.486   
C142OOH           256.338      13.140      6779.660   
BCALBCO           250.333      10.138      5106.056   
C2OHOCOOH         122.077      11.156      5370.636   
C152OOH           302.363      15.594      8156.664   
CO235C6CHO        156.136      8.261       3930.021   
C1211OH           228.285      13.374      6883.294   
C620OOH           160.125      10.736      5317.522   
C813NO3           235.191      14.646      7565.688   
C624CO3H          160.168      9.730       4612.729   
C97OOH            188.221      11.180      5601.091   
C716OOH           174.151      10.601      5281.820   
NC101O2           244.221      8.238       3867.179   
HMVKANO3          149.102      8.758       4052.476   
HOC2H4CO2H        90.078       9.591       4464.848   
C526O             149.122      9.878       4677.271   
C1013CO3H         230.258      9.887       4805.147   
C729OOH           144.168      8.568       3975.839   
HC4CCO2H          116.115      9.918       4712.459   
C151OH            286.364      17.478      9182.360   
C818OOH           190.194      12.259      6250.145   
C151O2            301.355      13.723      7076.100   
C718OOH           160.168      9.306       4484.483   
C629OOH           162.141      11.669      5845.774   
C134O             271.286      12.402      6410.615   
C116OH            198.259      9.877       4871.550   
C617CO3H          174.151      9.183       4381.976   
C118O             229.250      10.711      5373.105   
C733CO            158.152      9.563       4655.331   
C920CO3H          216.231      11.794      5947.033   
LIMCOH            170.249      9.751       4714.344   
C817CO3H          202.204      10.093      4989.443   
CONM2CO3H         179.085      9.717       4594.758   
COHM2CO2H         118.088      9.988       4679.084   
LIMONIC           186.205      11.920      6024.924   
PXYFUOOH          148.114      11.295      5726.996   
C735OOH           174.151      10.891      5415.740   
MACRNOOA          165.101      8.862       4022.544   
BCKBCO            238.323      10.302      5190.443   
C831OOH           174.194      10.099      4944.411   
LIMAOH            170.249      9.226       4341.699   
C132O2            257.303      9.831       4859.189   
C825O2            189.186      9.991       4722.669   
CO25C6CO2H        158.152      10.005      4918.443   
C88PAN            245.186      9.665       4774.364   
INAO              180.136      10.282      4875.756   
C720OH            128.169      8.840       4056.700   
MVKOHANO3         165.101      11.622      5766.198   
C137CO3           269.313      8.829       4117.088   
C829OH            174.194      10.831      5381.562   
NC72O2            232.124      8.985       4321.668   
C512PAN           205.122      8.973       4278.280   
C1011CO3H         214.258      9.500       4641.083   
C825OH            174.194      13.271      6699.007   
HC4ACO2H          116.115      9.918       4712.459   
C134OH            272.294      15.713      8249.515   
C1313O            241.303      10.679      5342.168   
C126OH            196.286      9.128       4407.926   
LIMALACO          182.216      8.213       3907.680   
C132OH            242.311      12.698      6516.745   
C126CO2H          224.296      10.856      5440.331   
C818O             173.186      8.510       4026.067   
C126OO            226.269      8.942       4334.919   
LIMBOOH           186.248      10.198      4971.965   
C624CO2H          144.168      10.331      4978.795   
C7PAN3            233.132      10.210      5073.732   
C621O             161.133      10.336      5081.451   
C109CO            182.216      8.594       4115.146   
C918CO3H          200.232      10.464      5118.872   
LMLKAOOH          202.204      11.273      5693.203   
C1311O            225.304      9.270       4489.933   
INAOOH            197.143      14.414      7352.957   
H1C23C4OOH        134.087      11.102      5569.724   
NOPINBNO3         199.204      8.516       4053.289   
C811OOH           174.194      11.641      5801.050   
C511CO3H          160.125      9.110       4306.295   
C617CO2H          158.152      9.719       4703.331   
INAHPCHO          195.127      12.727      6381.720   
INANCHO           224.126      11.729      5798.111   
C137O             225.304      9.639       4696.758   
C829O             173.186      8.522       4030.957   
C87CO3H           216.188      11.328      5703.931   
C1013OH           186.248      8.387       3907.294   
C721CHO           156.179      9.179       4355.495   
NC4OO             165.101      8.716       4011.951   
C89CO3H           186.205      9.067       4312.939   
C728OOH           178.183      14.014      7185.711   
C536OOH           182.043      15.445      7995.676   
HOC2H4CO3H        106.077      8.926       4035.706   
BCLKET            238.323      9.596       4796.142   
C527O             149.122      9.878       4677.271   
C139O2            257.303      11.618      5796.055   
HC4CCO3H          132.115      9.293       4322.769   
C1211OOH          244.284      14.590      7581.539   
C530OOH           134.131      10.288      4962.962   
INB2O             180.136      10.282      4875.756   
LMLKBOH           186.205      10.508      5242.826   
BCSOZOOH          302.363      13.417      6932.025   
C614CO            144.125      8.919       4325.048   
C625OH            148.157      11.744      5851.267   
C1210OOH          228.285      11.322      5740.388   
HMACROOH          136.103      13.477      6848.063   
HC4ACO3H          132.115      9.293       4322.769   
C531OOH           146.098      9.485       4557.673   
NC524OH           197.143      16.337      8438.830   
NC524O2           212.135      12.593      6235.851   
C919OH            186.205      10.263      5042.842   
INAHPCO2H         211.127      16.301      8423.019   
C625O2            163.149      8.882       4097.619   
C513CO            130.099      8.897       4231.054   
NC102O            244.221      9.176       4505.295   
PINIC             186.205      11.742      5924.479   
H3C2C4PAN         193.112      9.287       4410.189   
C4MALOHOOH        148.114      11.447      5634.005   
BCLKAOOH          270.322      13.077      6777.568   
C1211CO3          271.286      9.494       4537.224   
NBCALOOH          331.361      11.075      5555.893   
MVKOHBOOH         136.103      13.332      6821.352   
C1213OOH          276.283      19.739      10433.579  
