#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
1.18069444444444442865e+02  1.66007034372409334466e+00  9.88539955235811930834e+02  8.47995843325394389467e+01  -2.07772041587374989291e+00  6.03464479185566378874e+04  3.42369830855043182964e+04  8.08018297114512229484e+00  3.09960296296295408081e-03  1.45213333336569803578e+02  3.09331434636292312845e-01  5.00000000000000027756e-02  3.02293333338729226512e+01  5.00000000000000027756e-02
1.18076388888888885731e+02  2.98996802557689145274e+00  9.88460014388490435522e+02  8.28798896882402686970e+01  -1.60868543492035009912e+00  5.93318997433632830507e+04  2.74798646085086365929e+04  6.95809908784660180459e+00  2.97923259259261523010e-03  1.47236666673139609429e+02  1.90662869272584634128e-01  5.00000000000000027756e-02  3.05666666677458458423e+01  5.00000000000000027756e-02
1.18083333333333328596e+02  3.21993285371719695220e+00  9.88370057553956712582e+02  8.04902014388484019491e+01  1.30421370000577319104e+00  5.83173515681699209381e+04  2.07227461315129512514e+04  7.87096487522271015536e+00  2.86480555555555403344e-03  1.49259999989308425938e+02  7.20023359252444927758e-02  5.00000000000000027756e-02  3.09040000023545715635e+01  5.00000000000000027756e-02
1.18090277777777771462e+02  2.81998081534736089182e+00  9.88470041566747454453e+02  8.26599968025578846209e+01  -1.78251369841513995773e+00  5.80282447922054343508e+04  4.44386982200324018777e+03  8.23234931576309136858e+00  2.86825462962962685065e-03  1.47031999996437662048e+02  1.20667445308381637847e-01  5.00000000000000027756e-02  3.13946666674511902784e+01  5.00000000000000027756e-02
1.18097222222222228538e+02  2.67997122302104173741e+00  9.88470057553957985874e+02  8.28200031974421051473e+01  -1.75591137777472572346e+00  5.77391380202945656492e+04  -1.18350065407532456447e+04  1.28915245493942798305e+01  2.87170370370370747412e-03  1.44804000003562322263e+02  1.69332554691618369924e-01  5.00000000000000027756e-02  3.18853333325488073058e+01  5.00000000000000027756e-02
1.18104166666666671404e+02  2.78001918465222930266e+00  9.88480033573141440684e+02  8.34500095923261113739e+01  -2.17129647619894339261e-01  5.74500312069297215203e+04  -2.81138826870527809660e+04  1.36052010087215506928e+01  2.87487753968253311257e-03  1.42576000010691558373e+02  2.17997664074755514996e-01  5.00000000000000027756e-02  3.23759999976454224679e+01  5.00000000000000027756e-02
1.18111111111111114269e+02  2.59000319744231077834e+00  9.88659977617903791725e+02  8.40999664268557296509e+01  -1.82883146983909261607e+00  4.97432460650364810135e+04  -5.66696866636852064403e+03  1.14078023669819881292e+01  2.86685835978835569862e-03  1.42034000001733943463e+02  1.98667285343230609618e-01  5.00000000000000027756e-02  3.13393333366497799375e+01  5.00000000000000027756e-02
1.18118055555555557135e+02  2.97998721023198287483e+00  9.88480083133492144043e+02  8.28799360511599161327e+01  -2.21804332698439976568e+00  4.20364609231432405068e+04  1.67799453543157433160e+04  1.17341095716693786244e+01  2.85883917989417785099e-03  1.41492000000866966047e+02  1.79333642671615306474e-01  5.00000000000000027756e-02  3.03026666683248890877e+01  5.00000000000000027756e-02
1.18125000000000000000e+02  2.22000000000000019540e+00  9.88649999999999977263e+02  8.41400000000000005684e+01  -1.92551399999999994783e+00  3.43296757812500000000e+04  3.92268593750000000000e+04  1.14806080013854270305e+01  2.85082000000000000337e-03  1.40949999999999988631e+02  1.60000000000000003331e-01  5.00000000000000027756e-02  2.92659999999999982379e+01  5.00000000000000027756e-02
1.18131944444444442865e+02  2.13995523581194069251e+00  9.88669929656275826346e+02  8.46200127897680260958e+01  -2.12372942222254756928e+00  4.28157734216914832359e+04  2.96952728042144663050e+04  9.65603674870510353401e+00  2.99842582010578090346e-03  1.39849999998240463128e+02  1.60000000000000003331e-01  5.00000000000000027756e-02  2.90759999996960800672e+01  1.09999552003546899326e-01
