#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
1.03000000000000000000e+02  2.97000000000000019540e+00  1.00799000000000000909e+03  3.17800000000000011369e+01  -3.45376700000000003143e+00  1.99793093750000000000e+05  1.81604906250000000000e+05  2.00000000000000000000e+00  4.01727499999999983910e-03  1.89132000000000005002e+02  3.47999999999999976019e-01  5.00000000000000027756e-02  4.98659999999999996589e+01  5.00000000000000027756e-02
1.03006944444444442865e+02  2.89007673860810188060e+00  1.00803991686650783777e+03  3.17002302158243054464e+01  -2.68474845079388702018e+00  1.75505143274412024766e+05  1.79254270837712276261e+05  2.00000000000000000000e+00  4.11143009259256741322e-03  1.85370666660650130098e+02  3.66000288004607321479e-01  5.00000000000000027756e-02  4.92439999990050623069e+01  8.99996800025334997564e-02
1.03013888888888885731e+02  2.93999999999999994671e+00  1.00793001598721150458e+03  3.21700063948846235462e+01  -2.66162134444328435379e+00  1.51217192798824049532e+05  1.76903635425424523419e+05  2.00000000000000000000e+00  4.20558518518513585471e-03  1.81609333321300283615e+02  3.84000576009214722450e-01  5.00000000000000027756e-02  4.86219999980101320602e+01  5.00000000000000027756e-02
1.03020833333333328596e+02  2.80992805755413943558e+00  1.00792008153477195265e+03  3.28200335731414014617e+01  -2.97649577142846899491e+00  1.26929242323236059747e+05  1.74553000013136799680e+05  2.00000000000000000000e+00  4.29974027777770342884e-03  1.77848000001545187843e+02  4.02001919938557161771e-01  5.00000000000000027756e-02  4.79999999983332443776e+01  5.00000000000000027756e-02
1.03027777777777771462e+02  2.76996482813682876056e+00  1.00816999040767359475e+03  3.33399360511578706223e+01  -2.43053548571359412378e+00  1.19178041681111455546e+05  1.61207541691536665894e+05  2.00000000000000000000e+00  4.34351227513223026033e-03  1.78170000000514846761e+02  4.42000639979491793952e-01  5.00000000000000027756e-02  4.76526666661113154078e+01  5.00000000000000027756e-02
1.03034722222222228538e+02  2.42000319744210656836e+00  1.00819998721023159760e+03  3.34200479616315959674e+01  -2.12063074920838401383e+00  1.11426841131388544454e+05  1.47862083308463334106e+05  2.00000000000000000000e+00  4.38604534391537435184e-03  1.78491999999485159378e+02  4.81999360020508249569e-01  5.00000000000000027756e-02  4.73053333338886830006e+01  5.00000000000000027756e-02
1.03041666666666671404e+02  2.52003836930445901388e+00  1.00806008633093495064e+03  3.36300143884891724610e+01  -2.74925603333412871265e+00  1.03675640556361046038e+05  1.34516625013308919733e+05  2.00000000000000000000e+00  4.42857841269843170717e-03  1.78813999998454818297e+02  5.21998080061442881750e-01  5.00000000000000027756e-02  4.69580000016667540308e+01  1.59999760002411728355e-01
1.03048611111111114269e+02  2.30999520383653367261e+00  1.00821998561150962814e+03  3.48600287769807977156e+01  -2.04755097460337820436e+00  9.13937213084073737264e+04  1.36898057300539279822e+05  2.00000000000000000000e+00  4.30952097222216893441e-03  1.75888000009360695230e+02  5.95330986629125313847e-01  5.00000000000000027756e-02  4.62793333355044893551e+01  7.00000159999756427220e-02
1.03055555555555557135e+02  1.59996163069594921069e+00  1.00833990407673991285e+03  3.59799552358119356654e+01  -1.98755881904762965462e+00  7.91118020604536868632e+04  1.39279489587769639911e+05  2.00000000000000000000e+00  4.18231611111106148237e-03  1.72962000004680362508e+02  6.68665493314562597860e-01  5.00000000000000027756e-02  4.56006666677522431996e+01  9.99994880040536160415e-02
1.03062500000000000000e+02  1.79000000000000003553e+00  1.00823000000000001819e+03  3.64200000000000017053e+01  -2.21661000000000019128e+00  6.68298828125000000000e+04  1.41660921875000000000e+05  2.00000000000000000000e+00  4.06689928571429826221e-03  1.70036000000000001364e+02  7.41999999999999992895e-01  5.00000000000000027756e-02  4.49219999999999970441e+01  7.00000000000000066613e-02
1.03069444444444442865e+02  1.67000639488400848265e+00  1.00845997442046405013e+03  3.68700127897680118849e+01  -2.44139376825395260084e+00  7.13957421789943909971e+04  1.45537140617779106833e+05  2.00000000000000000000e+00  4.10341714285714521254e-03  1.73750666672608559793e+02  7.30666485330432435852e-01  5.00000000000000027756e-02  4.50493333335370138570e+01  7.00002559979732014162e-02
1.03076388888888885731e+02  1.47001278976924343311e+00  1.00861000319744232456e+03  3.70099872102307543287e+01  -2.37503057777796078298e+00  7.59616015454887674423e+04  1.49413359360558184562e+05  2.00000000000000000000e+00  4.13993499999999303024e-03  1.77465333345217118222e+02  7.19332970660864767787e-01  5.00000000000000027756e-02  4.51766666670740235645e+01  7.99999520000730796054e-02
1.03083333333333328596e+02  1.29000479616305741004e+00  1.00858999520383702020e+03  3.73701055155872623459e+01  -2.22108365714236954958e+00  8.05274609119831584394e+04  1.53289578103337291395e+05  2.00000000000000000000e+00  4.17963460317455608867e-03  1.81179999998451620513e+02  7.08001791942653224687e-01  5.00000000000000027756e-02  4.53040000049682802796e+01  3.49999664003376398380e-01
1.03090277777777771462e+02  1.12002238209474547226e+00  1.00863002877697897475e+03  3.80699904076736785896e+01  -2.39663502857281196512e+00  7.03065599148805486038e+04  1.25993945363366903621e+05  2.00000000000000000000e+00  4.28243883597876229957e-03  1.80857333332817432847e+02  7.45333930647525622071e-01  5.00000000000000027756e-02  4.63393333349887228678e+01  5.00000000000000027756e-02
1.03097222222222228538e+02  8.99996802557893493812e-01  1.00867999040767358565e+03  3.83200383693052799572e+01  -2.37279884444407818123e+00  6.00856588351194586721e+04  9.86983124491330963792e+04  2.00000000000000000000e+00  4.38524306878317841202e-03  1.80534666667182563060e+02  7.82666069352474291776e-01  5.00000000000000027756e-02  4.73746666650112757679e+01  1.69999360005067018387e-01
