#          Time_in_sec([])              CONDENS_SINK([])              CON_SIN_NITR([])
1.98000000000000000000e+04    1.01293370234041753974e+03    1.00073543056419759978e+03
2.01000000000000000000e+04    1.01230339803397646392e+03    1.00075601930405787243e+03
2.04000000000000000000e+04    1.01168856086436653641e+03    1.00077849901460888304e+03
2.07000000000000000000e+04    1.01109135761568597900e+03    1.00080298425244620830e+03
2.10000000000000000000e+04    1.01051356296354208553e+03    1.00082960056842614449e+03
2.13000000000000000000e+04    1.00995658075162998557e+03    1.00085848533721616604e+03
2.16000000000000000000e+04    1.00942146949773598408e+03    1.00088978866114905486e+03
2.19000000000000000000e+04    1.00890897090952864801e+03    1.00092367435254811880e+03
2.22000000000000000000e+04    1.00841954028963857581e+03    1.00096032099851504427e+03
2.25000000000000000000e+04    1.00795337783208913152e+03    1.00099992311183984839e+03
2.28000000000000000000e+04    1.00751045994890330348e+03    1.00104269237117625835e+03
2.31000000000000000000e+04    1.00709056990848455371e+03    1.00108885895286402956e+03
2.34000000000000000000e+04    1.00669332720918964696e+03    1.00113867295572981675e+03
2.37000000000000000000e+04    1.00631821524691724790e+03    1.00119240591879429303e+03
2.40000000000000000000e+04    1.00596460696037138405e+03    1.00125035242997796558e+03
2.43000000000000000000e+04    1.00563178824917054044e+03    1.00131283182155937084e+03
2.46000000000000000000e+04    1.00531897905654705028e+03    1.00138018994519768512e+03
2.49000000000000000000e+04    1.00502535208942254030e+03    1.00145280101569494491e+03
2.52000000000000000000e+04    1.00475004921438153360e+03    1.00153106950822302679e+03
2.55000000000000000000e+04    1.00449219561930772215e+03    1.00161543208838054397e+03
2.58000000000000000000e+04    1.00425091186847851077e+03    1.00170635954803844925e+03
2.61000000000000000000e+04    1.00402532400523159595e+03    1.00180435871238569234e+03
2.64000000000000000000e+04    1.00381457187261685249e+03    1.00190997427477896053e+03
2.67000000000000000000e+04    1.00361781583037179644e+03    1.00202379050585375353e+03
2.70000000000000000000e+04    1.00343424204774998998e+03    1.00214643277180334735e+03
2.73000000000000000000e+04    1.00326306654767643067e+03    1.00227856878376314853e+03
2.76000000000000000000e+04    1.00310353816974122765e+03    1.00242090948588611354e+03
2.79000000000000000000e+04    1.00295494060883856946e+03    1.00257420947408684242e+03
2.82000000000000000000e+04    1.00281659367378813386e+03    1.00273926682077933492e+03
2.85000000000000000000e+04    1.00268785389684944676e+03    1.00291692216358592304e+03
2.88000000000000000000e+04    1.00256811461129029794e+03    1.00310805689845119559e+03
2.91000000000000000000e+04    1.00245680560059236086e+03    1.00331359030052533399e+03
2.94000000000000000000e+04    1.00235339240983103082e+03    1.00353447538046646059e+03
2.97000000000000000000e+04    1.00225737539750502947e+03    1.00377169327056083148e+03
3.00000000000000000000e+04    1.00216828859477675451e+03    1.00402624592558879613e+03
3.03000000000000000000e+04    1.00208569842880808665e+03    1.00429914691927081094e+03
3.06000000000000000000e+04    1.00200920235767216582e+03    1.00459141012016971217e+03
3.09000000000000000000e+04    1.00193842745617803303e+03    1.00490403604309494767e+03
3.12000000000000000000e+04    1.00187302898482960245e+03    1.00523799569540574339e+03
3.15000000000000000000e+04    1.00181268896798519563e+03    1.00559421177425485894e+03
3.18000000000000000000e+04    1.00175711480202210168e+03    1.00597353712271637960e+03
3.21000000000000000000e+04    1.00170603790986126569e+03    1.00637673042160372461e+03
3.24000000000000000000e+04    1.00165921245448112131e+03    1.00680442918080802883e+03
3.27000000000000000000e+04    1.00161641412097742432e+03    1.00725712019969557787e+03
3.30000000000000000000e+04    1.00157743897422130885e+03    1.00773510779002162963e+03
3.33000000000000000000e+04    1.00154210239715587250e+03    1.00823848019533386378e+03
3.36000000000000000000e+04    1.00151023811319998913e+03    1.00876707479487561159e+03
3.39000000000000000000e+04    1.00148169729501762504e+03    1.00932044284292669545e+03
3.42000000000000000000e+04    1.00145634776102428987e+03    1.00989781466000988530e+03
3.45000000000000000000e+04    1.00143407326038891370e+03    1.01049806635245579400e+03
3.48000000000000000000e+04    1.00141477284690222405e+03    1.01111968928194414730e+03
3.51000000000000000000e+04    1.00139836034189863767e+03    1.01176076362610012893e+03
3.54000000000000000000e+04    1.00138476388640424375e+03    1.01241893745359675449e+03
3.57000000000000000000e+04    1.00137392558281396759e+03    1.01309141277093362987e+03
3.60000000000000000000e+04    1.00136580122665816361e+03    1.01377493997238684642e+03
3.63000000000000000000e+04    1.00136036012939575812e+03    1.01446582203037019099e+03
3.66000000000000000000e+04    1.00135758503364320404e+03    1.01515992959408674778e+03
3.69000000000000000000e+04    1.00135747212281955854e+03    1.01585272791692409555e+03
