#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
9.41527777777777714618e+01  -6.93000319744210635520e+00  8.62000543565158068304e+01  5.33376486772472839515e-03  9.89399952038368383000e+02  1.27601171917955784011e+05  8.46422974967898511522e+00
9.41597222222222285382e+01  -6.62998401278946758453e+00  8.65399872102315868005e+01  5.46569608465617955834e-03  9.89429993605115782884e+02  1.04550718707044230541e+05  9.83053879522150175774e+00
9.41666666666666714036e+01  -6.84000479616305767649e+00  8.68400911270980913059e+01  5.59762730158736183939e-03  9.89330076738608909181e+02  8.15002655659772572108e+04  8.39756334086803590822e+00
9.41736111111111142691e+01  -6.82999040767306730970e+00  8.66700000000000017053e+01  5.56585796296295547830e-03  9.89509974420461503541e+02  7.09390233981515048072e+04  8.00935423725983852705e+00
9.41805555555555571345e+01  -7.09998721023198253732e+00  8.74498593125518226543e+01  5.52583481481481748193e-03  9.89469993605115973878e+02  6.03777812303257524036e+04  5.57010744473379126873e+00
9.41875000000000000000e+01  -7.04999999999999982236e+00  8.82600000000000051159e+01  5.48581166666667948556e-03  9.89490000000000009095e+02  4.98165390625000000000e+04  6.89520221353561701960e+00
9.41944444444444428655e+01  -7.01997442046396535886e+00  8.96999040767398696516e+01  5.57115766666662921153e-03  9.89420083133492084926e+02  5.68655286327019639430e+04  6.20672406285827449324e+00
9.42013888888888857309e+01  -6.95000159872115563786e+00  8.97899920063942289516e+01  5.66623058333329352593e-03  9.89530003197442283636e+02  6.39145182029039278859e+04  5.19074417379218822077e+00
9.42083333333333285964e+01  -7.37000959232611485561e+00  8.99099760191847110491e+01  5.75137476190481274768e-03  9.89659985611510819581e+02  7.09635077731058991048e+04  6.34006845770328553158e+00
9.42152777777777714618e+01  -7.70001918465263912594e+00  8.99099840127894651687e+01  5.63959896825404899401e-03  9.89659980815347353200e+02  8.29308749776981567265e+04  5.14080563624007247370e+00
9.42222222222222285382e+01  -7.61001918465263926805e+00  9.07000415667473873782e+01  5.52782317460305625684e-03  9.89559977617905246916e+02  9.48982422098018432735e+04  6.49736737828067401068e+00
9.42291666666666714036e+01  -7.61997601918471278992e+00  9.14599232613910686496e+01  5.43448769841322135155e-03  9.89569990407673913069e+02  1.06865609362306087860e+05  6.47015369899494441341e+00
9.42361111111111142691e+01  -7.88999520383653329958e+00  9.17000111910480910637e+01  6.09105846560881354634e-03  9.89699979216625024492e+02  1.04594221345704048872e+05  9.54083998547979206251e+00
9.42430555555555571345e+01  -7.69007034372409403744e+00  9.27999040767398639673e+01  6.74762923280440660850e-03  9.89719910471623961712e+02  1.02322833329102024436e+05  6.25521462352955470720e+00
9.42500000000000000000e+01  -7.75999999999999978684e+00  9.30999999999999943157e+01  7.40419999999999967066e-03  9.89639999999999986358e+02  1.00051445312500000000e+05  4.49437672482691219500e+00
9.42569444444444428655e+01  -7.98995523581194078133e+00  9.30299616306959507028e+01  7.69007962962955406161e-03  9.89590025579536018085e+02  1.04369341137789640925e+05  6.99164995796646593362e+00
9.42638888888888857309e+01  -7.79999680255768890191e+00  9.19900335731442595488e+01  7.97595925925910845256e-03  9.89610015987211568245e+02  1.08687236963079281850e+05  7.29872008923291737403e+00
9.42708333333333285964e+01  -7.51000479616305760544e+00  9.00899424460433095874e+01  8.26183888888866110878e-03  9.89959976019184750839e+02  1.13005132788368937327e+05  1.45287615790342954369e+01
9.42777777777777714618e+01  -7.14002238209474526798e+00  8.93300383693052708622e+01  8.16874068783079651523e-03  9.89820000000000050022e+02  1.23684593730098247761e+05  1.39084352720940742643e+01
9.42847222222222285382e+01  -6.92999360511578643695e+00  8.64799776179052628322e+01  8.06632335978828621248e-03  9.89920003197442042620e+02  1.34364054707401752239e+05  6.10346516020078322384e+00
9.42916666666666714036e+01  -6.74997601918471268334e+00  8.57000671462828051972e+01  7.96390603174598581127e-03  9.89900023980815262803e+02  1.45043516021743038436e+05  3.96451202080179943010e+00
9.42986111111111142691e+01  -6.66999999999999992895e+00  8.47099712230191954632e+01  8.73449316666700600886e-03  9.90020011191048070032e+02  2.16034781514495378360e+05  2.63668644268178979928e+01
9.43055555555555571345e+01  -6.87998081534797467640e+00  8.44998465227837982638e+01  9.54909733333364832419e-03  9.89950108713028157581e+02  2.87026047007247689180e+05  4.28036865682022664714e+01
9.43125000000000000000e+01  -6.62000000000000010658e+00  8.39300000000000068212e+01  1.03497602380954491219e-02  9.89919999999999959073e+02  3.58017312500000000000e+05  4.88417916468257047313e+01
9.43194444444444428655e+01  -6.40994884092793260066e+00  8.33699936051159937733e+01  1.09707357671958143780e-02  9.90020025579535968063e+02  5.92595541229677386582e+05  6.20096293725383418405e+01
9.43263888888888857309e+01  -6.23999680255768929271e+00  8.26599920063942192883e+01  1.15917112962961796341e-02  9.90019995203836515429e+02  8.27173769959354656748e+05  7.77976747519690832178e+01
9.43333333333333285964e+01  -6.02996163069554125258e+00  8.21900335731414060092e+01  1.21757276190476871475e-02  9.90059894484412666316e+02  1.06175199868903215975e+06  6.19713398145623415303e+01
9.43402777777777714618e+01  -5.71999999999999975131e+00  8.19600159872105251679e+01  1.20267196825397902626e-02  9.89970044764189538000e+02  1.28803749957830458879e+06  6.30422722888511586348e+01
9.43472222222222285382e+01  -5.26997761790525398595e+00  8.05799872102315788425e+01  1.18777117460315880665e-02  9.89989955235810498380e+02  1.51432300042169541121e+06  6.91673848737216729887e+01
9.43541666666666714036e+01  -4.94001918465222988885e+00  7.88400767386089285083e+01  1.17798468253984024712e-02  9.89900062350119696930e+02  1.74060850046420330182e+06  7.40082619945374773351e+01
9.43611111111111142691e+01  -4.72999680255768950587e+00  7.74800047961634703597e+01  1.37617978835989345637e-02  9.89959995203836569999e+02  1.82367079197613568977e+06  8.53306771264147840839e+01
9.43680555555555571345e+01  -4.28003197442004257312e+00  7.56001918465202464859e+01  1.57437489417994666563e-02  9.89960051159072122573e+02  1.90673308348806784488e+06  9.77476630244842681350e+01
9.43750000000000000000e+01  -4.05999999999999960920e+00  7.43299999999999982947e+01  1.77257000000000004836e-02  9.90029999999999972715e+02  1.98979537500000000000e+06  9.42391586782020596047e+01
9.43819444444444428655e+01  -3.98002557953603375296e+00  7.25999040767398611251e+01  2.13841457671947975105e-02  9.89879942446043969539e+02  2.02122045827479241416e+06  8.84575938005786781559e+01
9.43888888888888857309e+01  -4.08999520383653347722e+00  7.16899952038365313456e+01  2.50425915343895910681e-02  9.89850000000000022737e+02  2.05264554154958482832e+06  9.37943286719418694020e+01
9.43958333333333285964e+01  -3.47999520383694260772e+00  7.09601630695439382635e+01  2.87010373015843880951e-02  9.90020047961630552891e+02  2.08407062482437724248e+06  9.32152308725849110260e+01
9.44027777777777714618e+01  -3.48998401278946790427e+00  6.94202557953685186476e+01  2.27040512698478830211e-02  9.90029996802557889168e+02  2.15286166653847089037e+06  9.21631031731336065604e+01
9.44097222222222285382e+01  -2.59997442046314830577e+00  6.60800415667473828307e+01  1.64696365872970956756e-02  9.90010022382094689419e+02  2.22165270846152910963e+06  1.00163360130762498557e+02
9.44166666666666714036e+01  -1.72010071942420506019e+00  6.18106426858496931231e+01  1.02352219047590689560e-02  9.90060028776978242604e+02  2.29044375276985904202e+06  1.01509142522581058188e+02
9.44236111111111142691e+01  -1.28000479616346640732e+00  5.75500543565192828055e+01  8.40983277777747340043e-03  9.89999988808951911778e+02  2.78606883517990633845e+06  1.02849057730149127110e+02
9.44305555555555571345e+01  -6.90185451636246005691e-01  5.58303709032724881922e+01  6.80674746031758193948e-03  9.89879961630695902386e+02  3.28169391758995316923e+06  8.88612730488659536832e+01
9.44375000000000000000e+01  -6.30000000000000004441e-01  5.24500000000000028422e+01  5.20366214285768961118e-03  9.89710000000000036380e+02  3.77731900000000000000e+06  7.42123025178697162119e+01
9.44444444444444428655e+01  1.09936051159915143538e-01  4.94093669064831573223e+01  5.05191911111112570976e-03  9.89670038369304052139e+02  4.57798633184179197997e+06  6.90037611055214199496e+01
