      0.60     10.00      6.00      1.00        245.229       2.13e-09       6.19e+10
      0.20     10.00      2.00      0.00        170.249       8.03e-09       2.33e+11
      0.71      7.00      5.00      0.00        174.151       1.25e-10       3.64e+09
      0.50      6.00      3.00      0.00        132.158       6.00e-09       1.74e+11
      0.67      6.00      4.00      0.00        144.125       2.30e-09       6.68e+10
      0.67      6.00      4.00      0.00        146.141       1.80e-10       5.23e+09
      0.86      7.00      6.00      0.00        190.151       2.39e-12       6.95e+07
      0.33      9.00      3.00      0.00        172.221       7.57e-09       2.20e+11
      0.33      9.00      3.00      0.00        170.206       1.80e-08       5.24e+11
      0.50      8.00      4.00      0.00        174.194       3.12e-12       9.06e+07
      0.50      8.00      4.00      0.00        172.179       1.68e-09       4.87e+10
      1.25      4.00      5.00      1.00        149.102       3.39e-08       9.82e+11
      0.36     11.00      4.00      0.00        214.258       1.62e-10       4.69e+09
      0.80      5.00      4.00      0.00        134.131       2.34e-12       6.80e+07
      0.50      8.00      4.00      0.00        174.194       1.25e-09       3.64e+10
      1.50      4.00      6.00      1.00        163.086       6.08e-10       1.76e+10
      0.38     13.00      5.00      1.00        271.310       2.98e-08       8.64e+11
      0.42     12.00      5.00      0.00        244.284       1.21e-15       3.52e+04
      0.40     10.00      4.00      1.00        215.246       1.58e-09       4.60e+10
      0.27     11.00      3.00      0.00        198.259       2.85e-10       8.26e+09
      0.33      9.00      3.00      0.00        172.221       3.00e-10       8.70e+09
      0.36     14.00      5.00      1.00        285.336       3.96e-08       1.15e+12
      0.70     10.00      7.00      1.00        261.229       1.37e-11       3.96e+08
      0.44      9.00      4.00      0.00        184.189       5.76e-09       1.67e+11
      0.44      9.00      4.00      0.00        186.205       4.22e-10       1.23e+10
      0.62      8.00      5.00      0.00        188.178       1.20e-11       3.48e+08
      0.31     13.00      4.00      0.00        241.303       6.72e-11       1.95e+09
      0.62      8.00      5.00      0.00        190.194       1.38e-15       4.02e+04
      2.33      3.00      7.00      1.00        167.074       2.99e-09       8.66e+10
      1.25      4.00      5.00      0.00        134.087       2.35e-08       6.82e+11
      0.67      9.00      6.00      0.00        219.212       3.35e-11       9.73e+08
      0.80      5.00      4.00      0.00        130.099       1.49e-08       4.33e+11
      0.50     12.00      6.00      0.00        259.276       2.48e-11       7.19e+08
      0.44      9.00      4.00      0.00        188.221       1.19e-11       3.46e+08
      0.50     10.00      5.00      0.00        216.231       2.44e-12       7.08e+07
      0.56      9.00      5.00      0.00        203.212       7.29e-08       2.11e+12
      0.62      8.00      5.00      0.00        188.178       5.44e-10       1.58e+10
      0.44      9.00      4.00      0.00        186.205       4.22e-10       1.23e+10
      1.50      4.00      6.00      1.00        163.086       3.35e-10       9.71e+09
      0.20     15.00      3.00      0.00        251.341       1.09e-08       3.17e+11
      1.50      2.00      3.00      0.00         76.051       3.74e-08       1.09e+12
      1.00      5.00      5.00      0.00        148.114       1.89e-11       5.48e+08
      1.00      7.00      7.00      1.00        219.149       1.21e-08       3.52e+11
      1.40      5.00      7.00      1.00        195.127       2.25e-15       6.54e+04
      0.56      9.00      5.00      0.00        204.220       1.48e-13       4.28e+06
      0.54     13.00      7.00      1.00        303.308       2.08e-10       6.03e+09
      0.60      5.00      3.00      0.00        118.131       2.80e-10       8.12e+09
      0.38     13.00      5.00      1.00        271.310       7.21e-08       2.09e+12
      1.00      6.00      6.00      0.00        178.140       1.86e-16       5.39e+03
      0.44      9.00      4.00      0.00        188.221       2.36e-11       6.85e+08
      1.40      5.00      7.00      1.00        195.127       2.37e-15       6.86e+04
      0.33      9.00      3.00      0.00        172.221       1.14e-08       3.30e+11
      1.33      3.00      4.00      0.00        106.077       1.45e-09       4.21e+10
      0.67      6.00      4.00      0.00        146.141       6.12e-09       1.78e+11
      0.46     13.00      6.00      0.00        274.310       9.80e-18       2.84e+02
      1.00      5.00      5.00      0.00        146.098       2.43e-08       7.06e+11
      1.20      5.00      6.00      1.00        179.128       1.10e-11       3.20e+08
      0.46     13.00      6.00      1.00        287.309       1.38e-09       3.99e+10
      1.40      5.00      7.00      1.00        193.112       9.04e-14       2.62e+06
      1.00      5.00      5.00      1.00        163.129       7.11e-09       2.06e+11
      0.83      6.00      5.00      0.00        162.141       3.66e-12       1.06e+08
      0.56      9.00      5.00      0.00        200.189       7.90e-13       2.29e+07
      0.50     12.00      6.00      1.00        273.282       8.03e-09       2.33e+11
      0.55     11.00      6.00      1.00        259.256       3.28e-08       9.52e+11
      2.20      5.00     11.00      2.00        272.124       4.86e-15       1.41e+05
