#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                      NH3.dat
1.01208333333333328596e+02  -1.47999999999999998224e+00  4.70699232613910822920e+01  1.01318503174600178796e-02  1.00930003357314137702e+03  2.11654812255153752631e+05  2.00000000000000000000e+00
1.01215277777777771462e+02  -1.57998081534736112275e+00  4.71399232613894483279e+01  1.07891485978831250941e-02  1.00933001918465265589e+03  1.86406338588718586834e+05  2.00000000000000000000e+00
1.01222222222222228538e+02  -1.79000319744210645290e+00  4.77500319744210628414e+01  1.14464468783075749847e-02  1.00946997761790532877e+03  1.61157864536281413166e+05  2.00000000000000000000e+00
1.01229166666666671404e+02  -2.09995203836942634368e+00  4.91299232613910845657e+01  1.21647530158755616536e-02  1.00943006714628279497e+03  1.35909390604916086886e+05  2.00000000000000000000e+00
1.01236111111111114269e+02  -2.41999999999999992895e+00  4.99199904076730689440e+01  1.53640453439170421995e-02  1.00946997921662500630e+03  1.32315674465777410660e+05  2.00000000000000000000e+00
1.01243055555555557135e+02  -2.60998081534797421455e+00  4.95101023181441348697e+01  1.85633376719585227455e-02  1.00961985931255185278e+03  1.28721958326638705330e+05  2.00000000000000000000e+00
1.01250000000000000000e+02  -2.47999999999999998224e+00  4.77700000000000031264e+01  2.17626300000000015566e-02  1.00950999999999999091e+03  1.25128242187500000000e+05  2.00000000000000000000e+00
1.01256944444444442865e+02  -2.19000639488400850041e+00  4.86099616306959489975e+01  1.76163667724878736376e-02  1.00963992965627585363e+03  1.44944817671417578822e+05  2.00000000000000000000e+00
1.01263888888888885731e+02  -1.86000479616346647838e+00  4.86300111910480907795e+01  1.34701035449757439838e-02  1.00952002557953846917e+03  1.64761393155335157644e+05  2.00000000000000000000e+00
1.01270833333333328596e+02  -1.66000479616305729458e+00  4.88401486810547851292e+01  9.32384031746361606474e-03  1.00974998561151085141e+03  1.84577968639252736466e+05  3.90900682125689113988e+00
1.01277777777777771462e+02  -1.58000639488421312784e+00  4.97200479616315931253e+01  8.78157650793698861535e-03  1.00976002877697897020e+03  2.19985593684015970211e+05  2.00000000000000000000e+00
1.01284722222222228538e+02  -1.26001278976842590041e+00  4.98000063948842068839e+01  8.32793563492030888828e-03  1.00973000959232638252e+03  2.55393218815984029789e+05  2.00000000000000000000e+00
1.01291666666666671404e+02  -1.01003836930445900499e+00  5.06199856115108275390e+01  7.87429476190455550355e-03  1.00987998081534772155e+03  2.90800843777347065043e+05  2.00000000000000000000e+00
1.01298611111111114269e+02  -8.29993605115378230153e-01  5.07400287769808002736e+01  7.50095763888873525577e-03  1.00997999680255770727e+03  2.95694197934898082167e+05  2.33820614678737870307e+00
1.01305555555555557135e+02  -6.19993605115991552879e-01  5.15400639488400855726e+01  7.13166944444430187661e-03  1.00988007034372412818e+03  3.00587552092449041083e+05  2.00000000000000000000e+00
1.01312500000000000000e+02  2.00000000000000004163e-02  5.23900000000000005684e+01  6.75041047619029388471e-03  1.01004999999999995453e+03  3.05480906250000000000e+05  4.44974240167456080997e+00
1.01319444444444442865e+02  4.39987210231983005837e-01  5.22100447641880620608e+01  6.21486153439149407313e-03  1.01012994244604396954e+03  5.06682103791854460724e+05  2.00000000000000000000e+00
1.01326388888888885731e+02  8.69988808951911885003e-01  5.21900127897692414081e+01  5.67931259259269426154e-03  1.01013998721023074268e+03  7.07883301333708921447e+05  6.09517527676067594200e+00
1.01333333333333328596e+02  1.28005755395668874286e+00  5.18099904076738866365e+01  5.14687825396846748011e-03  1.01006002398081523097e+03  9.09084498875563498586e+05  6.81483142309017431160e+00
1.01340277777777771462e+02  1.61997761790525474090e+00  5.08300799360526625037e+01  4.67621687830721728674e-03  1.01027996163069474278e+03  2.38884433057571994141e+06  2.55307751717688624638e+00
1.01347222222222228538e+02  2.10006714628423596380e+00  4.97098625099894206869e+01  4.20555550264500345448e-03  1.01021003197442109922e+03  3.86860416942428005859e+06  2.89852748197814413800e+00
1.01354166666666671404e+02  2.73999520383694283865e+00  4.88099856115108323706e+01  3.74254841269829182857e-03  1.01018008633093495519e+03  5.34836400183347705752e+06  5.08986847323282098898e+00
1.01361111111111114269e+02  3.00999999999999978684e+00  4.84000543565192842266e+01  3.59081560846552776817e-03  1.01029000479616343000e+03  5.67643750122231803834e+06  7.69684578004200403711e+00
1.01368055555555557135e+02  3.39984012789978784497e+00  4.80100703437240881044e+01  3.43908280423276414145e-03  1.01046989768185585490e+03  6.00451100061115901917e+06  2.39175031546004790428e+00
1.01375000000000000000e+02  3.43000000000000015987e+00  4.64799999999999968736e+01  3.28735000000000008105e-03  1.01037000000000000455e+03  6.33258450000000000000e+06  3.04798994166016656848e+00
1.01381944444444442865e+02  3.81012789768016979508e+00  4.46699552358119404971e+01  3.27575939153439479878e-03  1.01041992965627582635e+03  6.80711983244933467358e+06  2.15894216552202600212e+00
1.01388888888888885731e+02  4.01998081534613405097e+00  4.36299840127884479557e+01  3.26416878306878908284e-03  1.01040003037570193101e+03  7.28165516489866934717e+06  5.33681384092537669517e+00
1.01395833333333328596e+02  3.98003357314140160383e+00  4.31800575539566864336e+01  3.25257817460318380057e-03  1.01046996642685860479e+03  7.75619049734800308943e+06  5.28683285251636547741e+00
1.01402777777777771462e+02  4.33998721023157418841e+00  4.29399904076736760317e+01  3.22688333333336074826e-03  1.01051997442046308606e+03  7.82783116653316002339e+06  5.82097325292278888753e+00
1.01409722222222228538e+02  4.55997761790525402148e+00  4.06300415667473870940e+01  3.20084166666664794373e-03  1.01057998721023159305e+03  7.89947183346683997661e+06  9.57684341516230119851e+00
1.01416666666666671404e+02  4.86989928057579479770e+00  4.05900143884891733137e+01  3.17479999999998804827e-03  1.01054993764988023486e+03  7.97111249704177398235e+06  1.89423802686742099866e+01
1.01423611111111114269e+02  5.24001119104808843474e+00  3.88699760191826655387e+01  3.19839833333333822818e-03  1.01045998880895194816e+03  7.44178199802784994245e+06  1.82752383797892825612e+01
1.01430555555555557135e+02  5.23983373301577959325e+00  3.70299232613919002688e+01  3.22449952380952182748e-03  1.01042001918465200561e+03  6.91245149901392497122e+06  1.36439218709206731006e+01
1.01437500000000000000e+02  4.98000000000000042633e+00  3.72599999999999980105e+01  3.25060071428570542679e-03  1.01050000000000000000e+03  6.38312100000000000000e+06  1.12230660726774758018e+01
1.01444444444444442865e+02  5.34001918465202507491e+00  3.52902366107083125257e+01  3.29179433333331690828e-03  1.01041992326139188663e+03  5.98495316740840300918e+06  7.20912727557917332177e+00
1.01451388888888885731e+02  5.57000319744231120467e+00  3.55399280575480034372e+01  3.33415891666664909732e-03  1.01047996962429806445e+03  5.58678533481680508703e+06  5.32653476154314553526e+00
1.01458333333333328596e+02  5.29000479616305785413e+00  3.52301486810547785922e+01  3.37465650793650640688e-03  1.01040991846522797459e+03  5.18861750222520809621e+06  1.28343647607679791633e+01
1.01465277777777771462e+02  5.87995203836840296674e+00  3.46898816946420609497e+01  3.37812542328042074782e-03  1.01033995843325260466e+03  5.14303916675160452724e+06  4.01041073455812409065e+01
1.01472222222222228538e+02  5.61001278976842598922e+00  3.40599392485999814539e+01  3.38159433862434246135e-03  1.01018002557953684573e+03  5.09746083324839547276e+06  3.78748314817225022466e+01
1.01479166666666671404e+02  5.64999520383694253667e+00  3.28703261390879006854e+01  3.38490238095237854637e-03  1.01022000959232616424e+03  5.05188249994082096964e+06  4.88370454523786605705e+01
1.01486111111111114269e+02  6.14998721023075667347e+00  3.32900191846538646701e+01  3.38166825396825224473e-03  1.00998002717825966101e+03  5.04129333329388033599e+06  6.30331809599963008850e+01
