#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
1.13111111111111114269e+02  -1.43000959232693269918e+00  9.09699840127884442609e+01  2.83234814814806385233e-03  9.96210025579538523743e+02  3.16237273029219359159e+04  3.40139877808934176784e+00
1.13118055555555557135e+02  -1.60998081534797465864e+00  9.11100255795360283173e+01  2.67327407407403185371e-03  9.96290012789767956747e+02  1.19282984659140929580e+04  3.42543174409856376883e+00
1.13125000000000000000e+02  -1.79000000000000003553e+00  9.10400000000000062528e+01  2.51419999999999985510e-03  9.96350000000000022737e+02  7.76713037109375000000e+03  3.44946471010778576982e+00
1.13131944444444442865e+02  -1.89005755395607621949e+00  9.11300191846520277750e+01  2.56944801587300104828e-03  9.96299955235811921739e+02  3.93005778709589367281e+03  3.47349767611700777081e+00
1.13138888888888885731e+02  -1.88001119104808789295e+00  9.09700079936057761643e+01  2.62469603174600224146e-03  9.96260012789769234587e+02  9.29852030980373456259e+01  3.49753064212623021589e+00
1.13145833333333328596e+02  -1.93998081534777044865e+00  8.99899856115108178756e+01  2.67994404761900343465e-03  9.96519966426858559316e+02  3.74408738089981852681e+03  3.52156360813545221689e+00
1.13152777777777771462e+02  -2.02999999999999980460e+00  8.94600639488421194301e+01  2.65260968253971376671e-03  9.96629939248599953316e+02  2.13764730117077215255e+03  3.54559657414467466197e+00
1.13159722222222228538e+02  -1.94998721023157406407e+00  8.76000287769789593995e+01  2.62324460317458216588e-03  9.96410009592326332495e+02  5.31207191016727847455e+02  3.56962954015394551277e+00
1.13166666666666671404e+02  -1.66006714628280338530e+00  8.62201822541961746538e+01  2.59387952380951041301e-03  9.96230105515587297305e+02  1.07523291901156017047e+03  3.59366250616316795785e+00
1.13173611111111114269e+02  -1.79000159872115549575e+00  8.62400031974423058045e+01  2.64652370370371424133e-03  9.96369995203836538167e+02  2.65975895772645662873e+03  3.61769547217239040293e+00
1.13180555555555557135e+02  -1.72004476418805940519e+00  8.66300511590720674349e+01  2.70330280423279958879e-03  9.96379878497203890220e+02  4.24428499644135354174e+03  3.64172843818161240392e+00
1.13187500000000000000e+02  -2.00000000000000000000e+00  8.87699999999999960210e+01  2.76008190476188536994e-03  9.96240000000000009095e+02  5.82881103515625000000e+03  3.66576140419083440491e+00
1.13194444444444442865e+02  -1.90000639488400846489e+00  8.81697442046396560045e+01  2.74760455555556233620e-03  9.96299993605115901119e+02  3.43807127179948111007e+03  3.68979437020005640591e+00
1.13201388888888885731e+02  -1.80000799360577734554e+00  8.64199616306922706599e+01  2.72975386111111830226e-03  9.96189977617903878127e+02  1.27049535787552122201e+04  3.71382733620927840690e+00
1.13208333333333328596e+02  -1.88004316546751626404e+00  8.67700335731414043039e+01  2.71657793650790027606e-03  9.96090028776978329006e+02  2.19718358857109415112e+04  3.73786030221850085198e+00
1.13215277777777771462e+02  -1.66003517186317117726e+00  8.52199776179052577163e+01  2.79611828042322305143e-03  9.95990047961631603357e+02  1.83248053453381071449e+04  3.76189326822772329706e+00
1.13222222222222228538e+02  -1.49997442046314821695e+00  8.41599744204631434741e+01  2.87565862433870845713e-03  9.96070047961631644284e+02  1.46777747327868928551e+04  3.78592623423699414786e+00
1.13229166666666671404e+02  -1.53995683453248366490e+00  8.50098177458038293253e+01  2.95753079365093434969e-03  9.96060043165467504878e+02  1.10307442535957416112e+04  3.80995920024621659294e+00
1.13236111111111114269e+02  -1.42999999999999993783e+00  8.67600175859327151784e+01  3.13423052910062269194e-03  9.96129979216624974470e+02  3.12451784607304944075e+04  3.83399216625543859394e+00
1.13243055555555557135e+02  -1.35000000000000008882e+00  8.73298593125518181068e+01  3.31093026455031146787e-03  9.96040012789767956747e+02  5.14596126678652508417e+04  3.85802513226466103902e+00
1.13250000000000000000e+02  -1.52000000000000001776e+00  8.97000000000000028422e+01  3.48762999999999981013e-03  9.96049999999999954525e+02  7.16740468750000000000e+04  3.88205809827388304001e+00
1.13256944444444442865e+02  -1.73998721023198310576e+00  9.03098209432477716518e+01  3.42243489417991134452e-03  9.96120000000000004547e+02  6.76718476637055864558e+04  3.90609106428310504100e+00
1.13263888888888885731e+02  -1.41000639488462176097e+00  8.82699999999999960210e+01  3.35723978835982287891e-03  9.96169992006394181772e+02  6.36696484524111729115e+04  3.93012403029232704199e+00
