#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
1.02000000000000000000e+02  2.16999999999999992895e+00  3.93100000000000022737e+01  4.50810000000000012793e-03  1.00794000000000005457e+03  2.48776437500000000000e+05  2.13323467467090477356e+00
1.02006944444444442865e+02  2.06997442046396606941e+00  3.95598976818558654145e+01  4.72501798941793189207e-03  1.00795996802557999672e+03  2.25776770876178779872e+05  2.00000000000000000000e+00
1.02013888888888885731e+02  2.16998880895191170737e+00  3.96599856115095974474e+01  4.94193597883586365621e-03  1.00785000639488464458e+03  2.02777104252357559744e+05  2.46054391047301557194e+00
1.02020833333333328596e+02  1.93995203836942620157e+00  4.01400959232611498351e+01  5.15885396825379542035e-03  1.00784007194244588845e+03  1.79777437628536339616e+05  2.00000000000000000000e+00
1.02027777777777771462e+02  1.87002238209474547226e+00  4.06499999999999985789e+01  5.07793703703713055625e-03  1.00776999360511581472e+03  2.14136947852635843446e+05  2.00000000000000000000e+00
1.02034722222222228538e+02  1.83001918465263901936e+00  4.00099776179052497582e+01  4.98969629629623240286e-03  1.00767998721023150210e+03  2.48496458397364156554e+05  2.00000000000000000000e+00
1.02041666666666671404e+02  2.11994244604331161241e+00  4.01599040767388473228e+01  4.90145555555551552807e-03  1.00772995683453245874e+03  2.82855968617447826546e+05  2.00000000000000000000e+00
1.02048611111111114269e+02  1.96000479616346634515e+00  4.02900271782596419712e+01  4.67455447222212515379e-03  1.00788000799360577275e+03  2.59137729078298551030e+05  2.00000000000000000000e+00
1.02055555555555557135e+02  1.66003836930405079819e+00  4.08500511590720662980e+01  4.44066211111102115972e-03  1.00790995523581193538e+03  2.35419489539149275515e+05  2.00000000000000000000e+00
1.02062500000000000000e+02  1.76000000000000000888e+00  4.11199999999999974420e+01  4.21782428571425803410e-03  1.00776999999999998181e+03  2.11701250000000000000e+05  2.00000000000000000000e+00
1.02069444444444442865e+02  1.61000639488400865140e+00  4.19499424460439271911e+01  4.13746714285713641790e-03  1.00800989768185581852e+03  1.98395583358120085904e+05  2.00000000000000000000e+00
1.02076388888888885731e+02  1.31000159872115551352e+00  4.26799872102307560340e+01  4.05711000000001480170e-03  1.00792002717825960190e+03  1.85089916716240200913e+05  2.00000000000000000000e+00
1.02083333333333328596e+02  1.26998561151082789422e+00  4.34301151079133802568e+01  3.98217444444442982693e-03  1.00795004796163061656e+03  1.71784250074360286817e+05  2.00000000000000000000e+00
1.02090277777777771462e+02  1.16999680255789351158e+00  4.43599392485999786118e+01  4.01476703703701389564e-03  1.00808995203836843757e+03  1.53476658888283855049e+05  2.00000000000000000000e+00
1.02097222222222228538e+02  1.04999040767368057026e+00  4.48999840127894671582e+01  4.04735962962966388384e-03  1.00793997122302107528e+03  1.35169067674216144951e+05  2.50003039961958428705e+00
1.02104166666666671404e+02  1.13998561151082777876e+00  4.44501726618700701010e+01  4.07732444444438343195e-03  1.00798992326139114084e+03  1.16861476786535349675e+05  2.00000000000000000000e+00
1.02111111111111114269e+02  1.18999520383653356603e+00  4.63700335731442621068e+01  4.00042629629625539484e-03  1.00792000159872111453e+03  1.56949270982690242818e+05  2.00000000000000000000e+00
1.02118055555555557135e+02  1.38001918465202533248e+00  4.79498848920878515401e+01  3.92352814814812822508e-03  1.00789005115907207255e+03  1.97037065178845106857e+05  2.00000000000000000000e+00
1.02125000000000000000e+02  1.09000000000000007994e+00  4.86799999999999997158e+01  3.84663000000000018797e-03  1.00799000000000000909e+03  2.37124859375000000000e+05  2.00000000000000000000e+00
1.02131944444444442865e+02  7.20025579536033966122e-01  4.89201023181441385645e+01  3.77490050264552186310e-03  1.00791007673860804061e+03  2.39777380203392036492e+05  2.00000000000000000000e+00
1.02138888888888885731e+02  5.60000000000000053291e-01  4.95399568345288017213e+01  3.70317100529104353823e-03  1.00800997282174034808e+03  2.42429901031784043880e+05  2.00000000000000000000e+00
1.02145833333333328596e+02  1.79980815347770467527e-01  5.10699808153477690098e+01  3.63144150793656477968e-03  1.00805998081534767152e+03  2.45082421860176080372e+05  2.00000000000000000000e+00
1.02152777777777771462e+02  5.00063948842129624150e-02  5.16599840127894651687e+01  3.79505904761886754886e-03  1.00795001918465266044e+03  2.33339885438549536048e+05  2.00000000000000000000e+00
1.02159722222222228538e+02  -1.60003197442106476212e-01  5.16999712230210448638e+01  3.96446380952393106351e-03  1.00790000959232634159e+03  2.21597348936450463952e+05  2.00000000000000000000e+00
1.02166666666666671404e+02  -2.09999999999999992228e-01  5.22098992805757973201e+01  4.13386857142864806713e-03  1.00777006714628282680e+03  2.09854812325730745215e+05  2.00000000000000000000e+00
1.02173611111111114269e+02  -2.30007993605777227852e-01  5.15099872102307543287e+01  4.11468981481480887419e-03  1.00785002238209619918e+03  1.78671921758820506511e+05  2.00000000000000000000e+00
1.02180555555555557135e+02  -4.89948840927932116607e-01  5.16900511590720626032e+01  4.08600264550264789809e-03  1.00787996802557995579e+03  1.47489031191910238704e+05  2.00000000000000000000e+00
1.02187500000000000000e+02  -5.30000000000000026645e-01  5.15900000000000034106e+01  4.05731547619048605463e-03  1.00790999999999996817e+03  1.16306140625000000000e+05  2.00000000000000000000e+00
1.02194444444444442865e+02  -4.89987210231982994735e-01  5.15501023181441340171e+01  4.09911088888887005510e-03  1.00797995523581198540e+03  1.04176601585095777409e+05  2.00000000000000000000e+00
