#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.10902777777800025660e+01  -3.64999040767400018126e+00  3.62698657074300001568e+01  4.60443341269799969601e-03  9.91059971223000047758e+02  1.20729359374299994670e+05  2.00000000000000000000e+00  4.49627225229169008580e-03
9.10972222222199974340e+01  -3.80000959232599999638e+00  3.83200479616300029306e+01  4.56501873015899978236e-03  9.90930038369299950318e+02  1.21124476563200005330e+05  2.00000000000000000000e+00  1.65843763393406997027e-03
9.11041666666699967436e+01  -3.84000479616299994490e+00  3.79399088728999984710e+01  4.52638888888899984519e-03  9.90989971222999997735e+02  1.21519593761299998732e+05  2.00000000000000000000e+00  1.72258326504048995924e-03
9.11111111111100058224e+01  -3.57999520383699998405e+00  3.77199968025599972066e+01  4.51967592592599984314e-03  9.90869987210199951733e+02  1.23535075528300003498e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.11180555555600051321e+01  -3.70002557953600019758e+00  3.78399104716200014309e+01  4.51296296296299984108e-03  9.90759999999999990905e+02  1.25550557295399994473e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.11250000000000000000e+01  -3.81999999999999984013e+00  3.88900000000000005684e+01  4.50624999999999983902e-03  9.90799999999999954525e+02  1.27566039062500000000e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.11319444444399948679e+01  -3.99000000000000021316e+00  3.93404092725799969799e+01  5.77709325396799991403e-03  9.90750089528400053496e+02  1.33528812488900002791e+05  2.00000000000000000000e+00  2.17571247767484998031e-03
9.11388888888899941776e+01  -4.85998081534599979392e+00  4.24098641086999990080e+01  7.04793650793599998905e-03  9.90930009592300052645e+02  1.39491585915300005581e+05  2.00000000000000000000e+00  4.88967631493533033682e-03
9.11458333333300032564e+01  -5.65001438848899972811e+00  4.27296163069599970186e+01  8.31877976190400006407e-03  9.90980081534799978726e+02  1.45454359341700008372e+05  2.00000000000000000000e+00  6.67168578671947006681e-03
9.11527777777800025660e+01  -5.11001598721099981049e+00  4.07998816946399998074e+01  7.78168306878400037330e-03  9.90979993605100048626e+02  1.39215885428300010972e+05  2.00000000000000000000e+00  1.38447456037226000053e-03
9.11597222222199974340e+01  -4.89998081534699991835e+00  4.02599392485999985070e+01  7.20012883597799958207e-03  9.90890019184700008736e+02  1.32977411446699989028e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.11666666666699967436e+01  -4.67004316546799991272e+00  3.95400143884900003854e+01  6.61857460317399979438e-03  9.90899952038399987941e+02  1.26738937536500001443e+05  2.00000000000000000000e+00  7.63784979263455038323e-04
9.11736111111100058224e+01  -5.04998401278800024272e+00  4.05099520383700024695e+01  6.53236574074099983489e-03  9.90760020783400022992e+02  1.33266161482700001216e+05  2.00000000000000000000e+00  1.30503666905328009548e-03
9.11805555555600051321e+01  -4.95005115907200021752e+00  3.98800319744199995853e+01  6.47113227513199974761e-03  9.90680063948800011531e+02  1.39793385428799985675e+05  2.00000000000000000000e+00  9.62822436273642022486e-03
