#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
1.00000000000000000000e+02  -1.01000000000000000888e+00  9.93399999999999977263e+02  7.19800000000000039790e+01  -5.21403999999999978598e-01  1.48783484375000000000e+05  1.03543117187500000000e+05  2.73102114899222936373e+00  2.26478000000000009168e-03  1.79195999999999997954e+02  1.85999999999999998668e-01  5.00000000000000027756e-02  3.94040000000000034674e+01  5.00000000000000027756e-02
1.00006944444444442865e+02  -9.80019184652025421300e-01  9.93539987210231970494e+02  7.21899872102319761780e+01  -5.85031638095463546456e-01  1.43730020842747297138e+05  1.04245763019524398260e+05  4.90844311219067197527e+00  2.18567616402118520061e-03  1.76972666663110288710e+02  1.75999839997440371553e-01  5.00000000000000027756e-02  3.89179999992226086647e+01  8.99996160030401975982e-02
1.00013888888888885731e+02  -1.04000000000000003553e+00  9.93590006394884653673e+02  7.24500367705865784274e+01  -6.73889841254987909114e-02  1.38676557310494594276e+05  1.04948408851548781968e+05  2.40814505469766348966e+00  2.10657232804236987586e-03  1.74749333326220579465e+02  1.65999679994880716682e-01  5.00000000000000027756e-02  3.84319999984452138619e+01  6.99997280004140687293e-02
1.00020833333333328596e+02  -9.99980815347770501944e-01  9.93739990407673872141e+02  7.06299136690649618231e+01  3.96489999993329053640e-02  1.33623093778241862310e+05  1.05651054683573180228e+05  4.61863984820648809659e+00  2.02746849206355498479e-03  1.72526000004830734724e+02  1.56001087965182361206e-01  5.00000000000000027756e-02  3.79460000019514751557e+01  5.00000000000000027756e-02
1.00027777777777771462e+02  -1.05997761790525468761e+00  9.93849993605115855644e+02  7.17601342925684804186e+01  4.59576701591330238905e-01  1.29005036466939331149e+05  1.07642338537955802167e+05  2.00000000000000000000e+00  2.09306375661368320590e-03  1.73532666668276220889e+02  1.78667029321711995360e-01  5.00000000000000027756e-02  3.83526666673168818988e+01  1.09999744002026805800e-01
1.00034722222222228538e+02  -1.18996802557893510688e+00  9.93939984012789523149e+02  7.21895619504314112191e+01  4.81476733340332752054e-01  1.24386979158060668851e+05  1.09633622399544197833e+05  2.00000000000000000000e+00  2.16221719576724542844e-03  1.74539333331723781839e+02  2.01332970678288009081e-01  5.00000000000000027756e-02  3.87593333326831128716e+01  5.00000000000000027756e-02
1.00041666666666671404e+02  -1.23997601918471311855e+00  9.94099942446043314703e+02  7.10202637889681511751e+01  1.42448381428507286905e+00  1.19768921855751570547e+05  1.11624906217027848470e+05  2.05671465927164476284e+00  2.23137063492066627102e-03  1.75545999995169268004e+02  2.23998912034817643235e-01  5.00000000000000027756e-02  3.91659999980485196147e+01  8.99996640033763894984e-02
1.00048611111111114269e+02  -1.31999360511537822127e+00  9.94040017585932673683e+02  7.22099856115095946052e+01  1.35769693333225482945e+00  1.16324700508001042181e+05  1.05725031228018575348e+05  2.00000000000000000000e+00  2.23493461111111142020e-03  1.75006000001727528570e+02  2.52665749318658094946e-01  5.00000000000000027756e-02  3.91733333333098698859e+01  5.00000000000000027756e-02
1.00055555555555557135e+02  -1.32000639488400861588e+00  9.94200044764188078261e+02  7.40299360511599218171e+01  1.32773433333340151741e+00  1.12880479160250513814e+05  9.98251562390092876740e+04  2.00000000000000000000e+00  2.23519155555555563974e-03  1.74466000000863772357e+02  2.81332874659329046363e-01  5.00000000000000027756e-02  3.91806666666549361366e+01  6.99998080015201140647e-02
1.00062500000000000000e+02  -1.37000000000000010658e+00  9.94129999999999995453e+02  7.31800000000000068212e+01  1.12671199999999993580e+00  1.09436257812500000000e+05  9.39252812500000000000e+04  2.00000000000000000000e+00  2.23531285714285684121e-03  1.73925999999999987722e+02  3.09999999999999997780e-01  5.00000000000000027756e-02  3.91880000000000023874e+01  5.00000000000000027756e-02
