#                     time          SMEAR_TEMP_168.dat             SMEAR_PRESS.dat                SMEAR_RH.dat               SMEAR_SWR.dat                SA_tower.dat               SA_ground.dat                     NH3.dat                SMEAR_CS.dat            SMEAR_GAS_CO.dat           SMEAR_GAS_NO2.dat            SMEAR_GAS_NO.dat            SMEAR_GAS_O3.dat           SMEAR_GAS_SO2.dat
9.50000000000000000000e+01  1.97999999999999998224e+00  9.82480000000000018190e+02  1.00000000000000000000e+02  2.96532499999999998863e+00  6.89476806640625000000e+03  -3.22114003906250000000e+04  2.00000000000000000000e+00  6.27588500000000014400e-03  1.88354000000000013415e+02  1.04600000000000004086e+00  5.00000000000000027756e-02  3.93359999999999985221e+01  5.00000000000000027756e-02
9.50069444444444428655e+01  2.05999360511599149959e+00  9.82549955235811921739e+02  1.00000000000000000000e+02  2.79012456507924433424e+00  1.09094762295002765313e+04  -2.21279192082373629091e+04  4.49612194281241439597e+00  6.17476892857145472082e-03  1.89668000002101848622e+02  1.02399964799436871132e+00  5.00000000000000027756e-02  3.88619999992418030388e+01  2.09998592011147400260e-01
9.50138888888888857309e+01  2.09000479616346623857e+00  9.82430012789769193660e+02  1.00000000000000000000e+02  2.91170967777714695401e+00  1.49241843925943030627e+04  -1.20444380258497294562e+04  2.47656986359501019024e+00  6.07365285714291103236e-03  1.90982000004203683829e+02  1.00199929598873760384e+00  5.00000000000000027756e-02  3.83879999984836075555e+01  6.99999200001217986022e-02
9.50208333333333285964e+01  2.07002398081528671270e+00  9.82429971223021652804e+02  1.00000000000000000000e+02  2.82396627142880207728e+00  1.89388925556883295940e+04  -1.96095684346209236537e+03  9.32180147592042551707e+00  5.97253678571436560918e-03  1.92296000020509723072e+02  9.80003967873018022594e-01  5.00000000000000027756e-02  3.79139999983108495485e+01  5.00000000000000027756e-02
9.50277777777777714618e+01  2.09999040767368061466e+00  9.82499987210231552126e+02  1.00000000000000000000e+02  2.74715248888978402775e+00  1.19253603646326009766e+04  -2.92481363752671677503e+03  4.14483807469638954046e+00  6.02747582010575762984e-03  1.96570000006833652151e+02  1.06266798929094963277e+00  5.00000000000000027756e-02  3.75619999994371909224e+01  5.00000000000000027756e-02
9.50347222222222285382e+01  2.08999040767368038374e+00  9.82379980815347380485e+02  1.00000000000000000000e+02  2.82208107936605623323e+00  4.91182811192989902338e+03  -3.88867049333265822497e+03  4.12554111849505389387e+00  6.08625227513231743109e-03  2.00843999993166335116e+02  1.14533201070905032992e+00  5.00000000000000027756e-02  3.72100000005628075428e+01  5.00000000000000027756e-02
9.50416666666666714036e+01  2.05001918465222932042e+00  9.82529942446043264681e+02  1.00000000000000000000e+02  3.00988668571526041262e+00  -2.10170408394011610653e+03  -4.85252730192040871771e+03  5.83896523873176320762e+00  6.14502873015875666907e-03  2.05117999979490264195e+02  1.22799603212698182908e+00  5.00000000000000027756e-02  3.68580000016891489167e+01  7.99989440106115556883e-02
9.50486111111111142691e+01  2.14999040767306714983e+00  9.82529996802557661795e+02  1.00000000000000000000e+02  3.19639147301528270262e+00  1.05155941930033941389e+03  2.63225588726139449136e+03  9.74023058223120941079e+00  6.18995616666668472400e-03  2.04559333335120584252e+02  1.26333220264857848392e+00  5.00000000000000027756e-02  3.62380000019834653813e+01  5.00000319999512887748e-02
9.50555555555555571345e+01  2.12999999999999989342e+00  9.82499980815347953467e+02  1.00000000000000000000e+02  3.12021600952433386666e+00  4.20482292254079493432e+03  1.01170390764431977004e+04  3.80232720820376268733e+00  6.23418533333335023183e-03  2.04000666667560295764e+02  1.29866610132428927926e+00  5.00000000000000027756e-02  3.56180000009917350212e+01  5.00000000000000027756e-02
9.50625000000000000000e+01  2.16999999999999992895e+00  9.82529999999999972715e+02  1.00000000000000000000e+02  2.88184899999999988296e+00  7.35808642578125000000e+03  1.76018222656250000000e+04  2.69139159901115698759e+00  6.28530190476195207289e-03  2.03442000000000007276e+02  1.33400000000000007461e+00  5.00000000000000027756e-02  3.49979999999999975557e+01  5.00000000000000027756e-02
