  # time_sec                  max_d_vap                 max_d_npar                max_d_dpar
   0.0000000000000000        0.0000000000000000        2.0883070865922295E-005   1.1102230246251565E-015
   300.79999999999922        2.8463140468718735E-002   2.1326715604573918E-002   1.3680766999257798E-006
   600.31999999999289        3.5562627496137901E-002   2.1270413450006197E-002   1.4768168295820061E-005
   901.11999999998648        2.8356853759739061E-002   2.1324575771205737E-002   1.5022218520455155E-005
   1200.6399999999801        3.5376106079523455E-002   2.1268283650173987E-002   3.1697129458052586E-005
   1500.1599999999737        3.2128105912328300E-002   2.0894393875919463E-002   2.4423390668770750E-005
   1800.9599999999673        3.2185171268885725E-002   2.0839812308216226E-002   4.9539667635212226E-005
   2100.4799999999700        2.9238136163843777E-002   1.9036790170627704E-002   3.6453822557236393E-005
   2400.0000000000168        3.0374016150316971E-002   1.8989919321994932E-002   7.4672594892799538E-005
   2700.8000000000638        2.7597830680234317E-002   1.8008257011679862E-002   5.0828878427111590E-005
   3000.3200000001107        3.0075123861712884E-002   1.7935088208889598E-002   1.0134928392524500E-004
   3301.1200000001577        2.7322228336850555E-002   1.7892709296708664E-002   5.8508960773195895E-005
   3600.6400000002045        2.7959916659173318E-002   1.7851300495536324E-002   1.0071369377384620E-004
   3900.1600000002513        2.4429814147006318E-002   3.1499866657739295E-002   5.3169321408308434E-005
   4200.9600000002611        2.4965966745128920E-002   3.1431990617626047E-002   1.9451997337593951E-004
   4500.4800000002015        2.1529667469201774E-002   2.8073491129198349E-002   1.2358207626750328E-004
   4800.0000000001419        2.4863985283455719E-002   4.7934262823565388E-002   3.1704097798135322E-004
   5100.8000000000820        2.1437371994166898E-002   4.7401554534706444E-002   1.6051557090879243E-004
   5400.3200000000224        2.3807154684106852E-002   4.7324501210616605E-002   4.1658620819839953E-004
   5701.1199999999626        2.0549815414702494E-002   4.5513281904024018E-002   2.0781836691519118E-004
   6000.6399999999030        2.4155067355970467E-002   1.3388556283668427E-002   5.5946520919669673E-004
   6300.1599999998434        2.0808745908268835E-002   4.5932750034104179E-002   2.4625387078702765E-004
   6600.9599999997836        2.3365849208386087E-002   4.5863739852395308E-002   7.1927582409836432E-004
